state,n_state_weeks,feature,fwd_weeks,lag_weeks,high_thresh,low_thresh,spy_mean_high,spy_mean_low,spy_lift,n_high_weeks,n_low_weeks,hit_rate_high,phase4b_lift,diagnostic_label
calm_trend,295,pct_above_200d_ma,4,1,0.65,0.4,0.0054294034895209405,0.002508312044158095,0.0029210914453628454,221,17,0.6832579185520362,-0.01088832827272135,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
calm_trend,295,pct_above_200d_ma,13,1,0.65,0.4,0.022404937562975187,-0.02310885280513563,0.04551379036811082,221,17,0.7647058823529411,0.007061224858480793,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
calm_trend,295,pct_above_50d_ma,4,1,0.65,0.4,0.0034641926479349757,0.01667859385447732,-0.013214401206542345,161,21,0.6708074534161491,-0.007271928268993876,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
calm_trend,295,pct_above_50d_ma,13,1,0.65,0.4,0.014607592992359114,0.024496106386205516,-0.009888513393846401,161,21,0.7018633540372671,-0.017380174111176018,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
calm_trend,295,pct_positive_13w_return,4,1,0.65,0.4,0.004465869852588188,0.029403668784066365,-0.024937798931478176,171,17,0.6842105263157895,-0.02453253667922449,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
calm_trend,295,pct_positive_13w_return,13,1,0.65,0.4,0.017637421416445167,0.010119987212967455,0.007517434203477712,171,17,0.7485380116959064,-0.007251727001135216,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
calm_trend,295,pct_positive_26w_return,4,1,0.65,0.4,0.006107452078932457,0.002508312044158095,0.003599140034774362,202,17,0.6881188118811881,-0.010020678362403859,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
calm_trend,295,pct_positive_26w_return,13,1,0.65,0.4,0.023562955881412,-0.02310885280513563,0.04667180868654763,202,17,0.7772277227722773,0.0076708890284543935,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
calm_trend,295,pct_near_52w_high,4,1,0.65,0.4,0.00018748376072165543,0.012790062822957804,-0.012602579062236148,45,60,0.6222222222222222,-0.002230643889299439,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
calm_trend,295,pct_near_52w_high,13,1,0.65,0.4,0.03330067313419049,0.018672292687401667,0.014628380446788821,45,60,0.8222222222222222,0.0011388638605948458,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,493,pct_above_200d_ma,4,1,0.65,0.4,0.010659245974765499,0.010907489663170058,-0.0002482436884045595,254,19,0.6850393700787402,-0.004847019206083324,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,493,pct_above_200d_ma,13,1,0.65,0.4,0.029527749442702648,0.06612557270958738,-0.03659782326688474,246,19,0.7560975609756098,-0.027288115879177306,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,493,pct_above_50d_ma,4,1,0.65,0.4,0.00862826805071021,0.023201204165210754,-0.014572936114500544,189,51,0.6455026455026455,-0.0063322322883458725,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,493,pct_above_50d_ma,13,1,0.65,0.4,0.030599124959966542,0.03689082614423908,-0.0062917011842725384,183,51,0.7595628415300546,-0.012663646683072422,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,493,pct_positive_13w_return,4,1,0.65,0.4,0.007122878546091028,0.015411109365884757,-0.00828823081979373,213,26,0.6338028169014085,-0.012206918363459586,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,493,pct_positive_13w_return,13,1,0.65,0.4,0.028864912517488,0.07267604636708896,-0.04381113384960096,207,26,0.748792270531401,-0.02642035433804897,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,493,pct_positive_26w_return,4,1,0.65,0.4,0.009629673971771838,0.018450462268199068,-0.00882078829642723,236,18,0.6694915254237288,0.002185076898819173,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,493,pct_positive_26w_return,13,1,0.65,0.4,0.028915665918311222,0.05648695931295547,-0.027571293394644248,232,18,0.7586206896551724,-0.007426690546001733,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,493,pct_near_52w_high,4,1,0.65,0.4,-0.005673143276284589,0.016908634333558884,-0.02258177760984347,40,137,0.475,-0.010307568111786024,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
neutral_mixed,493,pct_near_52w_high,13,1,0.65,0.4,0.019629118984834708,0.038976691670400174,-0.019347572685565466,40,136,0.8,-0.01443359410700684,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_fragile,49,pct_above_200d_ma,4,1,0.65,0.4,,,,23,0,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_fragile,49,pct_above_200d_ma,13,1,0.65,0.4,,,,23,0,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_fragile,49,pct_above_50d_ma,4,1,0.65,0.4,,,,23,2,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_fragile,49,pct_above_50d_ma,13,1,0.65,0.4,,,,23,2,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_fragile,49,pct_positive_13w_return,4,1,0.65,0.4,,,,21,0,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_fragile,49,pct_positive_13w_return,13,1,0.65,0.4,,,,21,0,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_fragile,49,pct_positive_26w_return,4,1,0.65,0.4,,,,25,2,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_fragile,49,pct_positive_26w_return,13,1,0.65,0.4,,,,25,2,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_fragile,49,pct_near_52w_high,4,1,0.65,0.4,0.0031013366961522757,0.01893392934505248,-0.015832592648900204,3,15,0.6666666666666666,0.01406213059719328,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_fragile,49,pct_near_52w_high,13,1,0.65,0.4,0.023016030090887114,0.05889022814682029,-0.03587419805593317,3,15,1.0,0.0041668143773356675,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,44,pct_above_200d_ma,4,1,0.65,0.4,,,,31,0,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,44,pct_above_200d_ma,13,1,0.65,0.4,,,,31,0,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,44,pct_above_50d_ma,4,1,0.65,0.4,,,,30,1,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,44,pct_above_50d_ma,13,1,0.65,0.4,,,,30,1,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,44,pct_positive_13w_return,4,1,0.65,0.4,,,,35,0,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,44,pct_positive_13w_return,13,1,0.65,0.4,,,,35,0,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,44,pct_positive_26w_return,4,1,0.65,0.4,,,,28,0,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,44,pct_positive_26w_return,13,1,0.65,0.4,,,,28,0,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,44,pct_near_52w_high,4,1,0.65,0.4,,,,0,14,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
recovery_confirmed,44,pct_near_52w_high,13,1,0.65,0.4,,,,0,14,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,229,pct_above_200d_ma,4,1,0.65,0.4,0.00309777415001293,0.03184933002810844,-0.02875155587809551,16,71,0.625,-0.003432144952682629,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,229,pct_above_200d_ma,13,1,0.65,0.4,0.03642442667659812,0.06746137640365221,-0.03103694972705409,16,71,0.8125,-0.010565675851215626,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,229,pct_above_50d_ma,4,1,0.65,0.4,-0.01289853279450156,0.02588993169812465,-0.03878846449262621,27,74,0.4074074074074074,-0.0016607926464086691,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,229,pct_above_50d_ma,13,1,0.65,0.4,0.04076680941451123,0.06087211720811001,-0.02010530779359878,27,74,0.7407407407407407,-0.0005237760919047738,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,229,pct_positive_13w_return,4,1,0.65,0.4,0.006442795449459865,0.02441947011656995,-0.017976674667110087,22,88,0.5909090909090909,-0.001379633462068632,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,229,pct_positive_13w_return,13,1,0.65,0.4,0.04682040962535554,0.06642352814993858,-0.019603118524583046,22,88,0.8181818181818182,-0.007307892954793348,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,229,pct_positive_26w_return,4,1,0.65,0.4,0.009082684899310214,0.03351243850285788,-0.024429753603547665,18,74,0.7222222222222222,-0.00037511242400241687,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,229,pct_positive_26w_return,13,1,0.65,0.4,0.035282881756289526,0.07428703513274804,-0.03900415337645851,18,74,0.8333333333333334,-0.0037976358675058733,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,229,pct_near_52w_high,4,1,0.65,0.4,,,,0,137,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
stressed_panic,229,pct_near_52w_high,13,1,0.65,0.4,,,,0,136,,,SURVIVORSHIP_BIASED_DIAGNOSTIC_ONLY
