variant,cost_bps,full_observations,full_years,full_total_return,full_annual_return,full_annual_volatility,full_sharpe_zero_rf,full_sortino_zero_target,full_max_drawdown,full_max_drawdown_duration_weeks,full_calmar,full_cvar_5_weekly,full_positive_week_share,full_worst_week,full_best_week,full_annual_allocation_turnover,full_mean_ml_weight,oos_2016_2020_observations,oos_2016_2020_years,oos_2016_2020_total_return,oos_2016_2020_annual_return,oos_2016_2020_annual_volatility,oos_2016_2020_sharpe_zero_rf,oos_2016_2020_sortino_zero_target,oos_2016_2020_max_drawdown,oos_2016_2020_max_drawdown_duration_weeks,oos_2016_2020_calmar,oos_2016_2020_cvar_5_weekly,oos_2016_2020_positive_week_share,oos_2016_2020_worst_week,oos_2016_2020_best_week,oos_2016_2020_annual_allocation_turnover,oos_2016_2020_mean_ml_weight,oos_2021_present_observations,oos_2021_present_years,oos_2021_present_total_return,oos_2021_present_annual_return,oos_2021_present_annual_volatility,oos_2021_present_sharpe_zero_rf,oos_2021_present_sortino_zero_target,oos_2021_present_max_drawdown,oos_2021_present_max_drawdown_duration_weeks,oos_2021_present_calmar,oos_2021_present_cvar_5_weekly,oos_2021_present_positive_week_share,oos_2021_present_worst_week,oos_2021_present_best_week,oos_2021_present_annual_allocation_turnover,oos_2021_present_mean_ml_weight
core_only,10,761,14.6346154,1.93850539,0.0764345244,0.0917303942,0.849754391,1.19002867,-0.233902684,97,0.326779167,-0.0298721268,0.600525624,-0.110963015,0.103979965,0,0,261,5.01923077,0.359078343,0.0630331192,0.109632901,0.613376057,0.814800676,-0.233902684,80,0.269484377,-0.0373200469,0.616858238,-0.110963015,0.103979965,0,0,293,5.63461538,0.686196618,0.0971610963,0.0877400139,1.10156902,1.68652394,-0.0853387923,60,1.13853376,-0.0259558154,0.57337884,-0.0618870823,0.0441563777,0,0
core_only,50,761,14.6346154,1.44559634,0.0630134896,0.091758529,0.712624196,0.98655641,-0.235004324,103,0.268137576,-0.0301055994,0.593955322,-0.110963015,0.103979965,0,0,261,5.01923077,0.276822764,0.0498924128,0.109510052,0.500241514,0.659959829,-0.235004324,91,0.212304233,-0.0373724278,0.61302682,-0.110963015,0.103979965,0,0,293,5.63461538,0.556987178,0.0817469314,0.0878943123,0.938574297,1.4095873,-0.0858492419,93,0.952214949,-0.0263247043,0.566552901,-0.0634870823,0.0439301416,0,0
core_only,100,761,14.6346154,0.943319251,0.0464453484,0.0920275076,0.539954331,0.737043944,-0.236381373,113,0.196484807,-0.0304793461,0.584756899,-0.110963015,0.103979965,0,0,261,5.01923077,0.180814616,0.0336679064,0.109555865,0.357813537,0.467872857,-0.236381373,102,0.142430455,-0.0374732717,0.593869732,-0.110963015,0.103979965,0,0,293,5.63461538,0.40905982,0.0627501178,0.0883813465,0.733185468,1.07632385,-0.0874574874,98,0.717492804,-0.0268000406,0.563139932,-0.0654870823,0.0436473464,0,0
constant_20,10,761,14.6346154,2.34973694,0.0861119236,0.0967175744,0.903597468,1.25927176,-0.252635397,82,0.340854546,-0.0309241994,0.622864652,-0.117604671,0.104758503,0.0136662286,0.2,261,5.01923077,0.394374782,0.0684772221,0.117316351,0.624474203,0.825668472,-0.252635397,82,0.271051574,-0.0394972418,0.620689655,-0.117604671,0.104758503,0,0.2,293,5.63461538,0.893509567,0.119973855,0.0910023759,1.29191366,1.96984325,-0.0938514416,39,1.27833791,-0.0267591227,0.627986348,-0.0654653345,0.0417365491,0,0.2
constant_20,50,761,14.6346154,1.62100475,0.0680568846,0.0967727516,0.729679593,1.00339539,-0.253771019,113,0.268182257,-0.0311663149,0.611038108,-0.117604671,0.104758503,0.0136662286,0.2,261,5.01923077,0.286117703,0.0514107261,0.117359282,0.486942458,0.638313374,-0.253771019,97,0.202587066,-0.0397315479,0.605363985,-0.117604671,0.104758503,0,0.2,293,5.63461538,0.712074351,0.100130709,0.0909760047,1.09539391,1.63769476,-0.0960924463,60,1.04202477,-0.0269779031,0.62116041,-0.0667453345,0.0413785507,0,0.2
constant_20,100,761,14.6346154,0.928179386,0.0458862423,0.0969936894,0.511757883,0.692211931,-0.255189664,147,0.179812308,-0.0315048004,0.591327201,-0.117604671,0.104758503,0.0136662286,0.2,261,5.01923077,0.162412991,0.030438333,0.11753609,0.314839,0.408262442,-0.255189664,106,0.119277296,-0.0400396827,0.593869732,-0.117604671,0.104758503,0,0.2,293,5.63461538,0.509311169,0.0757928617,0.0911309318,0.847832309,1.23768349,-0.0988891073,96,0.766442976,-0.0272682393,0.597269625,-0.0683453345,0.0409310527,0,0.2
constant_30,10,761,14.6346154,2.56825695,0.0908121289,0.100684307,0.91490405,1.27706879,-0.261877795,82,0.346772925,-0.0319577779,0.61892247,-0.120925499,0.105147772,0.020499343,0.3,261,5.01923077,0.411183018,0.0710310094,0.122341138,0.623408078,0.825068991,-0.261877795,82,0.271237236,-0.0413735866,0.616858238,-0.120925499,0.105147772,0,0.3,293,5.63461538,1.00423792,0.1313273,0.0947507645,1.35117621,2.06558913,-0.0993239644,39,1.32221162,-0.0275133933,0.624573379,-0.0672544607,0.0414628281,0,0.3
constant_30,50,761,14.6346154,1.70710127,0.0704183045,0.100766701,0.726678341,1.00011899,-0.263028937,121,0.267720751,-0.0321924789,0.608409987,-0.120925499,0.105147772,0.020499343,0.3,261,5.01923077,0.289709513,0.0519950892,0.122459023,0.476323318,0.624549875,-0.263028937,97,0.197678209,-0.041687345,0.609195402,-0.120925499,0.105147772,0,0.3,293,5.63461538,0.793248903,0.109212383,0.0946630722,1.14336213,1.71401667,-0.101656261,41,1.07433012,-0.0276969489,0.607508532,-0.0683744607,0.0409258305,0,0.3
constant_30,100,761,14.6346154,0.916025111,0.0454344245,0.101029746,0.491049459,0.664111716,-0.264466716,153,0.17179638,-0.0325166487,0.58738502,-0.120925499,0.105147772,0.020499343,0.3,261,5.01923077,0.152328114,0.0286509861,0.122727859,0.292575232,0.37917587,-0.264466716,106,0.108334941,-0.0421141935,0.593869732,-0.120925499,0.105147772,0,0.3,293,5.63461538,0.560221244,0.0821453638,0.094739248,0.881320729,1.28968656,-0.104566436,67,0.785580603,-0.0279263933,0.590443686,-0.0697744607,0.0402545834,0,0.3
batch18_confidence_guarded,10,761,14.6346154,2.09532457,0.080265522,0.0929484852,0.878115897,1.23126204,-0.233902684,98,0.343157763,-0.0303369573,0.604467806,-0.110963015,0.103979965,0.621813403,0.0591327201,261,5.01923077,0.346511152,0.0610674194,0.11015691,0.594157595,0.789691573,-0.233902684,82,0.261080455,-0.0374244562,0.605363985,-0.110963015,0.103979965,0.458237548,0.0329501916,293,5.63461538,0.797982041,0.109731408,0.0904015152,1.19803731,1.82993995,-0.0922918151,65,1.18896142,-0.0271826594,0.597269625,-0.0636762084,0.0441563777,1.13583618,0.117064846
batch18_confidence_guarded,50,761,14.6346154,1.44470524,0.0629870184,0.0929491123,0.704421389,0.974134424,-0.235004324,109,0.268024934,-0.0305974871,0.596583443,-0.110963015,0.103979965,0.621813403,0.0591327201,261,5.01923077,0.248695987,0.0452433905,0.110040005,0.457992193,0.603859833,-0.235004324,99,0.192521524,-0.037503358,0.597701149,-0.110963015,0.103979965,0.458237548,0.0329501916,293,5.63461538,0.600209509,0.087016569,0.0904728831,0.968186284,1.44464119,-0.0950622081,96,0.915364484,-0.027481083,0.587030717,-0.0651162084,0.0439301416,1.13583618,0.117064846
batch18_confidence_guarded,100,761,14.6346154,0.819455774,0.0417466202,0.0931880855,0.486060992,0.660696133,-0.248440327,167,0.168034798,-0.0309811783,0.584756899,-0.110963015,0.103979965,0.621813403,0.0591327201,261,5.01923077,0.136196451,0.0257657468,0.110096546,0.286849022,0.374289892,-0.248440327,152,0.103710002,-0.0376920542,0.582375479,-0.110963015,0.103979965,0.458237548,0.0329501916,293,5.63461538,0.383003227,0.0592354623,0.090854499,0.679188984,0.984921138,-0.108484224,115,0.546028353,-0.0279418723,0.57337884,-0.0669162084,0.0436473464,1.13583618,0.117064846
strong_confidence_unguarded,10,761,14.6346154,2.19156732,0.0825280793,0.0930462124,0.899803833,1.2648902,-0.233902684,97,0.352830834,-0.0303506819,0.609724047,-0.110963015,0.103979965,0.751642576,0.0550591327,261,5.01923077,0.346175797,0.0610147638,0.110071183,0.594081216,0.789637666,-0.233902684,82,0.260855338,-0.0373200469,0.609195402,-0.110963015,0.103979965,0.47816092,0.030651341,293,5.63461538,0.848963956,0.115251886,0.0907135076,1.24902439,1.9210764,-0.0887622078,39,1.2984342,-0.0272805223,0.604095563,-0.0618870823,0.0441563777,1.52627986,0.115699659
strong_confidence_unguarded,50,761,14.6346154,1.50679524,0.0648103114,0.0930027391,0.722511406,1.00117219,-0.235004324,109,0.275783485,-0.030626833,0.600525624,-0.110963015,0.103979965,0.751642576,0.0550591327,261,5.01923077,0.247896573,0.0451100362,0.109920855,0.457205151,0.602815834,-0.235004324,97,0.191954069,-0.0373918013,0.601532567,-0.110963015,0.103979965,0.47816092,0.030651341,293,5.63461538,0.632943456,0.0909301062,0.0907436157,1.00522107,1.50751754,-0.091753057,65,0.991030808,-0.0276548485,0.593856655,-0.0634870823,0.0439301416,1.52627986,0.115699659
strong_confidence_unguarded,100,761,14.6346154,0.852739237,0.043037823,0.0932045234,0.499286833,0.67959999,-0.243009721,167,0.177103297,-0.0310164331,0.58869908,-0.110963015,0.103979965,0.751642576,0.0550591327,261,5.01923077,0.134905606,0.0255334573,0.10994832,0.285023272,0.371868503,-0.243009721,152,0.105071753,-0.0375715632,0.590038314,-0.110963015,0.103979965,0.47816092,0.030651341,293,5.63461538,0.397724431,0.0612277647,0.0911003659,0.698239883,1.01537024,-0.0954835571,100,0.641238833,-0.0281756378,0.576791809,-0.0654870823,0.0436473464,1.52627986,0.115699659
strong_confidence_guarded,10,761,14.6346154,2.10493414,0.0804943556,0.0927253647,0.882288214,1.23762465,-0.233902684,97,0.344136092,-0.0303657572,0.605781866,-0.110963015,0.103979965,0.614980289,0.0434954008,261,5.01923077,0.352065976,0.0619380821,0.109975079,0.602423055,0.801145952,-0.233902684,82,0.264802785,-0.0373200469,0.609195402,-0.110963015,0.103979965,0.398467433,0.0222222222,293,5.63461538,0.790938703,0.108958643,0.0899958903,1.19526428,1.82725325,-0.0887622078,60,1.22753417,-0.0272805223,0.593856655,-0.0618870823,0.0441563777,1.24232082,0.0931740614
strong_confidence_guarded,50,761,14.6346154,1.46505927,0.0635894282,0.0927263738,0.712002393,0.985282126,-0.235004324,103,0.270588333,-0.0306288539,0.596583443,-0.110963015,0.103979965,0.614980289,0.0434954008,261,5.01923077,0.25673671,0.0465809153,0.109815082,0.47035827,0.620656338,-0.235004324,98,0.198213014,-0.0373918013,0.601532567,-0.110963015,0.103979965,0.398467433,0.0222222222,293,5.63461538,0.594461151,0.086322534,0.090144194,0.964280142,1.43976116,-0.091753057,96,0.94081371,-0.0276548485,0.583617747,-0.0634870823,0.0439301416,1.24232082,0.0931740614
strong_confidence_guarded,100,761,14.6346154,0.846516688,0.0427980759,0.0929821961,0.497783784,0.677316455,-0.243630727,167,0.175667809,-0.0310164331,0.583442838,-0.110963015,0.103979965,0.614980289,0.0434954008,261,5.01923077,0.146804508,0.02766672,0.109826441,0.304148685,0.397270842,-0.243630727,152,0.11356006,-0.0375715632,0.586206897,-0.110963015,0.103979965,0.398467433,0.0222222222,293,5.63461538,0.378576414,0.0586329462,0.0906527403,0.674204491,0.978250384,-0.102174395,101,0.573851658,-0.0281756378,0.566552901,-0.0654870823,0.0436473464,1.24232082,0.0931740614
