bundle_size,banned_ciks,recent_cagr,recent_sharpe,recent_drawdown
1,0001770787,1.2157051025337222,3.049863586498992,-0.08708758375337311
2,0001107843|0001770787,1.1143926795045753,2.8825213361031747,-0.08708758375337311
3,0001107843|0001327567|0001770787,1.0998029045487931,2.8694587002699117,-0.08708758375337311
5,0001107843|0001314727|0001327567|0001653482|0001770787,1.093171297501553,2.9008388148704056,-0.08708758375337311
