variant,scenario,cost_bps,annual_borrow_fee,full_observations,full_years,full_total_return,full_annual_return,full_annual_volatility,full_sharpe_zero_rf,full_sortino_zero_target,full_max_drawdown,full_max_drawdown_duration_weeks,full_calmar,full_cvar_5_weekly,full_positive_week_share,full_worst_week,full_best_week,full_annual_turnover,full_mean_invested_weight,oos_2016_2020_observations,oos_2016_2020_years,oos_2016_2020_total_return,oos_2016_2020_annual_return,oos_2016_2020_annual_volatility,oos_2016_2020_sharpe_zero_rf,oos_2016_2020_sortino_zero_target,oos_2016_2020_max_drawdown,oos_2016_2020_max_drawdown_duration_weeks,oos_2016_2020_calmar,oos_2016_2020_cvar_5_weekly,oos_2016_2020_positive_week_share,oos_2016_2020_worst_week,oos_2016_2020_best_week,oos_2016_2020_annual_turnover,oos_2016_2020_mean_invested_weight,oos_2021_present_observations,oos_2021_present_years,oos_2021_present_total_return,oos_2021_present_annual_return,oos_2021_present_annual_volatility,oos_2021_present_sharpe_zero_rf,oos_2021_present_sortino_zero_target,oos_2021_present_max_drawdown,oos_2021_present_max_drawdown_duration_weeks,oos_2021_present_calmar,oos_2021_present_cvar_5_weekly,oos_2021_present_positive_week_share,oos_2021_present_worst_week,oos_2021_present_best_week,oos_2021_present_annual_turnover,oos_2021_present_mean_invested_weight
threshold_long_short,low_10bps_borrow3,10,0.03,1120,21.5384615385,-0.124889731738,-0.00617467903096,0.0713284175643,-0.0514062239181,-0.0754888424623,-0.417824381144,762,-0.0147781683157,-0.0202788582033,0.403571428571,-0.114610250895,0.150256553534,37.993735223,0.22919047619,261,5.01923076923,-0.281905209248,-0.0638475875975,0.0804767745135,-0.778235259763,-0.926085614059,-0.336068123386,257,-0.189984063214,-0.028663378365,0.386973180077,-0.104932421635,0.0765852178091,42.6757028544,0.281111111111,293,5.63461538462,-0.0150299645164,-0.00268407425806,0.0441007181133,-0.0390193406817,-0.0566296728134,-0.0862232953616,167,-0.0311293397777,-0.0144092911483,0.412969283276,-0.0249786844331,0.0412389532876,37.3485182915,0.21866894198
threshold_long_short,primary_50bps_borrow3,50,0.03,1120,21.5384615385,-0.966973825125,-0.146442651442,0.0726695804899,-2.13907654318,-2.49515941712,-0.966973825125,1118,-0.151444276605,-0.0264107779746,0.16875,-0.119967777736,0.14198174208,37.993735223,0.22919047619,261,5.01923076923,-0.695671324634,-0.211022749306,0.0859004482255,-2.70847070544,-2.73326423128,-0.695671324634,260,-0.303336851518,-0.0363311223664,0.126436781609,-0.117292325614,0.0694327931457,42.6757028544,0.281111111111,293,5.63461538462,-0.575976912798,-0.141241250897,0.0455650776215,-3.31402074097,-3.27023982439,-0.574863977769,292,-0.245695079808,-0.0201258257936,0.191126279863,-0.0342421250107,0.0328285953859,37.3485182915,0.21866894198
threshold_long_short,stress_100bps_borrow8,100,0.08,1120,21.5384615385,-0.99954560607,-0.300465131241,0.0820963201795,-4.29590574594,-4.00139153115,-0.99954560607,1118,-0.30060172284,-0.0362677284652,0.0491071428571,-0.132555039832,0.131690047368,37.993735223,0.22919047619,261,5.01923076923,-0.901455007195,-0.369771449404,0.0991687433136,-4.58290130161,-3.98287750296,-0.901455007195,260,-0.410194015733,-0.0477600219704,0.0229885057471,-0.132555039832,0.0605304019592,42.6757028544,0.281111111111,293,5.63461538462,-0.859253961382,-0.293895109082,0.0584898962254,-5.90014549097,-4.61807623862,-0.857848770637,292,-0.342595477363,-0.0301941100441,0.0546075085324,-0.0464620490509,0.0223645127454,37.3485182915,0.21866894198
threshold_long_short_stale_1d,low_10bps_borrow3,10,0.03,1120,21.5384615385,-0.379476661591,-0.0219117186304,0.0683875040203,-0.289526961526,-0.405826310918,-0.469486505075,923,-0.0466716687136,-0.0197158896659,0.325892857143,-0.122050401189,0.112772514345,38.1359583935,0.2291875,261,5.01923076923,-0.294726660604,-0.0672018102765,0.0861484336833,-0.763230741167,-0.967268314396,-0.3443648279,259,-0.195147137082,-0.0271886118405,0.32183908046,-0.122050401189,0.0996597091299,42.792420714,0.28061302682,293,5.63461538462,0.00912179485891,0.00161284535981,0.0429615084819,0.0588059227069,0.0947998728245,-0.075032129899,144,0.0214953961986,-0.0119488228969,0.341296928328,-0.0236145926545,0.0413534554075,37.5620106046,0.219215017065
threshold_long_short_stale_1d,primary_50bps_borrow3,50,0.03,1120,21.5384615385,-0.976865799258,-0.160434327461,0.0712450262232,-2.41409738484,-2.66070459299,-0.976987431655,1118,-0.164213297186,-0.0266581277466,0.170535714286,-0.135475832762,0.104918200813,38.1359583935,0.2291875,261,5.01923076923,-0.701680103067,-0.214151214313,0.0901644240438,-2.62008771349,-2.76830968501,-0.701381484552,259,-0.305327726822,-0.0345455148488,0.145593869732,-0.135475832762,0.0905458604094,42.792420714,0.28061302682,293,5.63461538462,-0.56752427849,-0.138227709179,0.045385220625,-3.25044511031,-3.30428471051,-0.568639194592,292,-0.243085088917,-0.0181529296333,0.215017064846,-0.0291408288553,0.0339230348337,37.5620106046,0.219215017065
threshold_long_short_stale_1d,stress_100bps_borrow8,100,0.08,1120,21.5384615385,-0.999686549982,-0.31242179861,0.0825893900445,-4.4766138858,-4.00919475008,-0.999686628857,1118,-0.312519733276,-0.0369267537212,0.0723214285714,-0.152028166016,0.0951477170391,38.1359583935,0.2291875,261,5.01923076923,-0.903625870398,-0.372562216066,0.102056971428,-4.49340246472,-4.00075911543,-0.90343273587,259,-0.412385118752,-0.044989636593,0.0383141762452,-0.152028166016,0.0792268434333,42.792420714,0.28061302682,293,5.63461538462,-0.857265273478,-0.292134650027,0.0591097287305,-5.79590341124,-4.59552455443,-0.85615036646,292,-0.341218857658,-0.0283404922327,0.0819112627986,-0.0362089033739,0.0246773306658,37.5620106046,0.219215017065
threshold_long_short_stale_5d,low_10bps_borrow3,10,0.03,1120,21.5384615385,-0.587729478732,-0.0403044896055,0.0640279815185,-0.610308920259,-0.827029188743,-0.594885810508,1048,-0.0677516405562,-0.0225573272479,0.307142857143,-0.0728639561934,0.102781086008,38.1774304088,0.229125,261,5.01923076923,-0.20432750052,-0.0445170643387,0.0845198597214,-0.49679618983,-0.708042364826,-0.25496341625,248,-0.17460177226,-0.0289323093463,0.302681992337,-0.0696337240479,0.102781086008,42.7201266425,0.280459770115,293,5.63461538462,-0.0938989081872,-0.0173475253372,0.0472055772919,-0.347230223554,-0.508103646702,-0.147301358908,147,-0.117768942974,-0.0149735509579,0.331058020478,-0.0274991347863,0.0477041466597,37.7145840383,0.220546075085
threshold_long_short_stale_5d,primary_50bps_borrow3,50,0.03,1120,21.5384615385,-0.984708875486,-0.176419384482,0.0689037410387,-2.77680244106,-2.91210950483,-0.984717924592,1117,-0.179157279537,-0.0300842608435,0.167857142857,-0.0853239817974,0.0884289586478,38.1774304088,0.229125,261,5.01923076923,-0.66303218073,-0.194844643237,0.0897514239588,-2.36449314354,-2.63368492641,-0.663042975336,260,-0.293864274994,-0.038212552546,0.168582375479,-0.0853239817974,0.0884289586478,42.7201266425,0.280459770115,293,5.63461538462,-0.613050914943,-0.155073155024,0.0507164148032,-3.29172094858,-3.29020223957,-0.612158401778,292,-0.253321941793,-0.0215511700929,0.201365187713,-0.0376960075169,0.038792066467,37.7145840383,0.220546075085
threshold_long_short_stale_5d,stress_100bps_borrow8,100,0.08,1120,21.5384615385,-0.999794158658,-0.32571641808,0.0822371348423,-4.7321105869,-4.08752807477,-0.99979374721,1117,-0.325783611859,-0.0406288264876,0.0821428571429,-0.104706048587,0.0706948706694,38.1774304088,0.229125,261,5.01923076923,-0.890935409775,-0.356906438624,0.102600616281,-4.23197175423,-3.85062086905,-0.890934636591,260,-0.400597781213,-0.0501001116348,0.0689655172414,-0.104706048587,0.0706948706694,42.7201266425,0.280459770115,293,5.63461538462,-0.872904033554,-0.306564102019,0.0646266557301,-5.61223273914,-4.50702047989,-0.871969397421,292,-0.351576675656,-0.0308146847317,0.0921501706485,-0.0510175894867,0.0274663781307,37.7145840383,0.220546075085
threshold_long_short_inverted,low_10bps_borrow3,10,0.03,1120,21.5384615385,-0.83362810453,-0.0798982525817,0.0731137712701,-1.10087086706,-1.35315921052,-0.833787249187,1112,-0.095825706929,-0.0255114771441,0.26875,-0.149742979776,0.121736615752,38.0760043464,0.22919047619,261,5.01923076923,-0.16631313388,-0.0355912854699,0.0781188422395,-0.425213978828,-0.634672578231,-0.194746020426,258,-0.182757446812,-0.0239709313833,0.291187739464,-0.0794708766422,0.0982124997584,42.6159717348,0.281111111111,293,5.63461538462,-0.370930632423,-0.0789692219774,0.0474289230529,-1.70922990663,-1.93388272257,-0.372301102599,291,-0.212111168691,-0.0191828220642,0.269624573379,-0.0494472648186,0.0230246296967,37.4336609248,0.21866894198
