decision_time,cik10,income_tax,inventory
2024-04-01 00:00:00+00:00,0000006951,284000000.0,5646000000.0
2024-07-01 00:00:00+00:00,0000006951,272000000.0,5691000000.0
2024-10-01 00:00:00+00:00,0000006951,255000000.0,5568000000.0
2025-01-01 00:00:00+00:00,0000006951,255000000.0,5421000000.0
2025-04-01 00:00:00+00:00,0000006951,934000000.0,5501000000.0
2025-07-01 00:00:00+00:00,0000006951,185000000.0,5656000000.0
2025-10-01 00:00:00+00:00,0000006951,784000000.0,5807000000.0
2026-01-01 00:00:00+00:00,0000006951,784000000.0,5915000000.0
2026-04-01 00:00:00+00:00,0000006951,302000000.0,5997000000.0
2026-07-01 00:00:00+00:00,0000006951,419000000.0,6343000000.0
2023-01-01 00:00:00+00:00,0000007332,11000000.0,3000000.0
2023-04-01 00:00:00+00:00,0000007332,11000000.0,3000000.0
2023-07-01 00:00:00+00:00,0000007332,12000000.0,3000000.0
2023-10-01 00:00:00+00:00,0000007332,-5000000.0,3000000.0
2024-01-01 00:00:00+00:00,0000007332,21000000.0,3000000.0
2024-04-01 00:00:00+00:00,0000007332,21000000.0,3000000.0
2024-07-01 00:00:00+00:00,0000007332,-430000000.0,3000000.0
2024-10-01 00:00:00+00:00,0000007332,-176000000.0,3000000.0
2025-01-01 00:00:00+00:00,0000007332,-176000000.0,3000000.0
2025-04-01 00:00:00+00:00,0000007332,-176000000.0,3000000.0
2025-07-01 00:00:00+00:00,0000007332,-176000000.0,3000000.0
2025-10-01 00:00:00+00:00,0000007332,-176000000.0,3000000.0
2026-01-01 00:00:00+00:00,0000007332,-176000000.0,3000000.0
2026-04-01 00:00:00+00:00,0000007332,-176000000.0,3000000.0
2026-07-01 00:00:00+00:00,0000007332,-176000000.0,3000000.0
2023-01-01 00:00:00+00:00,0000008146,102000.0,49992000.0
2023-04-01 00:00:00+00:00,0000008146,102000.0,49992000.0
2023-07-01 00:00:00+00:00,0000008146,179000.0,53126000.0
2023-10-01 00:00:00+00:00,0000008146,-390000.0,49081000.0
2024-01-01 00:00:00+00:00,0000008146,949000.0,47005000.0
2024-04-01 00:00:00+00:00,0000008146,949000.0,47005000.0
2024-07-01 00:00:00+00:00,0000008146,-434000.0,45177000.0
2024-10-01 00:00:00+00:00,0000008146,261000.0,50569000.0
2025-01-01 00:00:00+00:00,0000008146,34000.0,48560000.0
2025-04-01 00:00:00+00:00,0000008146,34000.0,48560000.0
2025-07-01 00:00:00+00:00,0000008146,75000.0,51457000.0
2025-10-01 00:00:00+00:00,0000008146,-454000.0,48393000.0
2026-01-01 00:00:00+00:00,0000008146,-128000.0,45124000.0
2026-04-01 00:00:00+00:00,0000008146,-128000.0,45124000.0
2026-07-01 00:00:00+00:00,0000008146,196000.0,43926000.0
2023-01-01 00:00:00+00:00,0000008670,231000000.0,
2023-04-01 00:00:00+00:00,0000008670,245000000.0,
2023-07-01 00:00:00+00:00,0000008670,320900000.0,
2023-10-01 00:00:00+00:00,0000008670,320900000.0,
2024-01-01 00:00:00+00:00,0000008670,233400000.0,
2024-04-01 00:00:00+00:00,0000008670,265400000.0,
2024-07-01 00:00:00+00:00,0000008670,361400000.0,
2024-10-01 00:00:00+00:00,0000008670,361400000.0,
2025-01-01 00:00:00+00:00,0000008670,279900000.0,
2025-04-01 00:00:00+00:00,0000008670,298100000.0,
2025-07-01 00:00:00+00:00,0000008670,372400000.0,
2025-10-01 00:00:00+00:00,0000008670,372400000.0,
2026-01-01 00:00:00+00:00,0000008670,294500000.0,
2026-04-01 00:00:00+00:00,0000008670,321200000.0,
2026-07-01 00:00:00+00:00,0000008670,422000000.0,
