book,intervention,nominal_names,rebalances_per_year,effective_independent_names,persistence,effective_bets_per_year,cagr,sharpe,volatility,max_drawdown,pre_break_cagr,post_break_cagr
valuation,baseline,20,4.0625,7.386978334533081,0.47857142857142854,15.647862588106907,0.38580301852796683,1.7258241165581305,0.22354712442968225,-0.1892576181247574,0.2583002293698333,0.6109882669456921
valuation,sector_cap,20,4.0625,4.304357320945371,0.5,8.743225808170285,0.3731831532889518,1.4738392112216807,0.253204793608128,-0.24237977986651993,0.2894319961274361,0.514827931053311
valuation,wide,40,4.0625,8.698050473560063,0.5375,16.342821397587464,0.29887095416083187,1.3724344255243683,0.21776701939449072,-0.23044116331663766,0.15868868384472878,0.5521754807419905
valuation,depersist,20,4.0625,7.408414682554386,0.30357142857142866,20.96019109405733,0.3570724024655789,1.5883574898398378,0.22480606837544131,-0.22430539043830033,0.26662218895498446,0.5112428694543063
valuation,combined,40,4.0625,4.304357320945371,0.5,8.743225808170285,0.3731831532889518,1.4738392112216807,0.253204793608128,-0.24237977986651993,0.2894319961274361,0.514827931053311
fundamental,baseline,20,4.0625,6.38610983429478,0.6678571428571428,8.616971863462489,0.1974692559390967,0.8779542159791862,0.22491976500034044,-0.2449933935722184,0.16278419843992054,0.2536553639945305
fundamental,sector_cap,20,4.0625,3.9904998194074683,0.5238095238095238,7.719716912544209,0.14939605411975077,0.6240194491791812,0.23940929135504097,-0.26451388985996505,0.08745758929443204,0.25313887890097164
fundamental,wide,40,4.0625,7.7255428958010555,0.7071428571428572,9.191326704156165,0.16780873019642284,0.7846163758685079,0.2138736016192269,-0.23788529818714688,0.1353941901067417,0.22023308348875892
fundamental,depersist,20,4.0625,6.6572026249602265,0.42142857142857143,15.647398134114102,0.223092464914032,1.0071917299339124,0.22149950032718238,-0.24052535885790904,0.13801046924899008,0.3686979678382143
fundamental,combined,40,4.0625,3.9904998194074683,0.5238095238095238,7.719716912544209,0.14939605411975077,0.6240194491791812,0.23940929135504097,-0.26451388985996505,0.08745758929443204,0.25313887890097164
