decision_date,fundamental_eligible_names,price_selected_names,challenger_selected_names,selection_overlap,status
2022-04-01,63,12,12,8,candidate
2022-05-09,0,0,0,0,blocked_insufficient_fundamental_coverage
2022-06-02,63,12,12,9,candidate
2022-07-01,55,12,12,7,candidate
2022-08-01,56,12,12,10,candidate
2022-09-01,56,12,12,9,candidate
2022-10-03,55,12,12,9,candidate
2022-11-01,55,12,12,8,candidate
2022-12-01,56,12,12,8,candidate
2023-01-02,74,12,12,8,candidate
2023-02-01,70,12,12,8,candidate
2023-03-01,70,12,12,8,candidate
2023-04-03,56,12,12,9,candidate
2023-05-02,58,12,12,11,candidate
2023-06-05,57,12,12,10,candidate
2023-07-03,70,12,12,9,candidate
2023-08-01,74,12,12,8,candidate
2023-09-01,74,12,12,7,candidate
2023-10-02,73,12,12,8,candidate
2023-11-01,73,12,12,6,candidate
2023-12-01,72,12,12,7,candidate
2024-01-02,73,12,12,7,candidate
2024-02-01,74,12,12,7,candidate
2024-03-01,75,12,12,7,candidate
2024-04-01,60,12,12,8,candidate
2024-05-02,62,12,12,9,candidate
2024-06-03,62,12,12,8,candidate
2024-07-01,77,12,12,8,candidate
2024-08-01,73,12,12,9,candidate
2024-09-02,75,12,12,8,candidate
2024-10-01,75,12,12,9,candidate
2024-11-01,76,12,12,9,candidate
2024-12-02,75,12,12,8,candidate
2025-01-02,75,12,12,8,candidate
2025-02-03,76,12,12,7,candidate
2025-03-03,74,12,12,7,candidate
2025-04-08,0,0,0,0,blocked_insufficient_fundamental_coverage
2025-05-02,69,12,12,7,candidate
2025-06-02,70,12,12,9,candidate
2025-07-01,77,12,12,7,candidate
2025-08-01,78,12,12,6,candidate
2025-09-01,78,12,12,7,candidate
2025-10-01,74,12,12,9,candidate
2025-11-03,73,12,12,9,candidate
2025-12-01,73,12,12,10,candidate
2026-01-02,0,0,0,0,blocked_insufficient_fundamental_coverage
2026-02-02,0,0,0,0,blocked_insufficient_fundamental_coverage
2026-03-02,0,0,0,0,blocked_insufficient_fundamental_coverage
2026-04-01,65,12,12,7,candidate
2026-05-04,63,12,12,9,candidate
2026-06-02,61,12,12,8,candidate
2026-07-01,78,12,12,8,candidate
2026-08-03,78,12,12,8,candidate
