scope,n,accuracy,balanced_accuracy,model,label
full,806,0.3957816377171216,0.39730951846504964,LogReg,triple_barrier_label
dev,720,0.39305555555555555,0.3924215761852254,LogReg,triple_barrier_label
holdout,86,0.4186046511627907,0.5113355780022446,LogReg,triple_barrier_label
full,806,0.39950372208436724,0.36191381495564007,GBM,triple_barrier_label
dev,720,0.375,0.3449905663577468,GBM,triple_barrier_label
holdout,86,0.6046511627906976,0.5647586980920315,GBM,triple_barrier_label
full,806,0.41687344913151364,0.31549295774647884,naive_always_majority,triple_barrier_label
dev,720,0.39166666666666666,0.3122923588039867,naive_always_majority,triple_barrier_label
holdout,86,0.627906976744186,0.3333333333333333,naive_always_majority,triple_barrier_label
full,1102,0.36569872958257715,0.3400051820183962,naive_r2a_gt0,triple_barrier_label
dev,1006,0.3499005964214712,0.33273446983124405,naive_r2a_gt0,triple_barrier_label
holdout,96,0.53125,0.4018817204301075,naive_r2a_gt0,triple_barrier_label
full,1102,0.37295825771324864,0.3428682471822775,naive_mdq_gt0,triple_barrier_label
dev,1006,0.35785288270377735,0.33909638748348425,naive_mdq_gt0,triple_barrier_label
holdout,96,0.53125,0.32526881720430106,naive_mdq_gt0,triple_barrier_label
full,806,0.46153846153846156,0.4661059736394558,LogReg,deploy_quality_label
dev,720,0.45694444444444443,0.4637318720158238,LogReg,deploy_quality_label
holdout,86,0.5,0.38935721812434143,LogReg,deploy_quality_label
full,806,0.5595533498759305,0.4824285182823129,GBM,deploy_quality_label
dev,720,0.5402777777777777,0.47827479146231733,GBM,deploy_quality_label
holdout,86,0.7209302325581395,0.5194942044257113,GBM,deploy_quality_label
