model,actual,predicted,count
LogReg,-1,-1,92
LogReg,-1,0,70
LogReg,-1,1,101
LogReg,0,-1,53
LogReg,0,0,81
LogReg,0,1,54
LogReg,1,-1,110
LogReg,1,0,99
LogReg,1,1,146
GBM,-1,-1,62
GBM,-1,0,44
GBM,-1,1,157
GBM,0,-1,54
GBM,0,0,47
GBM,0,1,87
GBM,1,-1,60
GBM,1,0,82
GBM,1,1,213
