ACCESSION_NUMBER,FILING_DATE,DOCUMENT_TYPE,ISSUERCIK,ISSUERNAME,AFF10B5ONE,cik10,purchase_dollars,transaction_count,earliest_transaction_date,owner_count,is_ceo,is_cfo,is_director,is_officer,is_ten_percent,owner_ciks,filing_date,aff10b5one,decision_at,company_name_as_filed,sector,tradable_member,market_cap,cap_date,purchase_to_market_cap,role_score
0001209191-23-000119,03-JAN-2023,4,0000730255,CalAmp Corp.,,0000730255,243150.0,2,29-DEC-2022,1,False,False,True,False,False,0001391935,2023-01-03 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,CALAMP CORP.,technology,True,,2023-01-01 00:00:00+00:00,,1.0
0001062993-23-000279,04-JAN-2023,4,0001313275,BRIGHTCOVE INC,,0001313275,26228.8,3,03-JAN-2023,2,False,False,False,False,True,0001666682|0001712127,2023-01-04 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,BRIGHTCOVE INC,technology,True,219513.56000000003,2023-01-01 00:00:00+00:00,0.11948601261808152,0.0
0001209191-23-002159,05-JAN-2023,4,0000730255,CalAmp Corp.,,0000730255,88600.0,1,03-JAN-2023,1,False,False,True,False,False,0001391935,2023-01-05 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,CALAMP CORP.,technology,True,,2023-01-01 00:00:00+00:00,,1.0
0001415889-23-000625,06-JAN-2023,4,0001535527,"CrowdStrike Holdings, Inc.",,0001535527,3366650.0,2,05-JAN-2023,1,False,False,True,False,False,0001061632,2023-01-06 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,"CROWDSTRIKE HOLDINGS, INC.",technology,True,6153805716.009141,2023-01-01 00:00:00+00:00,0.0005470842199716595,1.0
0001062993-23-000731,09-JAN-2023,4,0001313275,BRIGHTCOVE INC,,0001313275,8874.0,1,05-JAN-2023,2,False,False,False,False,True,0001666682|0001712127,2023-01-09 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,BRIGHTCOVE INC,technology,True,219513.56000000003,2023-01-01 00:00:00+00:00,0.040425748641678444,0.0
0001062993-23-000890,12-JAN-2023,4,0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,,0000023197,560893.37,15,11-JAN-2023,1,True,False,True,True,False,0001575173,2023-01-12 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,COMTECH TELECOMMUNICATIONS CORP /DE/,technology,True,337192260.7958956,2023-01-01 00:00:00+00:00,0.00166342302363669,3.5
0001176334-23-000004,12-JAN-2023,4,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,,0001176334,2299.8246,1,11-JAN-2023,1,True,False,True,True,False,0001235924,2023-01-12 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,MARTIN MIDSTREAM PARTNERS L.P.,energy,True,116552250.0,2023-01-01 00:00:00+00:00,1.9732133871289485e-05,3.5
0001176334-23-000005,12-JAN-2023,4,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,,0001176334,1326.8193999999999,1,11-JAN-2023,1,False,True,False,True,False,0001832386,2023-01-12 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,MARTIN MIDSTREAM PARTNERS L.P.,energy,True,116552250.0,2023-01-01 00:00:00+00:00,1.1383902069672614e-05,2.25
0001176334-23-000006,12-JAN-2023,4,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,,0001176334,1413.3510999999999,1,11-JAN-2023,1,False,False,True,False,True,0001201198,2023-01-12 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,MARTIN MIDSTREAM PARTNERS L.P.,energy,True,116552250.0,2023-01-01 00:00:00+00:00,1.2126330465520827e-05,1.0
0000919574-23-000338,13-JAN-2023,4,0001007587,KVH INDUSTRIES INC \DE\,,0001007587,120008.5,3,02-JUN-2022,2,False,False,False,False,True,0001215611|0001396716,2023-01-13 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,KVH INDUSTRIES INC DE,technology,True,196039595.4421349,2023-01-01 00:00:00+00:00,0.0006121645973066853,0.0
0000919574-23-000342,13-JAN-2023,4,0001007587,KVH INDUSTRIES INC \DE\,,0001007587,36510.0,2,14-DEC-2022,2,False,False,False,False,True,0001215611|0001396716,2023-01-13 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,KVH INDUSTRIES INC DE,technology,True,196039595.4421349,2023-01-01 00:00:00+00:00,0.00018623788688023832,0.0
0000899243-23-001805,13-JAN-2023,4,0001441683,APPIAN CORP,,0001441683,8735162.129999999,16,11-JAN-2023,5,False,False,False,False,True,0001362771|0001508239|0001578684|0001659179|0001659198,2023-01-13 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,APPIAN CORP,technology,True,2360697779.5677185,2023-01-01 00:00:00+00:00,0.0037002458364660076,0.0
0001127602-23-001455,17-JAN-2023,4,0000821189,EOG RESOURCES INC,,0000821189,2609800.0,1,12-JAN-2023,1,False,False,True,False,False,0001827021,2023-01-17 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,EOG RESOURCES INC,energy,True,76078690031.51868,2023-01-01 00:00:00+00:00,3.4303955534970233e-05,1.0
0000899243-23-002214,19-JAN-2023,4,0001441683,APPIAN CORP,,0001441683,11891120.45,16,17-JAN-2023,5,False,False,False,False,True,0001362771|0001508239|0001578684|0001659179|0001659198,2023-01-19 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,APPIAN CORP,technology,True,2360697779.5677185,2023-01-01 00:00:00+00:00,0.005037121038076062,0.0
0001127602-23-002146,24-JAN-2023,4,0000006951,APPLIED MATERIALS INC /DE,,0000006951,52034.57,13,08-MAR-2022,1,False,False,True,False,False,0001284885,2023-01-24 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,APPLIED MATERIALS INC /DE,technology,True,82202323809.861,2023-01-01 00:00:00+00:00,6.330060707329776e-07,1.0
0000899243-23-002529,24-JAN-2023,4,0001441683,APPIAN CORP,,0001441683,11139394.48,20,20-JAN-2023,6,False,False,False,False,True,0001362771|0001508239|0001578684|0001659179|0001659198|0001963356,2023-01-24 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,APPIAN CORP,technology,True,2360697779.5677185,2023-01-01 00:00:00+00:00,0.004718687235788311,0.0
0000899243-23-002917,27-JAN-2023,4,0001441683,APPIAN CORP,,0001441683,4900801.62,16,25-JAN-2023,6,False,False,False,False,True,0001362771|0001508239|0001578684|0001659179|0001659198|0001963356,2023-01-27 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,APPIAN CORP,technology,True,2360697779.5677185,2023-01-01 00:00:00+00:00,0.0020759970473210746,0.0
0001209191-23-005837,31-JAN-2023,4,0000730255,CalAmp Corp.,,0000730255,112999.99999999999,1,27-JAN-2023,1,False,False,True,False,False,0001391935,2023-01-31 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,CALAMP CORP.,technology,True,,2023-01-01 00:00:00+00:00,,1.0
0000899243-23-003169,01-FEB-2023,4,0001441683,APPIAN CORP,,0001441683,3452114.8,11,01-FEB-2023,6,False,False,False,False,True,0001362771|0001508239|0001578684|0001659179|0001659198|0001963356,2023-02-01 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,APPIAN CORP,technology,True,2360697779.5677185,2023-01-01 00:00:00+00:00,0.0014623281429239695,0.0
0001127602-23-003112,02-FEB-2023,4,0000050863,INTEL CORP,,0000050863,250469.99999999997,1,31-JAN-2023,1,True,False,True,True,False,0001316331,2023-02-02 00:00:00+00:00,False,2023-01-01 00:00:00+00:00,INTEL CORP,technology,True,109076611259.46043,2023-01-01 00:00:00+00:00,2.2962759578605464e-06,3.5
