candidate,sleeve,window_days,family,confirmation,breadth,market_cap_floor,sector_cap,allocation,cost_bps,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,full_sharpe,full_drawdown,active_weeks
all_open_market__win7d__none__top5__floor50m__sector50__w0.10__50bps,all_open_market__win7d__none__top5__floor50m__sector50,7,all_open_market,none,5,50000000,0.5,0.1,50,0.9162046820893808,2.6918745642719997,-0.09102378827320945,0.36490689380366303,1.6241099477091916,-0.1938481005488999,0
all_open_market__win7d__none__top5__floor50m__sector50__w0.20__50bps,all_open_market__win7d__none__top5__floor50m__sector50,7,all_open_market,none,5,50000000,0.5,0.2,50,0.7887596642612138,2.691874564272,-0.08120686494790441,0.3211622007502537,1.6234591416273987,-0.17346336627746828,0
all_open_market__win7d__none__top5__floor50m__sector50__w0.30__50bps,all_open_market__win7d__none__top5__floor50m__sector50,7,all_open_market,none,5,50000000,0.5,0.3,50,0.6683809953478421,2.6918745642719997,-0.0713164483144203,0.27813659319590567,1.6226160617439302,-0.15279173394600465,0
all_open_market__win7d__none__top5__floor50m__sector50__w0.40__50bps,all_open_market__win7d__none__top5__floor50m__sector50,7,all_open_market,none,5,50000000,0.5,0.4,50,0.5547804662886944,2.691874564272,-0.06135223215219732,0.23585106186769966,1.6214808863717862,-0.13183244218567558,0
all_open_market__win7d__none__top5__floor50m__sector50__w0.10__100bps,all_open_market__win7d__none__top5__floor50m__sector50,7,all_open_market,none,5,50000000,0.5,0.1,100,0.9162046820893808,2.6918745642719997,-0.09102378827320945,0.36472455075834187,1.6235896475145104,-0.19384810054889978,0
all_open_market__win7d__none__top5__floor50m__sector50__w0.20__100bps,all_open_market__win7d__none__top5__floor50m__sector50,7,all_open_market,none,5,50000000,0.5,0.2,100,0.7887596642612138,2.691874564272,-0.08120686494790441,0.32080760339180125,1.6222768369909772,-0.17346336627746817,0
all_open_market__win7d__none__top5__floor50m__sector50__w0.30__100bps,all_open_market__win7d__none__top5__floor50m__sector50,7,all_open_market,none,5,50000000,0.5,0.3,100,0.6683809953478421,2.6918745642719997,-0.0713164483144203,0.27761967716709557,1.6205636449205105,-0.15279173394600443,0
all_open_market__win7d__none__top5__floor50m__sector50__w0.40__100bps,all_open_market__win7d__none__top5__floor50m__sector50,7,all_open_market,none,5,50000000,0.5,0.4,100,0.5547804662886944,2.691874564272,-0.06135223215219732,0.23518159555323725,1.6182351916324316,-0.13183244218567558,0
all_open_market__win7d__none__top5__floor50m__sector50__w0.10__200bps,all_open_market__win7d__none__top5__floor50m__sector50,7,all_open_market,none,5,50000000,0.5,0.1,200,0.9162046820893808,2.6918745642719997,-0.09102378827320945,0.36435967339075304,1.62254077685247,-0.19384810054890012,0
all_open_market__win7d__none__top5__floor50m__sector50__w0.20__200bps,all_open_market__win7d__none__top5__floor50m__sector50,7,all_open_market,none,5,50000000,0.5,0.2,200,0.7887596642612138,2.691874564272,-0.08120686494790441,0.3200976607881443,1.6198704088649074,-0.17346336627746817,0
all_open_market__win7d__none__top5__floor50m__sector50__w0.30__200bps,all_open_market__win7d__none__top5__floor50m__sector50,7,all_open_market,none,5,50000000,0.5,0.3,200,0.6683809953478421,2.6918745642719997,-0.0713164483144203,0.27658420103747194,1.6163361263776337,-0.15279173394600465,0
all_open_market__win7d__none__top5__floor50m__sector50__w0.40__200bps,all_open_market__win7d__none__top5__floor50m__sector50,7,all_open_market,none,5,50000000,0.5,0.4,200,0.5547804662886944,2.691874564272,-0.06135223215219732,0.23383980868772625,1.6114477212555802,-0.13183244218567558,0
all_open_market__win7d__none__top5__floor50m__sector70__w0.10__50bps,all_open_market__win7d__none__top5__floor50m__sector70,7,all_open_market,none,5,50000000,0.7,0.1,50,0.9098785157967246,2.6566912566009706,-0.10224989637738813,0.37110253289281014,1.5904105240098323,-0.20547685085384637,95
all_open_market__win7d__none__top5__floor50m__sector70__w0.20__50bps,all_open_market__win7d__none__top5__floor50m__sector70,7,all_open_market,none,5,50000000,0.7,0.2,50,0.7767165741615356,2.6009364786298677,-0.10479495243469905,0.3329739026275689,1.5323433863316194,-0.2040910991966426,95
all_open_market__win7d__none__top5__floor50m__sector70__w0.30__50bps,all_open_market__win7d__none__top5__floor50m__sector70,7,all_open_market,none,5,50000000,0.7,0.3,50,0.6512063128531518,2.5133104365211225,-0.10748653249604334,0.29500754153012343,1.4447013695650597,-0.20335392568012967,95
all_open_market__win7d__none__top5__floor50m__sector70__w0.40__50bps,all_open_market__win7d__none__top5__floor50m__sector70,7,all_open_market,none,5,50000000,0.7,0.4,50,0.5330344201641093,2.3767921506424194,-0.11032535386640763,0.257247608499205,1.3242129753721674,-0.20368109151478042,95
all_open_market__win7d__none__top5__floor50m__sector70__w0.10__100bps,all_open_market__win7d__none__top5__floor50m__sector70,7,all_open_market,none,5,50000000,0.7,0.1,100,0.8858866120091267,2.604518901470817,-0.10403655235140541,0.35302454641819625,1.5275100875712344,-0.20944397203698606,95
all_open_market__win7d__none__top5__floor50m__sector70__w0.20__100bps,all_open_market__win7d__none__top5__floor50m__sector70,7,all_open_market,none,5,50000000,0.7,0.2,100,0.7323096642759703,2.485481681844556,-0.108359917796098,0.2980354358011421,1.3991475436027312,-0.21245183093758013,95
all_open_market__win7d__none__top5__floor50m__sector70__w0.30__100bps,all_open_market__win7d__none__top5__floor50m__sector70,7,all_open_market,none,5,50000000,0.7,0.3,100,0.5896198810631943,2.321095004655132,-0.11282086682607972,0.2443978449252071,1.2356529814989203,-0.2158655615277839,95
all_open_market__win7d__none__top5__floor50m__sector70__w0.40__100bps,all_open_market__win7d__none__top5__floor50m__sector70,7,all_open_market,none,5,50000000,0.7,0.4,100,0.4571852481141474,2.0924744831674795,-0.11741951926967731,0.19212606309541536,1.037169126433811,-0.22154814149197943,95
all_open_market__win7d__none__top5__floor50m__sector70__w0.10__200bps,all_open_market__win7d__none__top5__floor50m__sector70,7,all_open_market,none,5,50000000,0.7,0.1,200,0.8387726661325883,2.500217954897644,-0.1076013847027193,0.3175573195813113,1.401571363777498,-0.2175596903299395,95
all_open_market__win7d__none__top5__floor50m__sector70__w0.20__200bps,all_open_market__win7d__none__top5__floor50m__sector70,7,all_open_market,none,5,50000000,0.7,0.2,200,0.6466881986760287,2.2549839027177905,-0.11545598747319097,0.23079501349659504,1.1323096663144208,-0.22982799598703996,95
all_open_market__win7d__none__top5__floor50m__sector70__w0.30__200bps,all_open_market__win7d__none__top5__floor50m__sector70,7,all_open_market,none,5,50000000,0.7,0.3,200,0.47303123705517347,1.9384552970033322,-0.12341348253539508,0.14885209834210666,0.8169426570798717,-0.2660757518988912,95
all_open_market__win7d__none__top5__floor50m__sector70__w0.40__200bps,all_open_market__win7d__none__top5__floor50m__sector70,7,all_open_market,none,5,50000000,0.7,0.4,200,0.3162069973207282,1.5294254471988598,-0.13147289338194823,0.07152410359249095,0.46293078907711954,-0.3029929169406941,95
all_open_market__win7d__none__top5__floor250m__sector50__w0.10__50bps,all_open_market__win7d__none__top5__floor250m__sector50,7,all_open_market,none,5,250000000,0.5,0.1,50,0.9162046820893808,2.6918745642719997,-0.09102378827320945,0.36490689380366303,1.6241099477091916,-0.1938481005488999,0
