cik10,company_name_as_filed,sector,latest_filing,purchase_dollars,purchase_to_market_cap,filing_count,role_score,market_cap,any_ceo,any_cfo,owner_count,price_momentum_4w,score,decision_at
0001441683,APPIAN CORP,technology,2023-02-21 00:00:00+00:00,18267892.72,0.007738344517503271,5,0.0,2360697779.5677185,False,False,6,0.1903651478355719,0.763888888888889,2023-02-24
0001114995,IMPINJ INC,technology,2023-02-23 00:00:00+00:00,15975381.18,0.005646209112219968,2,1.0,2829399489.5486298,False,False,3,0.015944921425705694,0.7222222222222222,2023-02-24
0001176334,MARTIN MIDSTREAM PARTNERS L.P.,energy,2023-02-23 00:00:00+00:00,17581.0855,0.00015084295240975614,10,3.5,116552250.0,True,True,6,-0.222497130048547,0.5972222222222222,2023-02-24
0001090012,DEVON ENERGY CORP/DE,energy,2023-02-23 00:00:00+00:00,1047462.72,2.6050398721633634e-05,3,3.5,40209085902.786255,True,False,2,-0.17637054779475436,0.5694444444444444,2023-02-24
0001535527,"CROWDSTRIKE HOLDINGS, INC.",technology,2023-02-14 00:00:00+00:00,1534958.22,0.0002494323498070149,2,1.0,6153805716.009141,False,False,2,0.10482541295821002,0.5416666666666666,2023-02-24
0001114995,IMPINJ INC,technology,2023-02-23 00:00:00+00:00,15975381.18,0.005646209112219968,2,1.0,2829399489.5486298,False,False,3,-0.023298348311794004,0.75,2023-03-03
0001441683,APPIAN CORP,technology,2023-02-21 00:00:00+00:00,13367091.1,0.005662347470182196,4,0.0,2360697779.5677185,False,False,6,0.015797028882134523,0.7307692307692308,2023-03-03
0001447669,TWILIO INC,technology,2023-02-27 00:00:00+00:00,10250678.66,0.0011601409986486916,2,3.5,8835717961.81652,True,False,2,0.061433997714340105,0.7211538461538461,2023-03-03
0001090012,DEVON ENERGY CORP/DE,energy,2023-02-23 00:00:00+00:00,1047462.72,2.6050398721633634e-05,3,3.5,40209085902.786255,True,False,2,-0.15734636553260828,0.5865384615384616,2023-03-03
0001176334,MARTIN MIDSTREAM PARTNERS L.P.,energy,2023-02-23 00:00:00+00:00,17581.0855,0.00015084295240975614,10,3.5,116552250.0,True,True,6,-0.236446414114734,0.5865384615384616,2023-03-03
0001114995,IMPINJ INC,technology,2023-02-23 00:00:00+00:00,15975381.18,0.005646209112219968,2,1.0,2829399489.5486298,False,False,3,0.11295996093750005,0.75,2023-03-10
0001447669,TWILIO INC,technology,2023-02-27 00:00:00+00:00,10250678.66,0.0011601409986486916,2,3.5,8835717961.81652,True,False,2,0.18207995605468752,0.7421875,2023-03-10
0001441683,APPIAN CORP,technology,2023-02-21 00:00:00+00:00,9914976.3,0.004200019327258227,3,0.0,2360697779.5677185,False,False,6,0.021744124348832106,0.6953125,2023-03-10
0000844965,TETRA TECHNOLOGIES INC,energy,2023-03-09 00:00:00+00:00,333715.0,0.0007498798952801396,6,2.5,445024599.40645695,True,True,6,-0.0769231239484367,0.65625,2023-03-10
0001176334,MARTIN MIDSTREAM PARTNERS L.P.,energy,2023-02-23 00:00:00+00:00,13197.9249,0.00011323612285477115,7,3.5,116552250.0,True,True,6,0.012477469045754086,0.578125,2023-03-10
0001447669,TWILIO INC,technology,2023-02-27 00:00:00+00:00,10250678.66,0.0011601409986486916,2,3.5,8835717961.81652,True,False,2,0.07141669614319945,0.7670454545454546,2023-03-17
0000844965,TETRA TECHNOLOGIES INC,energy,2023-03-09 00:00:00+00:00,333715.0,0.0007498798952801396,6,2.5,445024599.40645695,True,True,6,-0.18891687521285772,0.7272727272727273,2023-03-17
0001090012,DEVON ENERGY CORP/DE,energy,2023-03-15 00:00:00+00:00,2424312.7199999997,6.0292659372095035e-05,5,3.5,40209085902.786255,True,False,3,-0.18539509248001973,0.7272727272727273,2023-03-17
0001441683,APPIAN CORP,technology,2023-02-21 00:00:00+00:00,4520795.359999999,0.001915025040108196,1,0.0,2360697779.5677185,False,False,6,-0.021899591609618296,0.7102272727272728,2023-03-17
0001520006,MATADOR RESOURCES CO,energy,2023-03-16 00:00:00+00:00,253987.5,3.755230819117866e-05,6,3.5,6763565603.130188,True,False,5,-0.21113997499980597,0.6363636363636364,2023-03-17
0001447669,TWILIO INC,technology,2023-02-27 00:00:00+00:00,10250678.66,0.0011601409986486916,2,3.5,8835717961.81652,True,False,2,-0.11051362333310089,0.7932692307692308,2023-03-24
0001520006,MATADOR RESOURCES CO,energy,2023-03-20 00:00:00+00:00,494347.5,7.308977675491389e-05,8,3.5,6763565603.130188,True,False,7,-0.2613865108125083,0.7355769230769231,2023-03-24
0000844965,TETRA TECHNOLOGIES INC,energy,2023-03-09 00:00:00+00:00,333715.0,0.0007498798952801396,6,2.5,445024599.40645695,True,True,6,-0.3521851123475508,0.7019230769230769,2023-03-24
0001086600,ALLIANCE RESOURCE PARTNERS LP,energy,2023-03-20 00:00:00+00:00,2749523.25,0.001063807167116574,1,3.5,2584606811.2631,True,False,1,-0.11910324228139946,0.6634615384615384,2023-03-24
0001123494,HARVARD BIOSCIENCE INC,technology,2023-03-16 00:00:00+00:00,184690.4,0.00016005504871179538,2,3.5,1153917989.3822937,True,False,2,-0.0033112708259412926,0.6298076923076923,2023-03-24
0001520006,MATADOR RESOURCES CO,energy,2023-03-20 00:00:00+00:00,494347.5,7.308977675491389e-05,8,3.5,6763565603.130188,True,False,7,-0.1892823218776546,0.7556818181818182,2023-03-31
0000844965,TETRA TECHNOLOGIES INC,energy,2023-03-09 00:00:00+00:00,333715.0,0.0007498798952801396,6,2.5,445024599.40645695,True,True,6,-0.3591731027363554,0.7045454545454546,2023-03-31
0001086600,ALLIANCE RESOURCE PARTNERS LP,energy,2023-03-20 00:00:00+00:00,2749523.25,0.001063807167116574,1,3.5,2584606811.2631,True,False,1,-0.06048774218026143,0.6875,2023-03-31
0001123494,HARVARD BIOSCIENCE INC,technology,2023-03-16 00:00:00+00:00,184690.4,0.00016005504871179538,2,3.5,1153917989.3822937,True,False,2,0.05084745762711873,0.6534090909090909,2023-03-31
0001784535,"PORCH GROUP, INC.",technology,2023-03-21 00:00:00+00:00,235639.04,0.0012464868465617228,1,3.5,189042540.36051857,True,False,1,-0.5494880469702492,0.6306818181818181,2023-03-31
0001505952,"DOMO, INC.",technology,2023-04-04 00:00:00+00:00,7057770.1,0.014454842021711316,2,3.5,488022465.5685425,True,False,3,-0.10473190921983433,0.8571428571428571,2023-04-07
0001520006,MATADOR RESOURCES CO,energy,2023-03-20 00:00:00+00:00,494347.5,7.308977675491389e-05,8,3.5,6763565603.130188,True,False,7,-0.17603308083640734,0.7023809523809523,2023-04-07
0001086600,ALLIANCE RESOURCE PARTNERS LP,energy,2023-03-20 00:00:00+00:00,2749523.25,0.001063807167116574,1,3.5,2584606811.2631,True,False,1,-0.04768640375313882,0.6785714285714285,2023-04-07
0000844965,TETRA TECHNOLOGIES INC,energy,2023-03-09 00:00:00+00:00,333715.0,0.0007498798952801396,6,2.5,445024599.40645695,True,True,6,-0.26388884289764925,0.6607142857142858,2023-04-07
0001784535,"PORCH GROUP, INC.",technology,2023-03-21 00:00:00+00:00,235639.04,0.0012464868465617228,1,3.5,189042540.36051857,True,False,1,-0.35294121137349377,0.5952380952380952,2023-04-07
0001505952,"DOMO, INC.",technology,2023-04-13 00:00:00+00:00,6135970.1,0.01257313040466619,2,3.5,488022465.5685425,True,True,3,0.1820388400079349,0.8552631578947368,2023-04-14
0001520006,MATADOR RESOURCES CO,energy,2023-03-20 00:00:00+00:00,487435.0,7.20677566540368e-05,7,3.5,6763565603.130188,True,False,6,-0.010392104246249367,0.6973684210526316,2023-04-14
0001086600,ALLIANCE RESOURCE PARTNERS LP,energy,2023-03-20 00:00:00+00:00,2749523.25,0.001063807167116574,1,3.5,2584606811.2631,True,False,1,0.05096211118216076,0.6776315789473684,2023-04-14
0001801661,SKILLZ INC.,technology,2023-04-05 00:00:00+00:00,840000.0000000001,0.00017114663108939754,1,3.5,4908072070.441343,True,False,1,0.3178295332983898,0.6118421052631579,2023-04-14
0001784535,"PORCH GROUP, INC.",technology,2023-03-21 00:00:00+00:00,235639.04,0.0012464868465617228,1,3.5,189042540.36051857,True,False,1,-0.22159090216371635,0.5986842105263158,2023-04-14
0001505952,"DOMO, INC.",technology,2023-04-17 00:00:00+00:00,6820920.1,0.013976651857724787,3,3.5,488022465.5685425,True,True,4,0.27882264339503693,0.875,2023-04-21
0001801661,SKILLZ INC.,technology,2023-04-05 00:00:00+00:00,840000.0000000001,0.00017114663108939754,1,3.5,4908072070.441343,True,False,1,0.44605799625712517,0.6249999999999999,2023-04-21
0001441683,APPIAN CORP,technology,2023-04-05 00:00:00+00:00,281280.6,8.741712001831291e-05,1,0.0,3217683217.441559,False,False,6,-0.02957440581206139,0.6071428571428571,2023-04-21
0001176334,MARTIN MIDSTREAM PARTNERS L.P.,energy,2023-04-13 00:00:00+00:00,6722.4297,6.30464787055859e-05,4,3.5,106626568.81112053,True,True,4,0.007905188366201576,0.5178571428571428,2023-04-21
0001001614,"RILEY EXPLORATION PERMIAN, INC.",energy,2023-04-20 00:00:00+00:00,131370.0,0.0001712221071109967,1,0.0,767249055.724083,False,False,3,0.4820511038489359,0.5,2023-04-21
0001505952,"DOMO, INC.",technology,2023-04-17 00:00:00+00:00,6820920.1,0.013976651857724787,3,3.5,488022465.5685425,True,True,4,0.3833333651224773,0.8541666666666667,2023-04-28
0001441683,APPIAN CORP,technology,2023-04-05 00:00:00+00:00,281280.6,8.741712001831291e-05,1,0.0,3217683217.441559,False,False,6,-0.004975143262281545,0.5833333333333334,2023-04-28
0001801661,SKILLZ INC.,technology,2023-04-05 00:00:00+00:00,840000.0000000001,0.00017114663108939754,1,3.5,4908072070.441343,True,False,1,0.2003853468953538,0.5833333333333334,2023-04-28
0001176334,MARTIN MIDSTREAM PARTNERS L.P.,energy,2023-04-13 00:00:00+00:00,6722.4297,6.30464787055859e-05,4,3.5,106626568.81112053,True,True,4,-0.0384616867150912,0.47916666666666663,2023-04-28
0001001614,"RILEY EXPLORATION PERMIAN, INC.",energy,2023-04-20 00:00:00+00:00,131370.0,0.0001712221071109967,1,0.0,767249055.724083,False,False,3,0.4098910956389432,0.4583333333333333,2023-04-28
