candidate,sleeve,window_days,family,confirmation,breadth,market_cap_floor,sector_cap,allocation,cost_bps,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,full_sharpe,full_drawdown,active_weeks,beats_control_both
executive_or_cluster__win30d__none__top5__floor50m__sector70__w0.10__50bps,executive_or_cluster__win30d__none__top5__floor50m__sector70,30,executive_or_cluster,none,5,50000000,0.7,0.1,50,0.9735893977922692,2.7770206829685637,-0.09129684332002119,0.3737813829004877,1.5734222793568466,-0.2088060085182083,146,False
cluster_2plus__win30d__none__top5__floor50m__sector70__w0.10__50bps,cluster_2plus__win30d__none__top5__floor50m__sector70,30,cluster_2plus,none,5,50000000,0.7,0.1,50,0.9727534058619767,2.7876485627745287,-0.08879920214198123,0.37888506468391925,1.6115736036279111,-0.20809308695272788,129,False
discretionary_cluster_2plus__win30d__none__top5__floor50m__sector70__w0.10__50bps,discretionary_cluster_2plus__win30d__none__top5__floor50m__sector70,30,discretionary_cluster_2plus,none,5,50000000,0.7,0.1,50,0.9713453775514955,2.78223447349631,-0.08879920214198112,0.37801247878642674,1.6089425929133017,-0.208093086952728,128,False
cluster_2plus__win30d__none__top5__floor250m__sector70__w0.10__50bps,cluster_2plus__win30d__none__top5__floor250m__sector70,30,cluster_2plus,none,5,250000000,0.7,0.1,50,0.9700749120201708,2.7643577291944053,-0.08971524432177946,0.39052322690871866,1.6573451888393063,-0.20584025110796023,99,False
discretionary_cluster_2plus__win30d__none__top5__floor250m__sector70__w0.10__50bps,discretionary_cluster_2plus__win30d__none__top5__floor250m__sector70,30,discretionary_cluster_2plus,none,5,250000000,0.7,0.1,50,0.9685914036909149,2.7615500326663307,-0.08971524432177957,0.3905423426832244,1.6581940069308436,-0.2058402511079599,99,False
executive_or_cluster__win30d__none__top5__floor250m__sector70__w0.10__50bps,executive_or_cluster__win30d__none__top5__floor250m__sector70,30,executive_or_cluster,none,5,250000000,0.7,0.1,50,0.9611479530181866,2.738827893915155,-0.09221037458820236,0.38891061068151545,1.635101618387703,-0.20623668774097859,120,False
discretionary__win30d__none__top5__floor50m__sector70__w0.10__50bps,discretionary__win30d__none__top5__floor50m__sector70,30,discretionary,none,5,50000000,0.7,0.1,50,0.9550194659020677,2.7117680158884143,-0.0950060879375011,0.3821899165239453,1.5923217912685996,-0.21056129934647894,173,False
all_open_market__win30d__none__top5__floor50m__sector70__w0.10__50bps,all_open_market__win30d__none__top5__floor50m__sector70,30,all_open_market,none,5,50000000,0.7,0.1,50,0.9528520614794835,2.7103256701462026,-0.09500608793750098,0.3821629366505854,1.5899810476428218,-0.2088520541436646,174,False
all_open_market__win30d__none__top10__floor50m__sector50__w0.10__50bps,all_open_market__win30d__none__top10__floor50m__sector50,30,all_open_market,none,10,50000000,0.5,0.1,50,0.9518148691157251,2.7262893122569736,-0.09182888969265879,0.37553300116626587,1.596714654415793,-0.20696579702028273,129,False
cluster_2plus__win30d__none__top10__floor50m__sector70__w0.10__50bps,cluster_2plus__win30d__none__top10__floor50m__sector70,30,cluster_2plus,none,10,50000000,0.7,0.1,50,0.9503036456300262,2.729478352788118,-0.09025818357006588,0.3814360631096245,1.6343446116207823,-0.20576447023425015,83,False
