candidate_left,candidate_right,full_return_correlation,recent_return_correlation,average_weight_overlap
candidate-052f66f29b9fafbe,candidate-0788c02844e389fa,0.9813691630694034,0.9871182583224141,0.8413511764942316
candidate-052f66f29b9fafbe,candidate-23e3beb2c30dbeb8,0.921395516598858,0.9417829665385419,0.6504696458609076
candidate-052f66f29b9fafbe,candidate-36a0f3d51675c16f,0.9308573612480359,0.9653944131309911,0.7126444945558195
candidate-052f66f29b9fafbe,candidate-3a187e9134eefe61,0.9228385147158148,0.9178452016810587,0.668447807121501
candidate-052f66f29b9fafbe,candidate-4c75085a1dd85949,0.9338511646531326,0.9579641778708747,0.7218265302013274
candidate-052f66f29b9fafbe,candidate-539eaf900f7b2b57,0.9333871926192747,0.9465962818821685,0.6813132518465347
candidate-052f66f29b9fafbe,candidate-8ca3faf38ba934cb,0.9807065113831677,0.9839696032426766,0.850081797536603
candidate-052f66f29b9fafbe,candidate-c1a595f584a5d469,0.9086416956545189,0.9429969216896202,0.7321147447597008
candidate-052f66f29b9fafbe,candidate-fc7248702f02b421,0.9432255954620948,0.9623307570107531,0.7133861400466782
candidate-0788c02844e389fa,candidate-23e3beb2c30dbeb8,0.9239135807752341,0.948039330677202,0.6500306657362642
candidate-0788c02844e389fa,candidate-36a0f3d51675c16f,0.9312450830456989,0.9698418746247831,0.7486659446409162
candidate-0788c02844e389fa,candidate-3a187e9134eefe61,0.9348228899547966,0.9159824554071075,0.7228640849825604
candidate-0788c02844e389fa,candidate-4c75085a1dd85949,0.9334231425109314,0.9604288766220429,0.749041336404914
candidate-0788c02844e389fa,candidate-539eaf900f7b2b57,0.9437205538231895,0.9564788939871154,0.6955227388040607
candidate-0788c02844e389fa,candidate-8ca3faf38ba934cb,0.9746807210908043,0.9827360288931349,0.8309007914267532
candidate-0788c02844e389fa,candidate-c1a595f584a5d469,0.8937706245342772,0.9418033209647898,0.6950205123529024
candidate-0788c02844e389fa,candidate-fc7248702f02b421,0.9387057095443411,0.9663279404213498,0.6949171995942135
candidate-23e3beb2c30dbeb8,candidate-36a0f3d51675c16f,0.9420213776251153,0.944735449121335,0.6175976524776948
candidate-23e3beb2c30dbeb8,candidate-3a187e9134eefe61,0.8546002124418336,0.8610990248839687,0.5119087477770223
candidate-23e3beb2c30dbeb8,candidate-4c75085a1dd85949,0.9271353579887182,0.9431667441554616,0.6049742958345061
candidate-23e3beb2c30dbeb8,candidate-539eaf900f7b2b57,0.9644647495729367,0.9828946097273167,0.8699794588902027
candidate-23e3beb2c30dbeb8,candidate-8ca3faf38ba934cb,0.919897358560329,0.9379955530865411,0.6386922467062419
candidate-23e3beb2c30dbeb8,candidate-c1a595f584a5d469,0.8804130747623665,0.9333959955785174,0.6150957107403936
candidate-23e3beb2c30dbeb8,candidate-fc7248702f02b421,0.9470404496419134,0.9623099515666393,0.7674608283589175
candidate-36a0f3d51675c16f,candidate-3a187e9134eefe61,0.8710565079139082,0.8831589442157732,0.6564061429788192
candidate-36a0f3d51675c16f,candidate-4c75085a1dd85949,0.9752120022637063,0.9815156147200224,0.9113537806090317
candidate-36a0f3d51675c16f,candidate-539eaf900f7b2b57,0.9398072236309368,0.949087518791039,0.6399005534072637
candidate-36a0f3d51675c16f,candidate-8ca3faf38ba934cb,0.9284802919647981,0.9590234794192088,0.7362087458449306
candidate-36a0f3d51675c16f,candidate-c1a595f584a5d469,0.8712219174004359,0.9229091695465155,0.632570558543118
candidate-36a0f3d51675c16f,candidate-fc7248702f02b421,0.9520499712235438,0.954823306365439,0.6357616495931729
candidate-3a187e9134eefe61,candidate-4c75085a1dd85949,0.8800772198008454,0.8702886208130881,0.6568936609983834
candidate-3a187e9134eefe61,candidate-539eaf900f7b2b57,0.8754536643149124,0.8729297751924833,0.554891022430957
candidate-3a187e9134eefe61,candidate-8ca3faf38ba934cb,0.9312815947660732,0.9151238522403177,0.7308378205461724
candidate-3a187e9134eefe61,candidate-c1a595f584a5d469,0.8378929283862588,0.8588451219245901,0.5731574135803832
candidate-3a187e9134eefe61,candidate-fc7248702f02b421,0.8764698587541784,0.8945408850161063,0.5438815173555266
candidate-4c75085a1dd85949,candidate-539eaf900f7b2b57,0.9242828600070754,0.9518169502706644,0.6210302695525158
candidate-4c75085a1dd85949,candidate-8ca3faf38ba934cb,0.9376612901581919,0.9591177220698451,0.7621903648338364
candidate-4c75085a1dd85949,candidate-c1a595f584a5d469,0.8954650658879779,0.9418927613831081,0.6625995463578244
candidate-4c75085a1dd85949,candidate-fc7248702f02b421,0.9486570177889805,0.9536922670206919,0.6302982335445717
candidate-539eaf900f7b2b57,candidate-8ca3faf38ba934cb,0.9245040718078696,0.9424949491796233,0.6600418497537239
candidate-539eaf900f7b2b57,candidate-c1a595f584a5d469,0.8590401556358183,0.9277333197414487,0.5896290026321384
candidate-539eaf900f7b2b57,candidate-fc7248702f02b421,0.9423788459220297,0.9660164344265727,0.7992181738009342
candidate-8ca3faf38ba934cb,candidate-c1a595f584a5d469,0.9299542792025612,0.9629869626964257,0.7702722360803458
candidate-8ca3faf38ba934cb,candidate-fc7248702f02b421,0.9333439325568808,0.962707203537942,0.6906059004448426
candidate-c1a595f584a5d469,candidate-fc7248702f02b421,0.883519942565996,0.9473994071599682,0.6413488413246398
