strategy,caps,window,weeks,base_cagr,sized_cagr,base_sharpe,sized_sharpe,base_maxdd,sized_maxdd,sharpe_gain,drawdown_worse_by
sector_ensemble,0.75-1.25,full,188,0.42735783406919925,0.47216650794217974,1.7084927218280432,1.7521722852150277,-0.21800170778866745,-0.19821068322469282,0.04367956338698442,-0.019791024563974635
sector_ensemble,0.75-1.25,pre_break,117,0.08914719391579107,0.11897829433205342,0.535250110258265,0.6612863156631688,-0.21800170778866745,-0.19821068322469282,0.1260362054049038,-0.019791024563974635
sector_ensemble,0.75-1.25,post_break,71,1.2288000516333977,1.3135475827955996,3.329826900156917,3.180021679245425,-0.087087583753373,-0.10359468290281526,-0.1498052209114924,0.01650709914944226
sector_ensemble,0.5-1.5,full,188,0.42735783406919925,0.5165139620827959,1.7084927218280432,1.7616924653561674,-0.21800170778866745,-0.17848398165518764,0.05319974352812418,-0.039517726133479814
sector_ensemble,0.5-1.5,pre_break,117,0.08914719391579107,0.1485312760070867,0.535250110258265,0.7654874238484957,-0.21800170778866745,-0.17848398165518764,0.2302373135902307,-0.039517726133479814
sector_ensemble,0.5-1.5,post_break,71,1.2288000516333977,1.3974652666169192,3.329826900156917,3.0178220647305607,-0.087087583753373,-0.11994949973706326,-0.3120048354263565,0.03286191598369026
sector_ensemble,1.0-1.0,full,188,0.42735783406919925,0.42735783406919925,1.7084927218280432,1.7084927218280432,-0.21800170778866745,-0.21800170778866745,0.0,0.0
sector_ensemble,1.0-1.0,pre_break,117,0.08914719391579107,0.08914719391579107,0.535250110258265,0.535250110258265,-0.21800170778866745,-0.21800170778866745,0.0,0.0
sector_ensemble,1.0-1.0,post_break,71,1.2288000516333977,1.2288000516333977,3.329826900156917,3.329826900156917,-0.087087583753373,-0.087087583753373,0.0,0.0
residual_composite,0.75-1.25,full,193,0.3983196728772882,0.4321657723653798,1.8390506803731623,1.8677641622116314,-0.18685460226496164,-0.17485786039031093,0.028713481838469113,-0.011996741874650718
residual_composite,0.75-1.25,pre_break,122,0.0759165657371863,0.10053893638760925,0.5352910461299398,0.6634466722636436,-0.18685460226496164,-0.17485786039031093,0.1281556261337038,-0.011996741874650718
residual_composite,0.75-1.25,post_break,71,1.1938050148406827,1.2518896701581887,3.6284160334449695,3.4503097741432023,-0.11116225097772758,-0.12175314727327224,-0.17810625930176727,0.01059089629554466
residual_composite,0.5-1.5,full,193,0.3983196728772882,0.4654631306287369,1.8390506803731623,1.8602477197176657,-0.18685460226496164,-0.16314692329326552,0.021197039344503343,-0.023707678971696122
residual_composite,0.5-1.5,pre_break,122,0.0759165657371863,0.12498456633073052,0.5352910461299398,0.7692925865635397,-0.18685460226496164,-0.16314692329326552,0.23400154043359989,-0.023707678971696122
residual_composite,0.5-1.5,post_break,71,1.1938050148406827,1.3082643907332323,3.6284160334449695,3.2498832675122378,-0.11116225097772758,-0.13227051364217124,-0.3785327659327318,0.021108262664443656
residual_composite,1.0-1.0,full,193,0.3983196728772882,0.3983196728772882,1.8390506803731623,1.8390506803731623,-0.18685460226496164,-0.18685460226496164,0.0,0.0
residual_composite,1.0-1.0,pre_break,122,0.0759165657371863,0.0759165657371863,0.5352910461299398,0.5352910461299398,-0.18685460226496164,-0.18685460226496164,0.0,0.0
residual_composite,1.0-1.0,post_break,71,1.1938050148406827,1.1938050148406827,3.6284160334449695,3.6284160334449695,-0.11116225097772758,-0.11116225097772758,0.0,0.0
cash_conversion_b20,0.75-1.25,full,188,0.391773797496644,0.4271971104464789,1.5601687597772844,1.5781547163590248,-0.23256296706298507,-0.20348308949274263,0.017985956581740403,-0.02907987757024244
cash_conversion_b20,0.75-1.25,pre_break,117,0.06007784455214349,0.08335348301684742,0.3954099079055845,0.49634713066154756,-0.23256296706298507,-0.20348308949274263,0.10093722275596306,-0.02907987757024244
cash_conversion_b20,0.75-1.25,post_break,71,1.1797157083107708,1.2478056996977935,3.1091543460199658,2.9388087172587114,-0.10669251571766458,-0.12296202589584204,-0.17034562876125436,0.01626951017817746
cash_conversion_b20,0.5-1.5,full,188,0.391773797496644,0.4615882124988284,1.5601687597772844,1.5686671472037683,-0.23256296706298507,-0.19069180782926964,0.0084983874264839,-0.04187115923371543
cash_conversion_b20,0.5-1.5,pre_break,117,0.06007784455214349,0.10605125473513755,0.3954099079055845,0.5797889239544503,-0.23256296706298507,-0.19069180782926964,0.18437901604886575,-0.04187115923371543
cash_conversion_b20,0.5-1.5,post_break,71,1.1797157083107708,1.313670068999186,3.1091543460199658,2.766108340725873,-0.10669251571766458,-0.14019973366592953,-0.3430460052940929,0.033507217948264945
cash_conversion_b20,1.0-1.0,full,188,0.391773797496644,0.391773797496644,1.5601687597772844,1.5601687597772844,-0.23256296706298507,-0.23256296706298507,0.0,0.0
cash_conversion_b20,1.0-1.0,pre_break,117,0.06007784455214349,0.06007784455214349,0.3954099079055845,0.3954099079055845,-0.23256296706298507,-0.23256296706298507,0.0,0.0
cash_conversion_b20,1.0-1.0,post_break,71,1.1797157083107708,1.1797157083107708,3.1091543460199658,3.1091543460199658,-0.10669251571766458,-0.10669251571766458,0.0,0.0
growth_top_five,0.75-1.25,full,188,0.31481468655017575,0.35260496774002403,0.9477775536579246,0.9905364896472492,-0.3723994555918634,-0.3585717167745245,0.042758935989324565,-0.013827738817338897
growth_top_five,0.75-1.25,pre_break,117,-0.13501944798332322,-0.11841169322540746,-0.28283859871054445,-0.21499471914999124,-0.3723994555918634,-0.3585717167745245,0.06784387956055321,-0.013827738817338897
growth_top_five,0.75-1.25,post_break,71,1.6214789505622753,1.7385566537057615,2.689273014589324,2.60242672097328,-0.19419561237381244,-0.19463871650350184,-0.0868462936160439,0.00044310412968939783
growth_top_five,0.5-1.5,full,188,0.31481468655017575,0.3868532943370606,0.9477775536579246,1.0099735508915892,-0.3723994555918634,-0.34738489208383505,0.062195997233664646,-0.02501456350802833
growth_top_five,0.5-1.5,pre_break,117,-0.13501944798332322,-0.10415458695415003,-0.28283859871054445,-0.1467264095358273,-0.3723994555918634,-0.34738489208383505,0.13611218917471715,-0.02501456350802833
growth_top_five,0.5-1.5,post_break,71,1.6214789505622753,1.8496749935615866,2.689273014589324,2.492143064023621,-0.19419561237381244,-0.19551971225830334,-0.19712995056570293,0.0013240998844908924
growth_top_five,1.0-1.0,full,188,0.31481468655017575,0.31481468655017575,0.9477775536579246,0.9477775536579246,-0.3723994555918634,-0.3723994555918634,0.0,0.0
growth_top_five,1.0-1.0,pre_break,117,-0.13501944798332322,-0.13501944798332322,-0.28283859871054445,-0.28283859871054445,-0.3723994555918634,-0.3723994555918634,0.0,0.0
growth_top_five,1.0-1.0,post_break,71,1.6214789505622753,1.6214789505622753,2.689273014589324,2.689273014589324,-0.19419561237381244,-0.19419561237381244,0.0,0.0
