state,signal,portfolio,n_on,n_off,mean_fwd_4w_on,mean_fwd_4w_off,lift_4w
calm_trend,extreme_quality_calm,spy,58,237,0.00881,0.0061,0.00271
calm_trend,extreme_quality_calm,phase4b_best,58,237,0.00576,0.00573,3e-05
calm_trend,high_quality_neutral,spy,0,295,,0.00664,
calm_trend,high_quality_neutral,phase4b_best,0,295,,0.00574,
calm_trend,low_quality_neutral,spy,0,295,,0.00664,
calm_trend,low_quality_neutral,phase4b_best,0,295,,0.00574,
calm_trend,strong_recovery,spy,0,295,,0.00664,
calm_trend,strong_recovery,phase4b_best,0,295,,0.00574,
calm_trend,aggression_score_high,spy,271,24,0.0066,0.00701,-0.00041
calm_trend,aggression_score_high,phase4b_best,271,24,0.00576,0.00554,0.00022
neutral_mixed,extreme_quality_calm,spy,0,490,,0.01006,
neutral_mixed,extreme_quality_calm,phase4b_best,0,491,,0.00668,
neutral_mixed,high_quality_neutral,spy,0,490,,0.01006,
neutral_mixed,high_quality_neutral,phase4b_best,0,491,,0.00668,
neutral_mixed,low_quality_neutral,spy,261,229,0.01364,0.00597,0.00767
neutral_mixed,low_quality_neutral,phase4b_best,262,229,0.00767,0.00555,0.00212
neutral_mixed,strong_recovery,spy,0,490,,0.01006,
neutral_mixed,strong_recovery,phase4b_best,0,491,,0.00668,
neutral_mixed,aggression_score_high,spy,139,351,0.00942,0.01031,-0.00089
neutral_mixed,aggression_score_high,phase4b_best,139,352,0.00733,0.00643,0.0009
recovery_confirmed,extreme_quality_calm,spy,0,43,,0.00955,
recovery_confirmed,extreme_quality_calm,phase4b_best,0,43,,0.01585,
recovery_confirmed,high_quality_neutral,spy,0,43,,0.00955,
recovery_confirmed,high_quality_neutral,phase4b_best,0,43,,0.01585,
recovery_confirmed,low_quality_neutral,spy,0,43,,0.00955,
recovery_confirmed,low_quality_neutral,phase4b_best,0,43,,0.01585,
recovery_confirmed,strong_recovery,spy,33,10,0.00927,0.01049,-0.00123
recovery_confirmed,strong_recovery,phase4b_best,33,10,0.01663,0.01328,0.00335
recovery_confirmed,aggression_score_high,spy,36,7,0.00965,0.00905,0.0006
recovery_confirmed,aggression_score_high,phase4b_best,36,7,0.01433,0.02367,-0.00934
stressed_panic,extreme_quality_calm,spy,0,228,,0.00692,
stressed_panic,extreme_quality_calm,phase4b_best,0,228,,0.0031,
stressed_panic,high_quality_neutral,spy,0,228,,0.00692,
stressed_panic,high_quality_neutral,phase4b_best,0,228,,0.0031,
stressed_panic,low_quality_neutral,spy,0,228,,0.00692,
stressed_panic,low_quality_neutral,phase4b_best,0,228,,0.0031,
stressed_panic,strong_recovery,spy,0,228,,0.00692,
stressed_panic,strong_recovery,phase4b_best,0,228,,0.0031,
stressed_panic,aggression_score_high,spy,6,222,-0.02594,0.0078,-0.03374
stressed_panic,aggression_score_high,phase4b_best,6,222,0.00977,0.00292,0.00685
