state,n_weeks,phase4b_ann_return,spy_ann_return,opportunity_cost_ann,phase4b_improvement_vs_ggg1
neutral_mixed,493,0.120736,0.086392,0.0343,0.0086
calm_trend,295,0.04387,0.168678,-0.1248,0.003
stressed_panic,229,0.038174,-0.049182,0.0874,0.0024
recovery_fragile,49,0.077134,0.539038,-0.4619,0.0105
recovery_confirmed,44,0.04366,0.400876,-0.3572,0.018
