portfolio,window,upside_capture,downside_capture,beta_spy,corr_spy,beta_qqq,active_return_vs_ggg1,active_return_vs_phase4b_best
improved_phase6_neutral_classifier_unlock,full,0.0487,-0.1369,-0.0326,-0.0708,-0.0263,0.0065,-0.0002
improved_phase6_neutral_classifier_unlock,holdout_2016,0.0647,-0.1492,-0.0605,-0.1216,-0.0441,0.0056,-0.0003
improved_phase6_neutral_classifier_unlock,holdout_2020,0.0652,-0.1371,-0.0686,-0.1402,-0.0499,0.0003,-0.0005
improved_phase6_neutral_classifier_unlock,holdout_2021,0.0949,-0.1477,-0.0398,-0.0777,-0.0302,0.0051,-0.0004
improved_phase6_neutral_classifier_unlock,bear_2022,0.0433,0.0508,0.0133,0.0476,0.0125,-0.0021,0.0
improved_phase6_neutral_classifier_unlock,recovery_2023,0.1374,-0.2239,-0.0742,-0.1238,-0.0564,-0.002,0.0001
improved_phase6_calm_bull_quality_offense,full,0.0483,-0.1371,-0.0327,-0.0706,-0.0264,0.0063,-0.0003
improved_phase6_calm_bull_quality_offense,holdout_2016,0.0641,-0.1493,-0.0606,-0.1208,-0.0442,0.0053,-0.0006
improved_phase6_calm_bull_quality_offense,holdout_2020,0.064,-0.1373,-0.0687,-0.1391,-0.05,-0.0004,-0.0012
improved_phase6_calm_bull_quality_offense,holdout_2021,0.0938,-0.1499,-0.0405,-0.0786,-0.0308,0.0054,-0.0001
improved_phase6_calm_bull_quality_offense,bear_2022,0.0433,0.0508,0.0133,0.0476,0.0125,-0.0021,-0.0
improved_phase6_calm_bull_quality_offense,recovery_2023,0.136,-0.224,-0.0745,-0.1243,-0.0566,-0.0028,-0.0006
improved_phase6_recovery_quality_rerisk,full,0.0484,-0.1374,-0.0328,-0.071,-0.0264,0.0066,-0.0001
improved_phase6_recovery_quality_rerisk,holdout_2016,0.0644,-0.1497,-0.0607,-0.1213,-0.0442,0.0057,-0.0003
improved_phase6_recovery_quality_rerisk,holdout_2020,0.0652,-0.1385,-0.0689,-0.1401,-0.0502,0.0009,0.0001
improved_phase6_recovery_quality_rerisk,holdout_2021,0.0946,-0.1493,-0.0404,-0.0784,-0.0307,0.0056,0.0001
improved_phase6_recovery_quality_rerisk,bear_2022,0.0433,0.0508,0.0133,0.0476,0.0125,-0.0021,-0.0
improved_phase6_recovery_quality_rerisk,recovery_2023,0.1358,-0.2244,-0.0744,-0.1237,-0.0563,-0.0028,-0.0006
improved_phase6_continuous_aggression_score,full,0.0491,-0.138,-0.0326,-0.07,-0.0264,0.0072,0.0005
improved_phase6_continuous_aggression_score,holdout_2016,0.0653,-0.1503,-0.0607,-0.1203,-0.0444,0.0064,0.0005
improved_phase6_continuous_aggression_score,holdout_2020,0.0655,-0.1375,-0.0688,-0.1385,-0.0501,0.0006,-0.0002
improved_phase6_continuous_aggression_score,holdout_2021,0.0953,-0.1493,-0.0406,-0.0781,-0.031,0.0059,0.0005
improved_phase6_continuous_aggression_score,bear_2022,0.0442,0.0516,0.0133,0.0476,0.0124,-0.0022,-0.0001
improved_phase6_continuous_aggression_score,recovery_2023,0.1365,-0.2205,-0.0739,-0.1221,-0.056,-0.0037,-0.0015
improved_phase6_balanced_classifier_rebuild,full,0.0484,-0.1366,-0.0325,-0.0704,-0.0262,0.0062,-0.0005
improved_phase6_balanced_classifier_rebuild,holdout_2016,0.0641,-0.1485,-0.0603,-0.1203,-0.044,0.005,-0.0009
improved_phase6_balanced_classifier_rebuild,holdout_2020,0.0642,-0.1364,-0.0684,-0.1386,-0.0497,-0.0007,-0.0015
improved_phase6_balanced_classifier_rebuild,holdout_2021,0.0942,-0.149,-0.0401,-0.0778,-0.0305,0.0052,-0.0003
improved_phase6_balanced_classifier_rebuild,bear_2022,0.0433,0.0508,0.0133,0.0476,0.0125,-0.0021,-0.0
improved_phase6_balanced_classifier_rebuild,recovery_2023,0.1361,-0.2234,-0.0741,-0.1236,-0.0563,-0.003,-0.0008
ggg1,full,0.0451,-0.1262,-0.0308,-0.071,-0.0244,0.0,-0.0066
ggg1,holdout_2016,0.0605,-0.1406,-0.0575,-0.1224,-0.0403,0.0,-0.0059
ggg1,holdout_2020,0.0655,-0.1362,-0.0653,-0.1429,-0.0468,0.0,-0.0008
ggg1,holdout_2021,0.0914,-0.1404,-0.0343,-0.0726,-0.0256,0.0,-0.0054
ggg1,bear_2022,0.0362,0.0425,0.012,0.0452,0.0124,0.0,0.0021
ggg1,recovery_2023,0.136,-0.2322,-0.0703,-0.1257,-0.0552,0.0,0.0022
phase2_best,full,0.0464,-0.1308,-0.0321,-0.0716,-0.0255,0.0027,-0.0039
phase2_best,holdout_2016,0.0612,-0.1451,-0.0595,-0.1225,-0.042,0.0021,-0.0038
phase2_best,holdout_2020,0.0658,-0.1397,-0.0674,-0.1422,-0.0485,0.0019,0.0011
phase2_best,holdout_2021,0.0932,-0.1452,-0.0363,-0.0743,-0.027,0.003,-0.0024
phase2_best,bear_2022,0.0421,0.0449,0.0135,0.0482,0.014,0.0017,0.0038
phase2_best,recovery_2023,0.1369,-0.2437,-0.0755,-0.13,-0.0591,0.0045,0.0067
phase3_best,full,0.0479,-0.1255,-0.0304,-0.071,-0.0242,0.0012,-0.0054
phase3_best,holdout_2016,0.0665,-0.1415,-0.0568,-0.1216,-0.04,0.0036,-0.0023
phase3_best,holdout_2020,0.0701,-0.1382,-0.0649,-0.1419,-0.0465,0.0039,0.0031
phase3_best,holdout_2021,0.0974,-0.1403,-0.0326,-0.0693,-0.0244,0.0034,-0.002
phase3_best,bear_2022,0.0376,0.0455,0.0117,0.0445,0.0121,-0.0014,0.0007
phase3_best,recovery_2023,0.1477,-0.2307,-0.0653,-0.1179,-0.0527,0.0062,0.0084
phase4b_best,full,0.0485,-0.1374,-0.0327,-0.071,-0.0265,0.0066,0.0
phase4b_best,holdout_2016,0.0646,-0.15,-0.0608,-0.1219,-0.0444,0.0059,0.0
phase4b_best,holdout_2020,0.0651,-0.1383,-0.0689,-0.1407,-0.0502,0.0008,0.0
phase4b_best,holdout_2021,0.0947,-0.1489,-0.0403,-0.0786,-0.0307,0.0054,0.0
phase4b_best,bear_2022,0.0433,0.0508,0.0133,0.0476,0.0125,-0.0021,0.0
phase4b_best,recovery_2023,0.1369,-0.2243,-0.0745,-0.1243,-0.0566,-0.0022,0.0
prod_pin,full,0.0433,-0.1227,-0.0249,-0.0561,-0.0206,-0.0023,-0.009
prod_pin,holdout_2016,0.0621,-0.1187,-0.0419,-0.0908,-0.0289,-0.0077,-0.0136
prod_pin,holdout_2020,0.0617,-0.1086,-0.0464,-0.104,-0.033,-0.0151,-0.0159
prod_pin,holdout_2021,0.0854,-0.1303,-0.0304,-0.0639,-0.0221,-0.0076,-0.013
prod_pin,bear_2022,0.067,0.043,0.0179,0.0705,0.0153,0.0179,0.02
prod_pin,recovery_2023,0.1197,-0.1992,-0.0653,-0.1233,-0.0502,-0.0204,-0.0183
shadow,full,0.0427,-0.1225,-0.0249,-0.0563,-0.0207,-0.0027,-0.0093
shadow,holdout_2016,0.062,-0.1187,-0.0416,-0.0903,-0.0287,-0.0077,-0.0136
shadow,holdout_2020,0.0614,-0.1082,-0.0459,-0.1039,-0.0327,-0.0154,-0.0162
shadow,holdout_2021,0.0843,-0.1297,-0.0302,-0.0639,-0.022,-0.0085,-0.0139
shadow,bear_2022,0.0632,0.0429,0.0167,0.0674,0.014,0.0157,0.0178
shadow,recovery_2023,0.1191,-0.198,-0.0642,-0.1221,-0.0493,-0.0212,-0.019
equal_weight,full,0.0266,-0.0979,-0.0211,-0.0556,-0.0157,-0.0215,-0.0281
equal_weight,holdout_2016,0.0516,-0.0947,-0.03,-0.0744,-0.0174,-0.0226,-0.0286
equal_weight,holdout_2020,0.0555,-0.0936,-0.0339,-0.0853,-0.0224,-0.0258,-0.0266
equal_weight,holdout_2021,0.0805,-0.1216,-0.0204,-0.0496,-0.0125,-0.0139,-0.0194
equal_weight,bear_2022,0.0638,0.0365,0.022,0.0981,0.0193,0.021,0.0232
equal_weight,recovery_2023,0.1106,-0.1749,-0.05,-0.1115,-0.0345,-0.0337,-0.0315
spy,full,1.0,1.0,1.0,1.0,0.8077,0.0482,0.0416
spy,holdout_2016,1.0,1.0,1.0,1.0,0.7799,0.073,0.0671
spy,holdout_2020,1.0,1.0,1.0,1.0,0.7943,0.0632,0.0624
spy,holdout_2021,1.0,1.0,1.0,1.0,0.7261,0.0463,0.0409
spy,bear_2022,1.0,1.0,1.0,1.0,0.7821,-0.149,-0.1469
spy,recovery_2023,1.0,1.0,1.0,1.0,0.7119,0.0714,0.0736
bench_60_40,full,0.5835,0.5435,0.569,0.9697,0.4605,0.0122,0.0055
bench_60_40,holdout_2016,0.6029,0.5887,0.5933,0.9696,0.4679,0.0133,0.0073
bench_60_40,holdout_2020,0.6185,0.6228,0.6048,0.9719,0.4851,-0.0038,-0.0046
bench_60_40,holdout_2021,0.6253,0.6501,0.6234,0.9618,0.4535,-0.0231,-0.0286
bench_60_40,bear_2022,0.6029,0.6854,0.6401,0.9705,0.5004,-0.1441,-0.142
bench_60_40,recovery_2023,0.6478,0.6328,0.6145,0.9527,0.4342,-0.0054,-0.0032
