state,n_weeks,avg_BIL,avg_defense_component,avg_sector_sleeve,avg_SPY_direct
neutral_mixed,493,0.1902,0.1963,0.0958,0.0611
calm_trend,295,0.0283,0.2255,0.1851,0.0701
stressed_panic,229,0.4988,0.1573,0.0173,0.0237
recovery_fragile,49,0.1061,0.2477,0.021,0.0511
recovery_confirmed,44,0.0467,0.2012,0.1069,0.0502
