portfolio,state,delta_ann_return_vs_p4b
improved_phase6_neutral_classifier_unlock,neutral_mixed,-0.0002
improved_phase6_neutral_classifier_unlock,calm_trend,-0.0001
improved_phase6_neutral_classifier_unlock,stressed_panic,-0.0001
improved_phase6_neutral_classifier_unlock,recovery_fragile,-0.0001
improved_phase6_neutral_classifier_unlock,recovery_confirmed,-0.0007
improved_phase6_calm_bull_quality_offense,neutral_mixed,0.0001
improved_phase6_calm_bull_quality_offense,calm_trend,-0.0011
improved_phase6_calm_bull_quality_offense,stressed_panic,-0.0003
improved_phase6_calm_bull_quality_offense,recovery_fragile,0.0
improved_phase6_calm_bull_quality_offense,recovery_confirmed,-0.0
improved_phase6_recovery_quality_rerisk,neutral_mixed,-0.0001
improved_phase6_recovery_quality_rerisk,calm_trend,0.0002
improved_phase6_recovery_quality_rerisk,stressed_panic,-0.0
improved_phase6_recovery_quality_rerisk,recovery_fragile,0.0003
improved_phase6_recovery_quality_rerisk,recovery_confirmed,-0.002
improved_phase6_continuous_aggression_score,neutral_mixed,0.0007
improved_phase6_continuous_aggression_score,calm_trend,-0.0003
improved_phase6_continuous_aggression_score,stressed_panic,0.0
improved_phase6_continuous_aggression_score,recovery_fragile,0.0031
improved_phase6_continuous_aggression_score,recovery_confirmed,0.0022
improved_phase6_balanced_classifier_rebuild,neutral_mixed,-0.0001
improved_phase6_balanced_classifier_rebuild,calm_trend,-0.001
improved_phase6_balanced_classifier_rebuild,stressed_panic,-0.0004
improved_phase6_balanced_classifier_rebuild,recovery_fragile,-0.0001
improved_phase6_balanced_classifier_rebuild,recovery_confirmed,-0.002
ggg1,neutral_mixed,-0.0086
ggg1,calm_trend,-0.003
ggg1,stressed_panic,-0.0024
ggg1,recovery_fragile,-0.0105
ggg1,recovery_confirmed,-0.018
phase4b_best,neutral_mixed,0.0
phase4b_best,calm_trend,0.0
phase4b_best,stressed_panic,0.0
phase4b_best,recovery_fragile,0.0
phase4b_best,recovery_confirmed,0.0
