portfolio,state,n_weeks,label,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_sector_sleeve,avg_defense,avg_bil_sleeve,avg_BIL,avg_QQQ
improved_phase6_neutral_classifier_unlock,neutral_mixed,493,improved_phase6_neutral_classifier_unlock,0.120543,0.081723,1.475029,-0.105655,1.140919,-0.025692,-0.080665,-0.079982,0.0939,0.1973,0.1902,0.2216,0.0273
improved_phase6_neutral_classifier_unlock,calm_trend,295,improved_phase6_neutral_classifier_unlock,0.043809,0.085975,0.509558,-0.135452,0.323429,-0.02904,-0.073405,-0.083946,0.1844,0.2258,0.0283,0.0751,0.0201
improved_phase6_neutral_classifier_unlock,stressed_panic,229,improved_phase6_neutral_classifier_unlock,0.038091,0.076383,0.498686,-0.124215,0.306655,-0.023642,-0.113739,-0.103519,0.0167,0.1576,0.4988,0.5244,0.012
improved_phase6_neutral_classifier_unlock,recovery_fragile,49,improved_phase6_neutral_classifier_unlock,0.077045,0.060406,1.275465,-0.030154,2.555024,-0.016997,-0.028009,-0.019343,0.0208,0.2478,0.1061,0.1478,0.0434
improved_phase6_neutral_classifier_unlock,recovery_confirmed,44,improved_phase6_neutral_classifier_unlock,0.042979,0.077552,0.554189,-0.052874,0.812848,-0.023322,-0.0342,-0.044134,0.1066,0.2013,0.0467,0.0679,0.0515
improved_phase6_calm_bull_quality_offense,neutral_mixed,493,improved_phase6_calm_bull_quality_offense,0.120834,0.081921,1.475013,-0.106332,1.136383,-0.02571,-0.081406,-0.080708,0.0963,0.196,0.1902,0.2215,0.0273
improved_phase6_calm_bull_quality_offense,calm_trend,295,improved_phase6_calm_bull_quality_offense,0.042802,0.086774,0.493258,-0.135916,0.314917,-0.029486,-0.079129,-0.084469,0.192,0.2204,0.0283,0.0735,0.0201
improved_phase6_calm_bull_quality_offense,stressed_panic,229,improved_phase6_calm_bull_quality_offense,0.037834,0.076579,0.49405,-0.125023,0.302615,-0.023711,-0.114595,-0.104375,0.0177,0.157,0.4988,0.5245,0.012
improved_phase6_calm_bull_quality_offense,recovery_fragile,49,improved_phase6_calm_bull_quality_offense,0.077137,0.060383,1.27746,-0.030084,2.564087,-0.016976,-0.028009,-0.019341,0.021,0.2477,0.1061,0.1478,0.0434
improved_phase6_calm_bull_quality_offense,recovery_confirmed,44,improved_phase6_calm_bull_quality_offense,0.043659,0.077553,0.562965,-0.052874,0.825719,-0.023322,-0.0342,-0.043602,0.1069,0.2011,0.0467,0.0679,0.0515
