portfolio,state,delta_ann_return_vs_ggg1,delta_sharpe_vs_ggg1
improved_phase6_neutral_classifier_unlock,neutral_mixed,0.0084,0.0135
improved_phase6_neutral_classifier_unlock,calm_trend,0.003,-0.0041
improved_phase6_neutral_classifier_unlock,stressed_panic,0.0023,0.018
improved_phase6_neutral_classifier_unlock,recovery_fragile,0.0104,0.1333
improved_phase6_neutral_classifier_unlock,recovery_confirmed,0.0173,0.2099
improved_phase6_calm_bull_quality_offense,neutral_mixed,0.0087,0.0135
improved_phase6_calm_bull_quality_offense,calm_trend,0.002,-0.0204
improved_phase6_calm_bull_quality_offense,stressed_panic,0.002,0.0134
improved_phase6_calm_bull_quality_offense,recovery_fragile,0.0105,0.1353
improved_phase6_calm_bull_quality_offense,recovery_confirmed,0.018,0.2187
improved_phase6_recovery_quality_rerisk,neutral_mixed,0.0085,0.0076
improved_phase6_recovery_quality_rerisk,calm_trend,0.0032,-0.0006
improved_phase6_recovery_quality_rerisk,stressed_panic,0.0023,0.0183
improved_phase6_recovery_quality_rerisk,recovery_fragile,0.0108,0.1387
improved_phase6_recovery_quality_rerisk,recovery_confirmed,0.0159,0.1824
improved_phase6_continuous_aggression_score,neutral_mixed,0.0093,0.0091
improved_phase6_continuous_aggression_score,calm_trend,0.0027,-0.0182
improved_phase6_continuous_aggression_score,stressed_panic,0.0024,0.0173
improved_phase6_continuous_aggression_score,recovery_fragile,0.0135,0.1862
improved_phase6_continuous_aggression_score,recovery_confirmed,0.0202,0.2369
improved_phase6_balanced_classifier_rebuild,neutral_mixed,0.0085,0.0121
improved_phase6_balanced_classifier_rebuild,calm_trend,0.0021,-0.0185
improved_phase6_balanced_classifier_rebuild,stressed_panic,0.002,0.0134
improved_phase6_balanced_classifier_rebuild,recovery_fragile,0.0104,0.1337
improved_phase6_balanced_classifier_rebuild,recovery_confirmed,0.016,0.1887
ggg1,neutral_mixed,0.0,0.0
ggg1,calm_trend,0.0,0.0
ggg1,stressed_panic,0.0,0.0
ggg1,recovery_fragile,0.0,0.0
ggg1,recovery_confirmed,0.0,0.0
phase4b_best,neutral_mixed,0.0086,0.0127
phase4b_best,calm_trend,0.003,-0.0036
phase4b_best,stressed_panic,0.0024,0.0187
phase4b_best,recovery_fragile,0.0105,0.1353
phase4b_best,recovery_confirmed,0.018,0.2187
