state,stage_from,stage_to,delta_offensive_exposure,delta_defensive_exposure,delta_cash_exposure,delta_bil_exposure,delta_spy_exposure,delta_risky_exposure
calm_trend,final_sleeve_weights,final_etf_weights,0.2942323273555309,-0.329196586367669,0.03496425901213782,0.03496425901213782,,-0.03496425901213762
calm_trend,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,-0.0018540049326072339,-0.004543776782839681,0.006397781715446995,0.006397781715446995,,-0.006397781715447137
calm_trend,post_overlay_pre_lookthrough_sleeve_weights,final_sleeve_weights,0.0,0.0,0.0,0.0,,0.0
calm_trend,post_state_tilt_sleeve_weights,post_layer3_expression_sleeve_weights,0.0,0.0,0.0,0.0,,0.0
calm_trend,raw_hrp_sleeve_weights,post_state_tilt_sleeve_weights,-0.0026105843962782593,0.002610584396278315,-6.938893903907228e-18,-6.938893903907228e-18,,0.0
neutral_healthy_proxy,final_sleeve_weights,final_etf_weights,0.1853600709971655,-0.24919558767644095,0.0638355166792752,0.0638355166792752,,-0.06383551667927523
neutral_healthy_proxy,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,-0.016328332475099017,-0.023690051068057105,0.040018383543156025,0.040018383543156025,,-0.04001838354315601
neutral_healthy_proxy,post_overlay_pre_lookthrough_sleeve_weights,final_sleeve_weights,0.0,0.0,0.0,0.0,,0.0
neutral_healthy_proxy,post_state_tilt_sleeve_weights,post_layer3_expression_sleeve_weights,0.0,0.0,0.0,0.0,,0.0
neutral_healthy_proxy,raw_hrp_sleeve_weights,post_state_tilt_sleeve_weights,0.0005379527541137241,-0.0005379527541136131,0.0,0.0,,0.0
neutral_mixed,final_sleeve_weights,final_etf_weights,0.10740148005320621,-0.16172202997639035,0.0543205499231838,0.0543205499231838,,-0.054320549923183914
neutral_mixed,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,-0.08061641865776487,-0.07605122033115358,0.1566676389889186,0.1566676389889186,,-0.15666763898891856
neutral_mixed,post_overlay_pre_lookthrough_sleeve_weights,final_sleeve_weights,0.0,0.0,0.0,0.0,,0.0
neutral_mixed,post_state_tilt_sleeve_weights,post_layer3_expression_sleeve_weights,0.0,0.0,0.0,0.0,,0.0
neutral_mixed,raw_hrp_sleeve_weights,post_state_tilt_sleeve_weights,-0.002745725093800777,0.002745725093800666,0.0,0.0,,0.0
recovery_confirmed,final_sleeve_weights,final_etf_weights,0.15460015243722025,-0.21643974428820262,0.0618395918509823,0.0618395918509823,,-0.06183959185098209
recovery_confirmed,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,-0.029221049195018,-0.03461656646150113,0.06383761565651912,0.06383761565651912,,-0.06383761565651913
recovery_confirmed,post_overlay_pre_lookthrough_sleeve_weights,final_sleeve_weights,0.0,0.0,0.0,0.0,,0.0
recovery_confirmed,post_state_tilt_sleeve_weights,post_layer3_expression_sleeve_weights,0.0,0.0,0.0,0.0,,0.0
recovery_confirmed,raw_hrp_sleeve_weights,post_state_tilt_sleeve_weights,0.004291003791881298,-0.004291003791881409,2.523234146875355e-18,2.523234146875355e-18,,0.0
recovery_fragile,final_sleeve_weights,final_etf_weights,0.10356101533995743,-0.1982657449284263,0.09470472958846875,0.09470472958846875,,-0.09470472958846876
recovery_fragile,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,-0.0773715062275675,-0.046141664516831105,0.12351317074439862,0.12351317074439862,,-0.12351317074439871
recovery_fragile,post_overlay_pre_lookthrough_sleeve_weights,final_sleeve_weights,0.0,0.0,0.0,0.0,,0.0
recovery_fragile,post_state_tilt_sleeve_weights,post_layer3_expression_sleeve_weights,0.0,0.0,-6.7972838242356506e-18,-6.7972838242356506e-18,,0.0
recovery_fragile,raw_hrp_sleeve_weights,post_state_tilt_sleeve_weights,0.009419713718419098,-0.009419713718419098,2.265761274745217e-18,2.265761274745217e-18,,0.0
stressed_panic,final_sleeve_weights,final_etf_weights,0.020235685844910062,-0.11832466230914138,0.0980889764642312,0.0980889764642312,,-0.09808897646423126
stressed_panic,post_layer3_expression_sleeve_weights,post_overlay_pre_lookthrough_sleeve_weights,-0.2333395830304755,-0.26725151443563644,0.5005910974661117,0.5005910974661117,,-0.5005910974661116
stressed_panic,post_overlay_pre_lookthrough_sleeve_weights,final_sleeve_weights,0.0,0.0,0.0,0.0,,0.0
stressed_panic,post_state_tilt_sleeve_weights,post_layer3_expression_sleeve_weights,0.0,1.1102230246251565e-16,-6.938893903907228e-18,-6.938893903907228e-18,,0.0
stressed_panic,raw_hrp_sleeve_weights,post_state_tilt_sleeve_weights,-0.020069938381620522,0.020069938381620578,1.734723475976807e-18,1.734723475976807e-18,,0.0
