model,window,metric,value
classifier_logistic_reversal,train,base_rate,0.5351153039832285
classifier_logistic_reversal,train,precision_top_quartile,0.710691823899371
classifier_logistic_reversal,train,recall_top_quartile,0.33202742409402547
classifier_logistic_reversal,train,false_positive_rate,0.1555806087936866
classifier_logistic_reversal,train,risk_off_false_positive_rate,0.0
classifier_logistic_reversal,train,failed_bounce_rate_top_quartile,0.0859538784067086
classifier_logistic_reversal,train,crash_continuation_rate_top_quartile,0.0859538784067086
classifier_logistic_reversal,train,brier_score,0.23160514195340853
classifier_logistic_reversal,train,threshold,0.6114924424999252
classifier_logistic_reversal,train,n,1908.0
classifier_logistic_reversal,holdout,base_rate,0.5096153846153846
classifier_logistic_reversal,holdout,precision_top_quartile,0.7358490566037735
classifier_logistic_reversal,holdout,recall_top_quartile,0.36792452830188677
classifier_logistic_reversal,holdout,false_positive_rate,0.13725490196078433
classifier_logistic_reversal,holdout,risk_off_false_positive_rate,0.0
classifier_logistic_reversal,holdout,failed_bounce_rate_top_quartile,0.018867924528301886
classifier_logistic_reversal,holdout,crash_continuation_rate_top_quartile,0.05660377358490566
classifier_logistic_reversal,holdout,brier_score,0.23800093035628933
classifier_logistic_reversal,holdout,threshold,0.6114924424999252
classifier_logistic_reversal,holdout,n,208.0
classifier_logistic_reversal,full,base_rate,0.532608695652174
classifier_logistic_reversal,full,precision_top_quartile,0.7132075471698113
classifier_logistic_reversal,full,recall_top_quartile,0.33540372670807456
classifier_logistic_reversal,full,false_positive_rate,0.15369059656218403
classifier_logistic_reversal,full,risk_off_false_positive_rate,0.0
classifier_logistic_reversal,full,failed_bounce_rate_top_quartile,0.07924528301886792
classifier_logistic_reversal,full,crash_continuation_rate_top_quartile,0.0830188679245283
classifier_logistic_reversal,full,brier_score,0.23223383949017565
classifier_logistic_reversal,full,threshold,0.6114924424999252
classifier_logistic_reversal,full,n,2116.0
classifier_logistic_reversal,coefficient,intercept,0.15468349981502363
classifier_logistic_reversal,coefficient,score_short_horizon_reversal,-0.013116038748885584
classifier_logistic_reversal,coefficient,score_drawdown_reversal,0.1649687935107438
classifier_logistic_reversal,coefficient,score_momentum_reversal_interaction,-0.11634730348348861
classifier_logistic_reversal,coefficient,score_focused_reversal_composite,0.06201059940226049
classifier_logistic_reversal,coefficient,score_short_reversal_only,-0.013116038748885575
