Date,price,ret_1w,ret_2w,ret_4w,ret_8w,ret_12w,ret_13w,ret_26w,ret_52w,negative_1w_return_flag,loss_magnitude_1w,ret_1w_z_52,negative_2w_return_flag,loss_magnitude_2w,ret_2w_z_52,negative_4w_return_flag,loss_magnitude_4w,ret_4w_z_52,short_term_oversold_score,recent_loss_magnitude,drawdown_13w_high,drawdown_depth_13w,drawdown_26w_high,drawdown_depth_26w,drawdown_52w_high,drawdown_depth_52w,distance_from_4w_low,recovery_from_4w_low,weeks_since_4w_low,down_weeks_4w,distance_from_8w_low,recovery_from_8w_low,weeks_since_8w_low,down_weeks_8w,distance_from_12w_low,recovery_from_12w_low,weeks_since_12w_low,down_weeks_12w,selloff_speed_4w,selloff_speed_8w,bounce_strength_1w,bounce_strength_2w,bounce_strength_4w,above_4w_ma,reclaim_4w_ma,above_8w_ma,reclaim_8w_ma,above_12w_ma,reclaim_12w_ma,drawdown_depth_x_recovery_confirmation,bounce_from_low_after_drawdown,medium_momentum_8w,medium_momentum_12w,medium_momentum_26w,medium_uptrend_flag,medium_downtrend_flag,uptrend_short_pullback,downtrend_short_bounce,trend_negative_recovery_acceleration,trend_positive_short_oversold,momentum_reversal_interaction_raw,momentum_reversal_state,baseline_weight,baseline_weight_change_4w,realized_vol_13w,realized_vol_pct_52w,realized_vol_change_4w,market_state,market_state_stable,risk_state,signal_environment,risk_regime_score,market_drawdown,market_trend_positive,recent_stress_26w,transition_good_state_prob,transition_non_stress_prob,risk_basket_ret_1w,risk_basket_ret_4w,risk_basket_pct_positive_4w,credit_hyg_lqd_ret_4w,credit_hyg_lqd_trend_8w,credit_hyg_lqd_ma_slope_4w,vix,vix3m,vix_percentile_52w,vix_change_1w,vix_change_2w,vix_change_4w,vix_ratio,vix_fading_from_13w_high,ticker,feature_lag_weeks,filter_non_panic,filter_risk_regime_not_panic,filter_vix_not_extreme,filter_vol_stabilizing,filter_realized_vol_not_exploding,filter_credit_not_deteriorating,filter_market_improving_or_neutral,filter_panic_fading,filter_reversal_entry_ok,recent_loss_x_non_panic,reversal_pressure_score,score_short_horizon_reversal,score_drawdown_reversal,score_momentum_reversal_interaction,score_short_reversal_only,score_drawdown_recovery_only,score_pullback_in_uptrend,score_oversold_rebound_after_stress,score_focused_reversal_composite,active_short_reversal_only,active_drawdown_recovery_only,active_pullback_in_uptrend,active_oversold_rebound_after_stress,active_momentum_reversal_interaction_score,active_focused_reversal_composite
2005-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPY,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.0,0.05,0.25,0.0,0.0,0.0,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QQQ,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.0,0.05,0.25,0.0,0.0,0.0,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-14,32.84357833862305,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,0.0,0.0,neutral,0.0,,,,,neutral_mixed,neutral_mixed,neutral,mixed,,0.0,0.0,0.0,,,,,0.0,,,,13.489999771118164,,,,,,,,QQQ,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.0,0.05,0.25,0.0,0.0,0.0,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-14,80.12541198730469,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,0.0,0.0,neutral,0.0,,,,,neutral_mixed,neutral_mixed,neutral,mixed,,0.0,0.0,0.0,,,,,0.0,,,,13.489999771118164,,,,,,,,SPY,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.0,0.05,0.25,0.0,0.0,0.0,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-21,79.99015808105469,-0.0016880275919384236,,,,,,,,1.0,0.0016880275919384236,,0.0,,,0.0,,,0.056267586397947454,0.0016880275919384236,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,0.0,0.0,neutral,0.0,,,,,neutral_mixed,neutral_mixed,neutral,reversal_friendly,,-0.0016880275919384,0.0,0.0,,,0.0013316618166368986,,0.0,,,,12.43000030517578,,,-0.0785766852429326,,,,,SPY,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0016880275919384236,0.012503908088432767,0.2695373563881762,0.0,0.05390747127763525,0.2695373563881762,0.0,0.003125977022108192,0.011253517279589492,0.10781494255527048,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-21,32.7413215637207,-0.003113448049054224,,,,,,,,1.0,0.003113448049054224,,0.0,,,0.0,,,0.1037816016351408,0.003113448049054224,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,,0.0,0.0,neutral,0.0,,,,,neutral_mixed,neutral_mixed,neutral,reversal_friendly,,-0.0016880275919384,0.0,0.0,,,0.0013316618166368986,,0.0,,,,12.43000030517578,,,-0.0785766852429326,,,,,QQQ,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.003113448049054224,0.0230625781411424,0.286035278345535,0.0,0.057207055669107,0.286035278345535,0.0,0.0057656445352856,0.02075632032702816,0.114414111338214,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-28,79.00244903564453,-0.012347882153318168,-0.014015066179479785,,,,,,,1.0,0.012347882153318168,,1.0,0.014015066179479785,,0.0,,,0.345948697683434,0.014015066179479785,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,neutral,0.0,,,,,neutral_mixed,neutral_mixed,neutral,reversal_friendly,,-0.0140150661794797,0.0,0.0,,,-0.016875440480431405,,0.0,,,,14.359999656677246,,,0.15526945326765818,0.06449220906747044,,,,SPY,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.014015066179479785,0.11630022296193591,0.3943912883016286,0.0,0.07887825766032572,0.3943912883016286,0.0,0.03843874418704822,0.0691897395366868,0.15775651532065146,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-28,31.56561851501465,-0.03590884523148885,-0.038910492956413245,,,,,,,1.0,0.03590884523148885,,1.0,0.038910492956413245,,0.0,,,0.8891049295641325,0.038910492956413245,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,neutral,0.0,,,,,neutral_mixed,neutral_mixed,neutral,reversal_friendly,,-0.0140150661794797,0.0,0.0,,,-0.016875440480431405,,0.0,,,,14.359999656677246,,,0.15526945326765818,0.06449220906747044,,,,QQQ,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.038910492956413245,0.31495884193164386,0.6251080203376218,0.0,0.12502160406752436,0.6251080203376218,0.0,0.09878943661823693,0.1778209859128265,0.2500432081350487,1.0,0.0,0.0,0.0,0.0,0.0
2005-02-04,79.4421615600586,0.005565808779113501,-0.006850799325097023,,,,,,,0.0,0.0,,1.0,0.006850799325097023,,0.0,,,0.06850799325097023,0.006850799325097023,,,,,,,0.005565808779113501,0.005565808779113501,1.0,2.0,,,1.0,,,,1.0,,,,0.005565808779113501,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,neutral,0.0,,,,,neutral_mixed,neutral_mixed,neutral,reversal_friendly,,-0.0085272625787478,0.0,0.0,,,0.004772340384238057,,0.0,,,,13.239999771118164,,,-0.07799442286464775,0.06516487900688994,,,,SPY,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.006850799325097023,0.07040892340781794,0.2904382286022779,0.005797717478243231,0.05924718921610424,0.2904382286022779,0.005797717478243231,0.007611999250107804,0.028543755394496717,0.11849437843220846,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-04,31.454843521118164,-0.0035093560369739984,-0.039292184345668946,,,,,,,1.0,0.0035093560369739984,,1.0,0.039292184345668946,,0.0,,,0.45141111073958945,0.039292184345668946,,,,,,,0.0,0.0,0.0,3.0,,,0.0,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,neutral,0.0,,,,,neutral_mixed,neutral_mixed,neutral,reversal_friendly,,-0.0085272625787478,0.0,0.0,,,0.004772340384238057,,0.0,,,,13.239999771118164,,,-0.07799442286464775,0.06516487900688994,,,,QQQ,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.039292184345668946,0.26844670311367075,0.4675820460249475,0.0,0.0935164092049895,0.4675820460249475,0.0,0.050156790082176606,0.0902822221479179,0.187032818409979,0.0,0.0,0.0,0.0,0.0,0.0
