family,feature,target,window,ic,rank_ic,n,strong_bounce_base_rate,strong_bounce_precision_top_quintile,failed_bounce_rate_top_quintile,crash_continuation_rate_top_quintile,avg_forward_return_top_quintile,median_forward_return_top_quintile,worst_forward_return_top_quintile
other,ret_1w,fwd_4w_return,full,-0.016495142693518622,-0.03865548873272365,2208,0.5276268115942029,0.5497737556561086,0.07013574660633484,0.020361990950226245,0.008486914542846363,0.01578819800375808,-0.25869631316119923
other,ret_1w,fwd_4w_return,train,-0.021957963283304138,-0.04135829970466955,2008,0.5273904382470119,0.5497512437810945,0.07213930348258707,0.022388059701492536,0.0074127710585462775,0.015211551141271151,-0.25869631316119923
other,ret_1w,fwd_4w_return,holdout,0.048345548994897396,-0.01571289282232056,200,0.53,0.55,0.025,0.0,0.018870541069851983,0.02549562631065072,-0.08974989879303019
other,ret_1w,fwd_8w_return,full,-0.02039778806168329,-0.024725041547247507,2200,0.5286363636363637,0.55,0.07045454545454545,0.020454545454545454,0.018548370869515277,0.02773557786436498,-0.3492291220438597
other,ret_1w,fwd_8w_return,train,-0.017239410874517937,-0.020596717103918093,2008,0.5273904382470119,0.5497512437810945,0.07213930348258707,0.022388059701492536,0.017811981369885592,0.02816317431543236,-0.3492291220438597
other,ret_1w,fwd_8w_return,holdout,-0.06249545450176128,-0.0777693757968695,192,0.5416666666666666,0.5384615384615384,0.02564102564102564,0.0,0.026029532740840102,0.023033645188300866,-0.15457283659394783
other,ret_1w,fwd_12w_return,full,-0.04012502907175816,-0.0532070480765707,2192,0.530565693430657,0.5489749430523918,0.0683371298405467,0.02050113895216401,0.03260791807814844,0.03597470368211009,-0.3519302617025323
other,ret_1w,fwd_12w_return,train,-0.037230065423244744,-0.0489917880984542,2008,0.5273904382470119,0.5497512437810945,0.07213930348258707,0.022388059701492536,0.031645642508107155,0.03522843011820387,-0.3519302617025323
other,ret_1w,fwd_12w_return,holdout,-0.08324050169771482,-0.11218238908901774,184,0.5652173913043478,0.5675675675675675,0.02702702702702703,0.0,0.045603113513509166,0.0456766817315466,-0.16023957652724785
other,ret_2w,fwd_4w_return,full,-0.030855531991572406,-0.036159645783448616,2206,0.527651858567543,0.5610859728506787,0.06108597285067873,0.006787330316742082,0.009374169502208983,0.015200565351043305,-0.3098674458971735
other,ret_2w,fwd_4w_return,train,-0.03709619330714636,-0.044732464089105826,2006,0.5274177467597209,0.5572139303482587,0.06218905472636816,0.007462686567164179,0.008313071735209742,0.014528435394195793,-0.3098674458971735
other,ret_2w,fwd_4w_return,holdout,0.047120603146415335,0.041294532363309086,200,0.53,0.6,0.05,0.0,0.024016572009010136,0.02752182199897224,-0.08974989879303019
