candidate,window,threshold,raw_signal_rows,filtered_signal_rows,rows_removed_by_filters,raw_precision,filtered_precision,precision_delta,raw_failed_bounce_rate,filtered_failed_bounce_rate,failed_bounce_delta,raw_crash_continuation_rate,filtered_crash_continuation_rate,crash_continuation_delta,filtered_avg_fwd_8w_return,filtered_worst_fwd_8w_return,non_panic_pass_rate,vol_filter_pass_rate,credit_filter_pass_rate
short_reversal_only,full,0.58,401,401,0,0.6059850374064838,0.6059850374064838,0.0,0.06982543640897755,0.06982543640897755,0.0,0.19201995012468828,0.19201995012468828,0.0,0.031635610703863094,-0.3507790544904512,1.0,0.2543640897755611,0.6458852867830424
short_reversal_only,train,0.58,361,361,0,0.6038781163434903,0.6038781163434903,0.0,0.06925207756232687,0.06925207756232687,0.0,0.19113573407202217,0.19113573407202217,0.0,0.02851246919227822,-0.3507790544904512,1.0,0.2742382271468144,0.6121883656509696
short_reversal_only,holdout,0.58,40,40,0,0.625,0.625,0.0,0.075,0.075,0.0,0.2,0.2,0.0,0.06580088602756429,-0.08065314763013454,1.0,0.075,0.95
drawdown_recovery_only,full,0.55,156,156,0,0.6923076923076923,0.6923076923076923,0.0,0.08974358974358974,0.08974358974358974,0.0,0.05128205128205128,0.05128205128205128,0.0,0.03248277481894635,-0.3492291220438597,1.0,0.7692307692307693,0.5769230769230769
drawdown_recovery_only,train,0.55,147,147,0,0.673469387755102,0.673469387755102,0.0,0.09523809523809523,0.09523809523809523,0.0,0.05442176870748299,0.05442176870748299,0.0,0.027565568998180735,-0.3492291220438597,1.0,0.8027210884353742,0.5510204081632653
drawdown_recovery_only,holdout,0.55,9,9,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11279713655811821,0.05261466035036122,1.0,0.2222222222222222,1.0
pullback_in_uptrend,full,0.55,310,143,167,0.5709677419354838,0.5664335664335665,-0.00453417550191737,0.05161290322580645,0.04895104895104895,-0.0026618542747574997,0.06129032258064516,0.027972027972027972,-0.03331829460861718,0.028483925915061888,-0.14633823534504997,1.0,0.4967741935483871,0.8516129032258064
pullback_in_uptrend,train,0.55,275,131,144,0.5781818181818181,0.5877862595419847,0.009604441360166582,0.04727272727272727,0.04580152671755725,-0.00147120055517002,0.06545454545454546,0.030534351145038167,-0.034920194309507296,0.028611197309522413,-0.14633823534504997,1.0,0.5163636363636364,0.8327272727272728
pullback_in_uptrend,holdout,0.55,35,12,23,0.5142857142857142,0.3333333333333333,-0.18095238095238092,0.08571428571428572,0.08333333333333333,-0.0023809523809523864,0.02857142857142857,0.0,-0.02857142857142857,0.026816670647628948,-0.04292671500113521,1.0,0.34285714285714286,1.0
oversold_rebound_after_stress,full,0.5,818,701,117,0.5244498777506112,0.5135520684736091,-0.010897809277002124,0.06723716381418093,0.07132667617689016,0.004089512362709227,0.039119804400977995,0.028530670470756064,-0.010589133930221931,0.01782583266016927,-0.35971631649708335,1.0,0.8569682151589242,0.8447432762836186
oversold_rebound_after_stress,train,0.5,760,656,104,0.5105263157894737,0.5,-0.010526315789473717,0.07236842105263158,0.07621951219512195,0.0038510911424903677,0.039473684210526314,0.027439024390243903,-0.012034659820282411,0.015813772868175705,-0.35971631649708335,1.0,0.8631578947368421,0.8328947368421052
oversold_rebound_after_stress,holdout,0.5,58,45,13,0.7068965517241379,0.7111111111111111,0.004214559386973238,0.0,0.0,0.0,0.034482758620689655,0.044444444444444446,0.009961685823754791,0.0471571931834532,-0.009899762072634544,1.0,0.7758620689655172,1.0
momentum_reversal_interaction_score,full,0.6,0,0,0,,,,,,,,,,,,,,
momentum_reversal_interaction_score,train,0.6,0,0,0,,,,,,,,,,,,,,
momentum_reversal_interaction_score,holdout,0.6,0,0,0,,,,,,,,,,,,,,
focused_reversal_composite,full,0.58,40,19,21,0.7,0.6842105263157895,-0.015789473684210464,0.125,0.15789473684210525,0.032894736842105254,0.1,0.0,-0.1,0.030206880004507664,-0.19666076628133589,1.0,0.475,0.275
focused_reversal_composite,train,0.58,37,19,18,0.6756756756756757,0.6842105263157895,0.008534850640113834,0.13513513513513514,0.15789473684210525,0.022759601706970112,0.10810810810810811,0.0,-0.10810810810810811,0.030206880004507664,-0.19666076628133589,1.0,0.5135135135135135,0.21621621621621623
focused_reversal_composite,holdout,0.58,3,0,3,1.0,,,0.0,,,0.0,,,,,1.0,0.0,1.0
