model,label,feature,coef_or_importance
logistic,regime_plus_refined,market_drawdown,0.5570372305867944
logistic,regime_plus_refined,market_trend_positive,-0.1609123487409779
logistic,regime_plus_refined,breadth_sma_43,-0.3506358957187258
logistic,regime_plus_refined,breadth_26w_mom,0.2940001831493599
logistic,regime_plus_refined,breadth_13w_mom,-0.7528726856516537
logistic,regime_plus_refined,breadth_change_4w,0.2823999751887509
logistic,regime_plus_refined,canary_breadth_default,0.9723936624427448
logistic,regime_plus_refined,recent_stress_26w,0.25320383621762205
logistic,regime_plus_refined,transition_persistence_prob,0.4846352143708765
logistic,regime_plus_refined,transition_good_state_prob,0.1311618497938224
logistic,regime_plus_refined,transition_non_stress_prob,0.13677301420705182
logistic,regime_plus_refined,avg_corr_risk_off_z,-0.31226766179083254
logistic,regime_plus_refined,p_regime_confidence,0.4561669545813774
logistic,regime_plus_refined,p_transition_quality,0.25397831487624345
logistic,regime_plus_refined,p_tail_risk,-1.2411693848393288
logistic,regime_plus_refined,refined_state_is_calm_trend,-0.3793540444813649
logistic,regime_plus_refined,refined_state_is_neutral_healthy,0.2445106731660142
logistic,regime_plus_refined,refined_state_is_neutral_mixed,0.1219081779972098
logistic,regime_plus_refined,refined_state_is_neutral_deteriorating,-0.18409768976786897
logistic,regime_plus_refined,refined_state_is_recovery_confirmed,-0.47675785205137927
logistic,regime_plus_refined,refined_state_is_recovery_fragile,-0.43356672051053824
logistic,regime_plus_refined,refined_state_is_stressed_panic,0.6999987685397514
logistic,regime_plus_refined,deterioration_z,1.8650386276522388
logistic,regime_plus_refined,deterioration_rank_neutral_mixed,0.4096414984900401
logistic,regime_plus_refined,defensive_overlay_hint,0.30887168197664927
logistic,regime_plus_refined,hyg_lqd_credit_spread_proxy,-0.4642677694384715
logistic,regime_plus_refined,uup_dollar_strength_4w,-0.20096551983784397
logistic,regime_plus_refined,tlt_rate_sensitive_4w,0.14463560585489801
logistic,regime_plus_refined,gld_defensive_4w,0.3581045654150026
logistic,regime_plus_refined,spy_realized_vol_4w,0.4698310530652552
logistic,regime_plus_refined,spy_drawdown_from_52w_high,-1.0880347269979027
logistic,regime_plus_refined,spy_minus_iei_3m,-0.14630429287216956
logistic,regime_plus_refined,xlf_minus_xlu_3m,0.02731132546528014
logistic,regime_plus_refined,ig_credit_4w,-0.5205987973663271
logistic,regime_plus_refined,hy_credit_4w,0.2728007609868009
logistic_l2,all,market_drawdown,0.4126475387753972
logistic_l2,all,market_trend_positive,-0.14560247053934267
logistic_l2,all,breadth_sma_43,-0.3247824731498969
logistic_l2,all,breadth_26w_mom,0.2394097047761585
logistic_l2,all,breadth_13w_mom,-0.7148296781048344
logistic_l2,all,breadth_change_4w,0.24339218466287574
logistic_l2,all,canary_breadth_default,0.8830854532058455
logistic_l2,all,recent_stress_26w,0.2771555014591589
logistic_l2,all,transition_persistence_prob,0.41307803219978106
logistic_l2,all,transition_good_state_prob,0.03601173410347083
logistic_l2,all,transition_non_stress_prob,0.03997126683327179
logistic_l2,all,avg_corr_risk_off_z,-0.26418578237822665
logistic_l2,all,p_regime_confidence,0.36585054900569575
logistic_l2,all,p_transition_quality,0.2446343233476316
logistic_l2,all,p_tail_risk,-1.1536026710976648
logistic_l2,all,refined_state_is_calm_trend,-0.31378075000928496
logistic_l2,all,refined_state_is_neutral_healthy,0.19638496789614412
logistic_l2,all,refined_state_is_neutral_mixed,0.07369663809015506
logistic_l2,all,refined_state_is_neutral_deteriorating,-0.16952155190901247
logistic_l2,all,refined_state_is_recovery_confirmed,-0.39332580203077416
logistic_l2,all,refined_state_is_recovery_fragile,-0.40120214779776747
logistic_l2,all,refined_state_is_stressed_panic,0.6415354602180445
logistic_l2,all,deterioration_z,1.5996871813996556
logistic_l2,all,deterioration_rank_neutral_mixed,0.40528147960595934
logistic_l2,all,defensive_overlay_hint,0.26861970824731524
logistic_l2,all,hyg_lqd_credit_spread_proxy,-0.41076644098211135
logistic_l2,all,uup_dollar_strength_4w,-0.17609474066556816
logistic_l2,all,tlt_rate_sensitive_4w,0.11036652460254007
logistic_l2,all,gld_defensive_4w,0.3465960167552303
logistic_l2,all,spy_realized_vol_4w,0.437517855063375
logistic_l2,all,spy_drawdown_from_52w_high,-0.8877405338681649
logistic_l2,all,spy_minus_iei_3m,-0.15494090521230153
logistic_l2,all,xlf_minus_xlu_3m,0.021302615095516998
logistic_l2,all,ig_credit_4w,-0.43987317538168924
logistic_l2,all,hy_credit_4w,0.19634031010726358
tree_d3,all,market_drawdown,0.0
tree_d3,all,market_trend_positive,0.0
tree_d3,all,breadth_sma_43,0.0
tree_d3,all,breadth_26w_mom,0.0
tree_d3,all,breadth_13w_mom,0.03197193040963139
tree_d3,all,breadth_change_4w,0.0
tree_d3,all,canary_breadth_default,0.0
tree_d3,all,recent_stress_26w,0.04610588718095611
tree_d3,all,transition_persistence_prob,0.0
tree_d3,all,transition_good_state_prob,0.0
tree_d3,all,transition_non_stress_prob,0.0
tree_d3,all,avg_corr_risk_off_z,0.0
tree_d3,all,p_regime_confidence,0.0
tree_d3,all,p_transition_quality,0.0
tree_d3,all,p_tail_risk,0.0
tree_d3,all,refined_state_is_calm_trend,0.0
tree_d3,all,refined_state_is_neutral_healthy,0.0
tree_d3,all,refined_state_is_neutral_mixed,0.0
tree_d3,all,refined_state_is_neutral_deteriorating,0.0
tree_d3,all,refined_state_is_recovery_confirmed,0.0
tree_d3,all,refined_state_is_recovery_fragile,0.0
tree_d3,all,refined_state_is_stressed_panic,0.0
