n_obs,brier,auc,log_loss,pos_rate,pred_mean,period,start,end,model
212,0.04893803731287036,0.7927461139896371,0.24625931286803743,0.08962264150943396,0.06061014939820025,0,2010-01-08,2014-01-24,logistic_kk
211,0.16693830983042932,0.7885142255005269,0.5812856244806448,0.3080568720379147,0.2225807569319808,1,2014-01-31,2018-02-09,logistic_kk
211,0.07430734395891693,0.9358623832308043,0.2609227723219685,0.27014218009478674,0.29117366675161244,2,2018-02-16,2022-02-25,logistic_kk
211,0.08466696252493579,0.8970398970398971,0.32255315665605305,0.2985781990521327,0.25750070176598855,3,2022-03-04,2026-03-13,logistic_kk
