n_obs,brier,auc,log_loss,pos_rate,pred_mean,period,start,end,predictor
277,0.4263051687235945,0.7325490196078432,1.2325181236252245,0.36823104693140796,0.8425804809484928,0,2005-01-14,2010-04-30,baseline_existing
276,0.22099795876222952,0.5731590413943355,0.6345519057906907,0.18478260869565216,0.4498219538668136,1,2010-05-07,2015-08-14,baseline_existing
276,0.2234934915272756,0.7613636363636364,0.6384937568049844,0.3188405797101449,0.5244551962248215,2,2015-08-21,2020-11-27,baseline_existing
276,0.20149186337488942,0.8608093328472476,0.5940696595872392,0.23550724637681159,0.49579678010690753,3,2020-12-04,2026-03-13,baseline_existing
