bucket,n,mean_pred,mean_actual,model,target,label
0,221,0.3588458657802447,0.1493212669683258,baseline_existing,target_A_stress_transition_4w,
1,221,0.4540063410548167,0.10407239819004525,baseline_existing,target_A_stress_transition_4w,
2,221,0.5096182457295516,0.10407239819004525,baseline_existing,target_A_stress_transition_4w,
3,417,0.7753680965103532,0.4844124700239808,baseline_existing,target_A_stress_transition_4w,
4,25,0.941629267837343,1.0,baseline_existing,target_A_stress_transition_4w,
0,222,0.3591349551221708,0.28378378378378377,baseline_existing,target_B_prod_bad_return_4w,
1,222,0.45437180343530853,0.32432432432432434,baseline_existing,target_B_prod_bad_return_4w,
2,221,0.5102265240385201,0.21266968325791855,baseline_existing,target_B_prod_bad_return_4w,
3,419,0.7749355312492726,0.2052505966587112,baseline_existing,target_B_prod_bad_return_4w,
4,25,0.941629267837343,0.36,baseline_existing,target_B_prod_bad_return_4w,
0,222,0.3591349551221708,0.21171171171171171,baseline_existing,target_C_spy_bad_return_4w,
1,222,0.45437180343530853,0.21621621621621623,baseline_existing,target_C_spy_bad_return_4w,
2,221,0.5102265240385201,0.23076923076923078,baseline_existing,target_C_spy_bad_return_4w,
3,419,0.7749355312492726,0.28878281622911695,baseline_existing,target_C_spy_bad_return_4w,
4,25,0.941629267837343,0.4,baseline_existing,target_C_spy_bad_return_4w,
0,222,0.3591349551221708,0.05405405405405406,baseline_existing,target_D_prod_drawdown_worsens_4w,
1,222,0.45437180343530853,0.11261261261261261,baseline_existing,target_D_prod_drawdown_worsens_4w,
2,221,0.5102265240385201,0.06334841628959276,baseline_existing,target_D_prod_drawdown_worsens_4w,
3,419,0.7749355312492726,0.031026252983293555,baseline_existing,target_D_prod_drawdown_worsens_4w,
4,25,0.941629267837343,0.0,baseline_existing,target_D_prod_drawdown_worsens_4w,
0,169,0.004692882771019255,0.05325443786982249,logistic,target_A_stress_transition_4w,regime_only
1,169,0.020827025560140214,0.08875739644970414,logistic,target_A_stress_transition_4w,regime_only
2,169,0.05425848399702281,0.08875739644970414,logistic,target_A_stress_transition_4w,regime_only
3,169,0.19488366896818993,0.15976331360946747,logistic,target_A_stress_transition_4w,regime_only
4,169,0.8589870385724101,0.8165680473372781,logistic,target_A_stress_transition_4w,regime_only
0,170,0.16329519095405487,0.28823529411764703,logistic,target_B_prod_bad_return_4w,regime_only
1,170,0.25321875234738683,0.27647058823529413,logistic,target_B_prod_bad_return_4w,regime_only
2,169,0.3172754879720877,0.21301775147928995,logistic,target_B_prod_bad_return_4w,regime_only
3,170,0.3989959610265843,0.31176470588235294,logistic,target_B_prod_bad_return_4w,regime_only
4,170,0.6272515931038481,0.2647058823529412,logistic,target_B_prod_bad_return_4w,regime_only
0,170,0.10482653176059127,0.22941176470588234,logistic,target_C_spy_bad_return_4w,regime_only
1,170,0.18381395285264818,0.25882352941176473,logistic,target_C_spy_bad_return_4w,regime_only
2,169,0.23248488099292264,0.2781065088757396,logistic,target_C_spy_bad_return_4w,regime_only
3,170,0.31953721124615325,0.17647058823529413,logistic,target_C_spy_bad_return_4w,regime_only
4,170,0.5766980918008046,0.20588235294117646,logistic,target_C_spy_bad_return_4w,regime_only
0,165,0.004224844327629129,0.01818181818181818,logistic,target_D_prod_drawdown_worsens_4w,regime_only
1,164,0.0195110148708262,0.03048780487804878,logistic,target_D_prod_drawdown_worsens_4w,regime_only
2,165,0.061692702662224735,0.048484848484848485,logistic,target_D_prod_drawdown_worsens_4w,regime_only
3,164,0.13966565418845747,0.10975609756097561,logistic,target_D_prod_drawdown_worsens_4w,regime_only
4,165,0.32175945226191854,0.07878787878787878,logistic,target_D_prod_drawdown_worsens_4w,regime_only
0,169,0.0022057071988729384,0.0,logistic,target_A_stress_transition_4w,regime_plus_refined
1,169,0.014663840260776478,0.13609467455621302,logistic,target_A_stress_transition_4w,regime_plus_refined
2,169,0.0511086299716072,0.09467455621301775,logistic,target_A_stress_transition_4w,regime_plus_refined
3,169,0.20212857008939236,0.24260355029585798,logistic,target_A_stress_transition_4w,regime_plus_refined
4,169,0.8628769716527038,0.7337278106508875,logistic,target_A_stress_transition_4w,regime_plus_refined
0,170,0.10411516991757037,0.3235294117647059,logistic,target_B_prod_bad_return_4w,regime_plus_refined
1,170,0.2031476781074242,0.2235294117647059,logistic,target_B_prod_bad_return_4w,regime_plus_refined
2,169,0.288276316680186,0.3136094674556213,logistic,target_B_prod_bad_return_4w,regime_plus_refined
3,170,0.4162688131846311,0.27058823529411763,logistic,target_B_prod_bad_return_4w,regime_plus_refined
4,170,0.6352334707053624,0.2235294117647059,logistic,target_B_prod_bad_return_4w,regime_plus_refined
0,170,0.04256036355064089,0.24705882352941178,logistic,target_C_spy_bad_return_4w,regime_plus_refined
1,170,0.1153347233461888,0.2235294117647059,logistic,target_C_spy_bad_return_4w,regime_plus_refined
2,169,0.20118476596145043,0.1893491124260355,logistic,target_C_spy_bad_return_4w,regime_plus_refined
3,170,0.31272099774458517,0.2411764705882353,logistic,target_C_spy_bad_return_4w,regime_plus_refined
