name,market_state,weeks,ann_arithmetic_contribution,mean_weekly_return
track_b_aggressive_cash_cap_20,calm_trend,295,0.011673708978442632,0.0008447077552849623
track_b_aggressive_cash_cap_20,neutral_mixed,493,0.05136833764235196,0.0022241712741071415
track_b_aggressive_cash_cap_20,recovery_confirmed,44,0.0011840139340530888,0.0005744123543701611
track_b_aggressive_cash_cap_20,recovery_fragile,49,0.0025357163582425337,0.0011046488059847774
track_b_aggressive_cash_cap_20,stressed_panic,229,0.007658768833312392,0.0007139094226550852
track_b_aggressive_cash_cap_15_good_20_neutral,calm_trend,295,0.01206127251931217,0.000872751792466526
track_b_aggressive_cash_cap_15_good_20_neutral,neutral_mixed,493,0.05135122001326589,0.002223430106675189
track_b_aggressive_cash_cap_15_good_20_neutral,recovery_confirmed,44,0.0012175298094721826,0.0005906722414834453
track_b_aggressive_cash_cap_15_good_20_neutral,recovery_fragile,49,0.0025357163582425337,0.0011046488059847774
track_b_aggressive_cash_cap_15_good_20_neutral,stressed_panic,229,0.007658768833312392,0.0007139094226550852
track_b_aggressive_cash_cap_10_good_18_neutral,calm_trend,295,0.012344947046079585,0.0008932784368414823
track_b_aggressive_cash_cap_10_good_18_neutral,neutral_mixed,493,0.05155910299641238,0.002232431125215234
track_b_aggressive_cash_cap_10_good_18_neutral,recovery_confirmed,44,0.0012568644720374513,0.0006097550541790082
track_b_aggressive_cash_cap_10_good_18_neutral,recovery_fragile,49,0.0025020288850990204,0.0010899733369151934
track_b_aggressive_cash_cap_10_good_18_neutral,stressed_panic,229,0.007645968821752435,0.0007127162741136381
track_b_aggressive_offense_boost_10,calm_trend,295,0.011435961438049128,0.0008275043804585744
track_b_aggressive_offense_boost_10,neutral_mixed,493,0.0497123796640745,0.0021524707999345722
track_b_aggressive_offense_boost_10,recovery_confirmed,44,0.0011870582931346862,0.0005758892943092228
track_b_aggressive_offense_boost_10,recovery_fragile,49,0.003064819617036415,0.0013351451235912167
track_b_aggressive_offense_boost_10,stressed_panic,229,0.007800624270242893,0.0007271324269373204
track_b_aggressive_offense_boost_20,calm_trend,295,0.01143599727129703,0.0008275069733467865
track_b_aggressive_offense_boost_20,neutral_mixed,493,0.05072112280434103,0.002196147851178754
track_b_aggressive_offense_boost_20,recovery_confirmed,44,0.0012544416455379857,0.0006085796444699144
track_b_aggressive_offense_boost_20,recovery_fragile,49,0.0030604165167483024,0.001333226975506521
track_b_aggressive_offense_boost_20,stressed_panic,229,0.0077844523176836275,0.0007256249641105834
track_b_aggressive_cash10_offense10,calm_trend,295,0.012529522534179674,0.0009066342902828839
