name,kind,cost_multiplier,cost_bps_per_one_way_turnover,ann_return,ann_vol,sharpe,max_drawdown,cvar_5,calmar,annualized_cost,avg_weekly_turnover
track_a_production,benchmark,1.0,10.0,0.07134169431933568,0.07523466354534117,0.9482556438408296,-0.1160345788576096,-0.02494792885739996,0.6148313289168892,0.00350100883206903,0.06738780265652743
track_a_production,benchmark,2.0,20.0,0.06760219773022813,0.07523211872691503,0.8985816015047677,-0.11606929528273913,-0.02504028715719442,0.5824296388252593,0.00700201766413806,0.06738780265652743
track_a_production,benchmark,3.0,30.0,0.06387482901289543,0.0752380252386567,0.8489700362321185,-0.11610401119544767,-0.025132645456988876,0.5501517850694198,0.01050302649620709,0.06738780265652743
spy_buy_hold,benchmark,1.0,10.0,0.10533090832092062,0.17565837902043555,0.5996349784638896,-0.5461301944883752,-0.05800426809633085,0.19286776190720706,0.0,0.0
spy_buy_hold,benchmark,2.0,20.0,0.10533090832092062,0.17565837902043555,0.5996349784638896,-0.5461301944883752,-0.05800426809633085,0.19286776190720706,0.0,0.0
spy_buy_hold,benchmark,3.0,30.0,0.10533090832092062,0.17565837902043555,0.5996349784638896,-0.5461301944883752,-0.05800426809633085,0.19286776190720706,0.0,0.0
static_60_spy_40_ief,benchmark,1.0,10.0,0.08087153420178539,0.10307754789931925,0.7845698297050728,-0.3138361944792655,-0.03273141716036434,0.2576870852515018,0.0,0.0
static_60_spy_40_ief,benchmark,2.0,20.0,0.08087153420178539,0.10307754789931925,0.7845698297050728,-0.3138361944792655,-0.03273141716036434,0.2576870852515018,0.0,0.0
static_60_spy_40_ief,benchmark,3.0,30.0,0.08087153420178539,0.10307754789931925,0.7845698297050728,-0.3138361944792655,-0.03273141716036434,0.2576870852515018,0.0,0.0
static_80_spy_20_bil,benchmark,1.0,10.0,0.08872865465674029,0.14041218115764487,0.6319156495199091,-0.45842359793926657,-0.04633090118254087,0.19355167372621893,0.0,0.0
static_80_spy_20_bil,benchmark,2.0,20.0,0.08872865465674029,0.14041218115764487,0.6319156495199091,-0.45842359793926657,-0.04633090118254087,0.19355167372621893,0.0,0.0
static_80_spy_20_bil,benchmark,3.0,30.0,0.08872865465674029,0.14041218115764487,0.6319156495199091,-0.45842359793926657,-0.04633090118254087,0.19355167372621893,0.0,0.0
