model_name,seed,epoch,train_loss,validation_loss,validation_rank_ic,validation_top10_top_quintile_hit_rate
cross_asset_attention_ranker_seed0,0,1,1.0948845227559407,1.0769976675510406,-0.029432252156879144,0.2211538513119404
cross_asset_attention_ranker_seed0,0,2,1.0488974650700886,1.0630958676338196,-0.04271605513172798,0.26923077553510666
cross_asset_attention_ranker_seed0,0,3,1.0311222990353903,1.0535905063152313,-0.04333971336822746,0.29519231474170315
cross_asset_attention_ranker_seed0,0,4,1.018759967883428,1.04759581387043,-0.04283876481957381,0.3067307754491384
cross_asset_attention_ranker_seed0,0,5,1.0104380706946055,1.0417155474424362,-0.04028957795118314,0.3173076988269503
cross_asset_attention_ranker_seed0,0,6,1.003511772553126,1.0425240695476532,-0.031922201398466896,0.3038461600215389
cross_asset_attention_ranker_seed0,0,7,0.9998202244440715,1.0405503511428833,-0.03461679585024397,0.31057692820636124
cross_asset_attention_ranker_seed0,0,8,0.9940924604733785,1.0399539023637772,-0.03082187170879499,0.3009615447372198
cross_asset_attention_ranker_seed0,0,9,0.9884898960590363,1.0485003888607025,-0.02530308480846386,0.302884621044191
cross_asset_attention_ranker_seed0,0,10,0.9840137382348378,1.0457955747842789,-0.023976369978691,0.2971153903322724
cross_asset_attention_ranker_seed0,0,11,0.9800532360871633,1.0531015247106552,-0.01617297038806903,0.2990384680004074
cross_asset_attention_ranker_seed0,0,12,0.9769615650177002,1.0571466833353043,-0.014130295525467549,0.2932692369302878
cross_asset_attention_ranker_seed0,0,13,0.9711500406265259,1.0569103509187698,-0.012224426397828152,0.29807692830665755
cross_asset_attention_ranker_seed1,1,1,1.0970750490824381,1.0642058551311493,-0.010767482977242813,0.2990384685018888
cross_asset_attention_ranker_seed1,1,2,1.044518639643987,1.051426500082016,-0.028142641376702214,0.3125000067341786
cross_asset_attention_ranker_seed1,1,3,1.0274187167485556,1.0425084829330444,-0.028928392803754834,0.3355769303698952
cross_asset_attention_ranker_seed1,1,4,1.0170057753721873,1.0380096584558487,-0.04152033214461467,0.32019231310830665
cross_asset_attention_ranker_seed1,1,5,1.0087168832619986,1.0382557958364487,-0.03731423090492643,0.32884615967766595
cross_asset_attention_ranker_seed1,1,6,1.0041428009668987,1.0345471501350403,-0.03507456642518493,0.32115385136925256
cross_asset_attention_ranker_seed1,1,7,1.0000492850939433,1.0370193868875504,-0.032927451882938545,0.3211538508677712
cross_asset_attention_ranker_seed1,1,8,0.9940326611200968,1.0392190665006638,-0.02964372201809416,0.3134615443503627
cross_asset_attention_ranker_seed1,1,9,0.991036198536555,1.0381068736314774,-0.024652440228725918,0.3144230819665469
cross_asset_attention_ranker_seed1,1,10,0.9864018638928731,1.0379180014133453,-0.021298790794271643,0.3192307743458794
cross_asset_attention_ranker_seed1,1,11,0.9824334700902303,1.0463737845420837,-0.012372047893918077,0.32788462041375727
