candidate,trailing_1y_cagr,trailing_1y_sharpe,trailing_1y_drawdown,ytd_cagr,full_cagr,full_drawdown,trailing_1y_200bps_cagr,recent_return,ytd_return,recent_sharpe,recent_drawdown,full_return_gate,full_drawdown_gate,severe_cost,all_screen_gates,lookback,low,high,recent_improvement,recent_and_full_improvement
cash_rel_13w_00_50,1.0753269915239274,2.708873039423197,-0.1066925157176648,1.136344565421151,0.3917737974966433,-0.2325629670629849,0.9548443284536204,True,True,True,True,True,True,True,True,13,0,50,True,True
cash_rel_11w_00_50,1.062635003367527,2.686619261977623,-0.112260410655135,1.1147488633384277,0.3816417223857784,-0.246829330265566,0.9430575406810116,True,True,True,True,True,True,True,True,11,0,50,True,False
cash_rel_13w_05_50,1.0482859612090123,2.748505464034648,-0.1005708730887593,1.119008434435358,0.3826757652515316,-0.2336985187345861,0.931244184190519,True,True,True,True,True,True,True,True,13,5,50,True,False
cash_rel_13w_00_40,1.0444986799418357,2.662932055372262,-0.1121274130942938,1.0840405841271703,0.3908177742057979,-0.2282509788477961,0.9278741044096306,True,True,True,True,True,True,True,True,13,0,40,True,True
cash_rel_11w_05_50,1.037088104273952,2.727892600520044,-0.1055822945531489,1.0998560584555173,0.3739107874506664,-0.2465413587286089,0.921077434139674,True,True,True,True,True,True,True,True,11,5,50,True,False
cash_rel_11w_00_40,1.0344910467136783,2.645731187806063,-0.1165568370007099,1.067172019959988,0.3827068328805847,-0.2397533513868752,0.9185564614103024,True,True,True,True,True,True,True,True,11,0,40,True,False
cash_rel_13w_10_50,1.0211654944349062,2.78450930908359,-0.0953644745562758,1.1013064985535626,0.3735233610569095,-0.2348579786198352,0.9077671805098017,True,True,True,True,True,True,True,True,13,10,50,True,False
cash_rel_13w_05_40,1.017859089799393,2.701557043135797,-0.1060431255343798,1.0671284757856512,0.3817251245383632,-0.2293940758967928,0.9045958043720774,True,True,True,True,True,True,True,True,13,5,40,True,False
cash_rel_11w_10_50,1.0114190849118678,2.7656927927097086,-0.0998104675671033,1.084550513029113,0.3661087004834347,-0.2462775672247892,0.8991483627309544,True,True,True,True,True,True,True,True,11,10,50,True,False
cash_rel_11w_05_40,1.0092924590943348,2.6861345782431414,-0.1099111619218756,1.0526138156393243,0.3749688809229317,-0.2394636349096365,0.896849419085848,True,True,True,True,True,True,True,True,11,5,40,True,False
cash_rel_15w_00_50,0.9923132195590164,2.511068834926144,-0.1430980838050024,0.9966768378688132,0.3757036505891811,-0.2190073163335932,0.8769187826304052,True,True,True,True,True,True,True,True,15,0,50,True,False
cash_rel_14w_00_50,0.992313219559015,2.5110688349261423,-0.1430980838050025,0.996676837868812,0.3722033728481784,-0.2238461235137503,0.8769187826304035,True,True,True,True,True,True,True,True,14,0,50,True,False
cash_rel_13w_10_40,0.9911412495227072,2.7366152354196744,-0.1008685150781888,1.0498595251774838,0.3725781526816283,-0.2305612107826231,0.8814390402443548,True,True,True,True,True,True,True,True,13,10,40,True,False
cash_rel_11w_10_40,0.9839734265935264,2.72311485238376,-0.1041673902292419,1.037652167069008,0.3671597354842351,-0.2391983251042337,0.8751929052100174,True,True,True,True,True,True,True,True,11,10,40,True,False
cash_rel_14w_00_40,0.9785735512451752,2.501186553171653,-0.1412984057876324,0.9739223187742356,0.3750805302551447,-0.221563795153727,0.8660161423149311,True,True,True,True,True,True,True,True,14,0,40,True,False
cash_rel_15w_00_40,0.9785735512451744,2.501186553171652,-0.1412984057876325,0.9739223187742349,0.3778910537439217,-0.2176737433964523,0.8660161423149302,True,True,True,True,True,True,True,True,15,0,40,True,False
cash_rel_14w_05_50,0.9746096316985352,2.563688986138236,-0.1335337292409939,0.9942648995455072,0.3650726559172856,-0.2284981662215285,0.8621877247663559,True,True,True,True,True,True,True,True,14,5,50,True,False
cash_rel_15w_05_50,0.9746096316985348,2.563688986138238,-0.1335337292409936,0.9942648995455076,0.3687533184046179,-0.2241780054279644,0.8621877247663547,True,True,True,True,True,True,True,True,15,5,50,True,False
cash_rel_14w_05_40,0.9609917923552268,2.5544373293059834,-0.1317140818047047,0.9715374327960472,0.3679340973572622,-0.226229714282319,0.8513666601109315,True,True,True,True,True,True,True,True,14,5,40,True,False
cash_rel_15w_05_40,0.9609917923552268,2.5544373293059843,-0.1317140818047046,0.9715374327960452,0.3709288999050437,-0.2228534591054511,0.8513666601109329,True,True,True,True,True,True,True,True,15,5,40,True,False
cash_rel_15w_10_50,0.9566064223474272,2.6144123870160016,-0.1248064365609885,0.9913102428153966,0.3617173726325962,-0.2293272307418357,0.84736565122032,True,True,True,True,True,True,True,True,15,10,50,True,False
cash_rel_14w_10_50,0.956606422347424,2.614412387015997,-0.1248064365609888,0.9913102428153928,0.3578583543950047,-0.2331364535464274,0.8473656512203185,True,True,True,True,True,True,True,True,14,10,50,True,False
cash_rel_10w_00_50,0.9446319425614882,2.601001379733665,-0.1134508031004681,0.9181549919326936,0.3698513971394079,-0.2389368504681753,0.8058297930726102,True,True,True,True,True,True,False,False,10,0,50,True,False
cash_rel_12w_00_50,0.944631942561488,2.601001379733666,-0.1134508031004679,0.9181549919326916,0.3692306814942503,-0.2310077839165742,0.805829793072611,True,True,True,True,True,True,False,False,12,0,50,True,False
cash_rel_15w_10_40,0.943112485347553,2.605885354413857,-0.1229685790196681,0.9686160185208113,0.3638810057177801,-0.2280116713908363,0.8366267966202214,True,True,True,True,True,True,True,True,15,10,40,True,False
cash_rel_14w_10_40,0.943112485347552,2.6058853544138607,-0.122968579019668,0.9686160185208093,0.3607039136973515,-0.2308818348199117,0.8366267966202177,True,True,True,True,True,True,True,True,14,10,40,True,False
cash_rel_10w_00_40,0.9413426133030218,2.5869592362064644,-0.1173056641170777,0.9127841995487808,0.3733502534187403,-0.2330608807499805,0.8099853267381079,True,True,True,True,True,True,False,False,10,0,40,True,False
cash_rel_12w_00_40,0.9413426133030214,2.586959236206464,-0.1173056641170779,0.9127841995487808,0.3728488030691741,-0.2266772943587396,0.8099853267381065,True,True,True,True,True,True,False,False,12,0,40,True,False
cash_rel_12w_05_50,0.9317930340225128,2.6500322583013305,-0.1074449972742424,0.9231548741611596,0.3624551674699645,-0.2348483110789131,0.798878138366558,False,True,True,True,True,True,False,False,12,5,50,True,False
cash_rel_10w_05_50,0.9317930340225118,2.650032258301329,-0.1074449972742427,0.9231548741611606,0.3632982875540695,-0.2419531086789145,0.7988781383665593,False,True,True,True,True,True,False,False,10,5,50,True,False
cash_rel_12w_05_40,0.9285246739644548,2.634921905956732,-0.1113262029425574,0.9177688507275364,0.3660542414380001,-0.2305400316673083,0.8030063441468949,False,True,True,True,True,True,False,False,12,5,40,True,False
cash_rel_10w_05_40,0.9285246739644524,2.634921905956728,-0.1113262029425575,0.917768850727535,0.3667789754058781,-0.2361010043642128,0.8030063441468964,False,True,True,True,True,True,False,False,10,5,40,True,False
cash_rel_16w_00_40,0.9233823497060916,2.383700561345566,-0.1640733965310169,0.8835641724716696,0.3636117093659214,-0.2404777485450041,0.7726543298529951,False,True,True,True,True,True,False,False,16,0,40,True,False
cash_rel_16w_00_50,0.9230763612786153,2.366370816919808,-0.1714090012977257,0.883067896765364,0.3579192427955815,-0.247710496017015,0.7599943706303567,False,False,True,False,True,True,False,False,16,0,50,False,False
cash_rel_10w_10_50,0.9186617848742976,2.6954008012618216,-0.1014392874973602,0.9277576709774448,0.3566700399933413,-0.2449717168729002,0.7917639421309222,False,True,True,True,True,True,False,False,10,10,50,False,False
