variant,decision_date,assets,rank_ic,engine
real,2012-01-06,13,0.3147399290736589,matched_baseline
real,2012-02-03,13,-0.31555707871219335,matched_baseline
real,2012-03-02,13,0.30615594638483873,matched_baseline
real,2012-04-06,13,-0.3836660393355771,matched_baseline
real,2012-05-04,13,0.3058109736823406,matched_baseline
real,2012-06-01,13,-0.39501265959677107,matched_baseline
real,2012-07-06,13,-0.2162207533591297,matched_baseline
real,2012-08-03,13,-0.22254798400114775,matched_baseline
real,2012-09-07,13,0.2057596949127519,matched_baseline
real,2012-10-05,13,-0.5574148287380032,matched_baseline
real,2012-11-02,13,0.11253778449047189,matched_baseline
real,2012-12-07,13,0.5795730703354824,matched_baseline
real,2013-01-04,13,0.0592182465555961,matched_baseline
real,2013-02-01,13,-0.10586097039103687,matched_baseline
real,2013-03-01,13,0.48781109146196094,matched_baseline
real,2013-04-05,13,0.2592142386970267,matched_baseline
real,2013-05-03,13,-0.2627563915634151,matched_baseline
real,2013-06-07,13,0.342408599795914,matched_baseline
real,2013-07-05,13,-0.04672037012053448,matched_baseline
real,2013-08-02,13,0.3400054706992118,matched_baseline
real,2013-09-06,13,-0.45130167627642587,matched_baseline
real,2013-10-04,13,-0.09290240934067749,matched_baseline
real,2013-11-01,13,-0.18973935167449402,matched_baseline
real,2013-12-06,13,0.2215155213493492,matched_baseline
real,2014-01-03,13,-0.3989176184263907,matched_baseline
real,2014-02-07,13,0.6093388484471306,matched_baseline
real,2014-03-07,13,-0.6878036051058273,matched_baseline
real,2014-04-04,13,-0.22791959739526052,matched_baseline
real,2014-05-02,13,0.20076022947692146,matched_baseline
real,2014-06-06,13,-0.09030889308417554,matched_baseline
real,2014-07-04,13,-0.1995521731021329,matched_baseline
real,2014-08-01,13,0.6387243012496255,matched_baseline
real,2014-09-05,13,0.04622139626205446,matched_baseline
real,2014-10-03,13,0.08135264872023926,matched_baseline
real,2014-11-07,13,0.2694131891453402,matched_baseline
real,2014-12-05,13,0.4044685019158898,matched_baseline
real,2015-01-02,13,0.10238379571968252,matched_baseline
real,2015-02-06,13,-0.28145808931617955,matched_baseline
real,2015-03-06,13,0.5613738992226541,matched_baseline
real,2015-04-03,13,-0.4668684229936762,matched_baseline
real,2015-05-01,13,0.17447099741658606,matched_baseline
real,2015-06-05,13,-0.46802469930896295,matched_baseline
real,2015-07-03,13,-0.17840059920369994,matched_baseline
real,2015-08-07,13,-0.040459571072915756,matched_baseline
real,2015-09-04,13,-0.04023847433992013,matched_baseline
real,2015-10-02,13,-0.10185962383312169,matched_baseline
real,2015-11-06,13,0.3613933426729132,matched_baseline
real,2015-12-04,14,-0.01017974525358259,matched_baseline
real,2016-01-01,14,-0.6654254262159787,matched_baseline
real,2016-02-05,14,-0.5108540694234617,matched_baseline
real,2016-03-04,14,0.2149427263220926,matched_baseline
real,2016-04-01,14,0.232282670989661,matched_baseline
real,2016-05-06,14,-0.3781704081383113,matched_baseline
real,2016-06-03,14,0.31205135061691797,matched_baseline
real,2016-07-01,14,-0.30011289365444527,matched_baseline
real,2016-08-05,14,-0.5869867452030589,matched_baseline
real,2016-09-02,14,-0.43370542604029916,matched_baseline
real,2016-10-07,14,-0.35560191896810367,matched_baseline
real,2016-11-04,14,-0.31647536170852164,matched_baseline
real,2016-12-02,14,0.09504336799847507,matched_baseline
real,2017-01-06,14,0.30246646056222964,matched_baseline
real,2017-02-03,14,0.46735610241978714,matched_baseline
real,2017-03-03,14,0.12932382236473577,matched_baseline
real,2017-04-07,14,0.04089764023307812,matched_baseline
real,2017-05-05,14,0.48063627362344813,matched_baseline
real,2017-06-02,14,-0.2881746210730122,matched_baseline
real,2017-07-07,14,0.20326912453492849,matched_baseline
real,2017-08-04,14,0.057876909053233054,matched_baseline
real,2017-09-01,14,0.04436550414162547,matched_baseline
real,2017-10-06,14,0.5348034689426898,matched_baseline
real,2017-11-03,14,-0.03640281702121152,matched_baseline
real,2017-12-01,14,-0.2108421280095725,matched_baseline
real,2018-01-05,14,0.6976724831535471,matched_baseline
real,2018-02-02,14,-0.49901113312219025,matched_baseline
real,2018-03-02,14,-0.38958301758133673,matched_baseline
real,2018-04-06,14,0.5200469026551376,matched_baseline
real,2018-05-04,14,0.4749393185655087,matched_baseline
real,2018-06-01,14,0.08371865368947677,matched_baseline
real,2018-07-06,14,0.40274044696630845,matched_baseline
real,2018-08-03,14,0.17913586450465518,matched_baseline
real,2018-09-07,14,-0.4247224396647051,matched_baseline
real,2018-10-05,14,-0.686187301179905,matched_baseline
real,2018-11-02,14,-0.032782961648942205,matched_baseline
real,2018-12-07,14,-0.12538291161392262,matched_baseline
real,2019-01-04,14,0.11113579748384154,matched_baseline
real,2019-02-01,14,0.6467222615076702,matched_baseline
real,2019-03-01,14,0.19619552541530574,matched_baseline
real,2019-04-05,14,0.07736877225415761,matched_baseline
real,2019-05-03,14,-0.5229873058347848,matched_baseline
real,2019-06-07,14,0.3303173735317276,matched_baseline
real,2019-07-05,14,-0.4131727403783207,matched_baseline
real,2019-08-02,14,0.472057312602117,matched_baseline
