outer_year,family,config_id,parameters,inner_months,inner_mean_rank_ic,inner_top5_turnover_proxy,selection_score
2012,ridge,ridge-89a1e12a82c0,"{""alpha"": 0.01}",24,0.07829670329670331,0.4454545454545454,0.07384215784215786
2012,ridge,ridge-d3ccf501b007,"{""alpha"": 0.1}",24,0.07875457875457877,0.4363636363636363,0.0743909423909424
2012,ridge,ridge-48bf3ac658e3,"{""alpha"": 1.0}",24,0.07829670329670331,0.45454545454545453,0.07375124875124876
2012,ridge,ridge-4979b3f4e21b,"{""alpha"": 10.0}",24,0.0695970695970696,0.4,0.0655970695970696
2012,ridge,ridge-a63fede2878d,"{""alpha"": 100.0}",24,0.027701465201465218,0.4,0.023701465201465217
2012,elastic_net,elastic_net-21fb87de1b2f,"{""alpha"": 0.0001, ""l1_ratio"": 0.1}",24,0.07829670329670331,0.4454545454545454,0.07384215784215786
2012,elastic_net,elastic_net-317772f571b5,"{""alpha"": 0.0001, ""l1_ratio"": 0.5}",24,0.08081501831501835,0.4363636363636363,0.07645138195138199
2012,elastic_net,elastic_net-0f02840a632a,"{""alpha"": 0.0001, ""l1_ratio"": 0.9}",24,0.08150183150183152,0.4272727272727272,0.07722910422910424
2012,elastic_net,elastic_net-dd2ae2029359,"{""alpha"": 0.001, ""l1_ratio"": 0.1}",24,0.08310439560439561,0.4272727272727272,0.07883166833166834
2012,elastic_net,elastic_net-ed48097726dd,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",24,0.0798992673992674,0.44545454545454544,0.07544472194472196
2012,elastic_net,elastic_net-3fd68254e0b3,"{""alpha"": 0.001, ""l1_ratio"": 0.9}",24,0.07600732600732603,0.42727272727272725,0.07173459873459875
2012,elastic_net,elastic_net-99d0c7de1040,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",24,0.07280219780219783,0.42727272727272725,0.06852947052947056
2012,elastic_net,elastic_net-6b25c811b04b,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",24,0.06410256410256411,0.40909090909090906,0.06001165501165502
2012,elastic_net,elastic_net-6da92d318c10,"{""alpha"": 0.01, ""l1_ratio"": 0.9}",24,0.05746336996336998,0.42727272727272725,0.053190642690642706
