strategy_name,audit_type,item,category,average_weight,max_weight,holding_frequency
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,category,Core strategy,Core strategy,0.9338414634146344,1.0,1.0
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,category,Bonds,Bonds,0.018695967297256835,0.07954431848650871,0.40853658536585363
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,category,US sectors,US sectors,0.015251630347280682,0.04606050593069354,0.600609756097561
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,category,International equity,International equity,0.014081465469142768,0.051513266124376705,0.5640243902439024
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,category,Commodities,Commodities,0.011458092786120304,0.042442999443788085,0.5
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,category,US broad equity,US broad equity,0.0032019642046040224,0.030740252359936243,0.1402439024390244
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,category,Volatility proxies,Volatility proxies,0.0013618875585392552,0.0059542918138601325,0.0
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,category,Real estate,Real estate,0.0010595841578629629,0.03360289895066913,0.04573170731707317
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,category,Factors/styles,Factors/styles,0.000910207142182927,0.015082466362221214,0.012195121951219513
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,category,Currency/dollar,Currency/dollar,0.00013773762237610348,0.011160667001710369,0.003048780487804878
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,summary,average_top3_weight,,0.9594775405460516,1.0,
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,summary,average_safe_asset_weight,,0.018695967297256835,0.07954431848650871,
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,summary,average_BIL_weight,,0.01842987804878049,0.07500000000000001,
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,summary,average_sector_weight,,0.015251630347280682,0.04606050593069354,
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,summary,average_commodities_weight,,0.011458092786120304,0.042442999443788085,
meta_core_switch_plus_ml_sleeve_10pct_thr0.70,summary,average_SPY_QQQ_SMH_weight,,0.0032906044161764136,0.017224445612716625,
