path,pre_weeks,post_weeks,pre_return,pre_sharpe,post_return,post_sharpe,pre_excess_over_market
evidence/cash_conversion_sleeve_path_v1/sleeve_path__base__50bps__breadth20.csv,117,71,0.11877185744672351,0.553082300504323,0.4097665137363206,1.77554716582205,-0.005817329095286761
evidence/cross_asset_crisis_trend_v1/weekly_paths.csv,115,66,0.12259282813789948,0.7868253965466835,0.8630436133490093,4.234475308486617,-0.00199635840411079
evidence/daily_ohlcv_alpha_zoo_v1/weekly_paths.csv,122,73,0.2180465939331281,1.1948114462151465,0.18154018163277708,1.3654431352751366,0.11920430059802108
evidence/formal_markov_regime_scaling_v1/primary_path.csv,1055,54,0.09736548723319195,0.707610464907296,0.2877430692593726,1.8643802044183062,-0.048170909198174586
evidence/full_history_out_of_sample_v1/path__cash_conversion_breadth20__adverse.csv,78,71,-0.03915885470684916,-0.17762837081568755,0.25871191316780484,1.0208179402680069,-0.17870893491319711
evidence/full_history_out_of_sample_v1/path__cash_conversion_breadth20__base.csv,78,71,0.025340637318966353,0.11836312790064223,0.36536955263670756,1.6363872258540784,-0.11420944288738161
evidence/full_history_out_of_sample_v1/path__equal_weight_broad__adverse.csv,78,71,-0.4517105770703149,-1.3073323270681079,0.11852184444624202,0.5656984824923752,-0.5912606572766629
evidence/full_history_out_of_sample_v1/path__equal_weight_broad__base.csv,78,71,0.07975417411807247,0.44668920078935165,0.35435975597015873,2.3578983881078552,-0.059795906088275494
evidence/full_history_out_of_sample_v1/path__equal_weight_narrow__adverse.csv,78,71,-0.10741405749560669,-0.43013462673476605,0.44303979911282904,2.276727094544115,-0.24696413770195463
evidence/full_history_out_of_sample_v1/path__equal_weight_narrow__base.csv,78,71,0.03260931193574607,0.14182667845853045,0.5066737167642925,2.7219498427197824,-0.1069407682706019
evidence/full_history_out_of_sample_v1/path__equal_weight_universe__adverse.csv,78,71,-0.10741405749560669,-0.43013462673476605,0.44303979911282904,2.276727094544115,-0.24696413770195463
evidence/full_history_out_of_sample_v1/path__equal_weight_universe__base.csv,78,71,0.03260931193574607,0.14182667845853045,0.5066737167642925,2.7219498427197824,-0.1069407682706019
evidence/full_history_out_of_sample_v1/path__growth_survivorship__adverse.csv,78,71,-0.1134710984925577,-0.3167189314268984,1.0653856598386515,2.7278693008726367,-0.25302117869890567
evidence/full_history_out_of_sample_v1/path__growth_survivorship__base.csv,78,71,-0.1134710984925577,-0.3167189314268984,1.0653856598386515,2.7278693008726367,-0.25302117869890567
evidence/full_history_out_of_sample_v1/path__residual_momentum_breadth20__adverse.csv,78,71,0.28130157037493264,0.8399981224648796,0.9151771934625127,2.693474968338909,0.14175149016858468
evidence/full_history_out_of_sample_v1/path__residual_momentum_breadth20__base.csv,78,71,0.28130157037493264,0.8399981224648796,0.9151771934625127,2.693474968338909,0.14175149016858468
evidence/ggg_execution_aware_batch_53/best_unqualified_candidate_weights.csv,1056,54,14.636794582511857,6.83825064973841,9.799876666454473,5.883311974057003,14.491258186080492
evidence/indonesia_dynamic_breadth_challenger_v1/20260822T094300Z-predeclared-v1/daily_paths.csv,1483,321,0.008419289972552481,0.09519828938134252,0.029080803481993635,0.21425287384164945,-0.13107118235509008
evidence/indonesia_fundamental_momentum_v1/20260822T231317Z-predeclared-v1/daily_paths.csv,533,321,0.007816797087876694,0.10838808912045775,-0.008657339511001012,-0.053266728421470066,-0.11677238945413358
evidence/indonesia_fundamental_momentum_v2/20260822T231615Z-predeclared-v2/daily_paths.csv,533,321,0.007816797087876694,0.10838808912045775,-0.008657339511001012,-0.053266728421470066,-0.11677238945413358
evidence/indonesia_fundamental_momentum_v2/20260822T231841Z-corrected-gates-v2/daily_paths.csv,533,321,0.007816797087876694,0.10838808912045775,-0.008657339511001012,-0.053266728421470066,-0.11677238945413358
evidence/indonesia_fundamental_momentum_v3/20260823T002914Z-quarterly-yoy-v3/daily_paths.csv,718,321,0.009136045080353615,0.12143146913984912,0.03864977593192786,0.33621806696620476,-0.04111559903607162
evidence/indonesia_multihorizon_momentum_challenger_v1/20260822T094300Z-predeclared-v1/daily_paths.csv,1483,321,0.008419289972552481,0.09519828938134252,0.029080803481993635,0.21425287384164945,-0.13107118235509008
evidence/indonesia_survival_diagnostic_extended_v1/20260822T094300Z-reconstructed-v1/daily_paths.csv,1483,321,0.009443766375513625,0.1056263008082185,0.048542062616011586,0.3511256711796456,-0.13004670595212894
evidence/indonesia_survival_diagnostic_extended_v1/20260822T094300Z-reconstructed-v1a/daily_paths.csv,1483,321,0.009443766375513625,0.1056263008082185,0.048542062616011586,0.3511256711796456,-0.13004670595212894
evidence/indonesia_survival_diagnostic_extended_v2/20260822T094300Z-inactive-repair-v2/daily_paths.csv,1483,321,0.008419289972552481,0.09519828938134252,0.029080803481993635,0.21425287384164945,-0.13107118235509008
evidence/indonesia_survival_diagnostic_extended_v2/20260822T094300Z-inactive-repair-v2b/daily_paths.csv,1483,321,0.008419289972552481,0.09519828938134252,0.029080803481993635,0.21425287384164945,-0.13107118235509008
evidence/indonesia_survival_diagnostic_v1/20260822T091430Z-preliminary-v1/daily_paths.csv,272,321,-0.018609551997931375,-0.23657656540916616,0.0485420676945299,0.3511257057229781,-0.08508761549389582
evidence/intraday_opening_range_breakout_v1/session_path__orb_breakout__2bps.csv,376,354,0.0029177824678962476,0.21320788452031023,-0.0007813837213644767,-0.038464898522097786,-0.1366322977384517
evidence/intraday_opening_range_breakout_v1/session_path__orb_long_only__2bps.csv,376,354,-0.0007260514445794771,-0.05535670325080079,0.000992352960322127,0.04060155039613104,-0.14027613165092745
evidence/intraday_opening_range_breakout_v1/session_path__orb_momentum__2bps.csv,376,354,-0.00958496397067926,-0.6915670722727719,-0.00640624729352706,-0.2559275245800732,-0.14913504417702722
evidence/online_strategy_aggregation_v1/weekly_paths.csv,115,66,0.07905202977446488,0.5099884156068905,0.7852509316618778,3.7883212572420013,-0.0455371567675454
