signal,horizon,window,cohorts,mean_ic,t_stat,p_value,share_positive
days_to_cover,4,select,108,-0.01990568923105998,-3.0457925408151736,0.0029223168721491826,0.4074074074074074
days_to_cover,4,evaluate,77,-0.03047115544217304,-3.290770712914897,0.0015166621294323216,0.3116883116883117
days_to_cover,13,select,108,-0.031211387529561832,-4.795195114443953,5.2799482888163414e-06,0.3425925925925926
days_to_cover,13,evaluate,73,-0.04351992958415507,-5.304048678393325,1.1932142885029127e-06,0.3013698630136986
short_interest_change,4,select,108,-0.0031489798360365795,-0.7842694317527399,0.4346148315335742,0.4537037037037037
short_interest_change,4,evaluate,77,0.002556245288437726,0.7782262801469656,0.4388517747388825,0.5844155844155844
short_interest_change,13,select,108,2.460983600822936e-06,0.0006252321968955153,0.9995023011064283,0.5185185185185185
short_interest_change,13,evaluate,73,0.003768766266655513,1.0530756486276112,0.29582764295202624,0.5068493150684932
short_to_volume,4,select,108,-0.019900041634686987,-3.035130724790894,0.0030190118201628637,0.4074074074074074
short_to_volume,4,evaluate,77,-0.03039680132393339,-3.276364713478676,0.0015859889263244,0.3116883116883117
short_to_volume,13,select,108,-0.031201531973329956,-4.783486077342657,5.539661490097419e-06,0.3425925925925926
short_to_volume,13,evaluate,73,-0.04345462944588005,-5.285421903703221,1.2839699677212493e-06,0.3150684931506849
