cik10,accession,filing_date,report_date,primary_document,form,prior_accession,prior_filing_date,has_year_over_year_pair,archive_url
0000002178,0000002178-18-000009,2018-03-12,2017-12-31,a2017form10-k.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/2178/000000217818000009/a2017form10-k.htm
0000002178,0000002178-19-000011,2019-03-11,2018-12-31,ae-20181231.htm,10-K,0000002178-18-000009,2018-03-12,True,https://www.sec.gov/Archives/edgar/data/2178/000000217819000011/ae-20181231.htm
0000002178,0000002178-20-000013,2020-03-06,2019-12-31,ae-20191231.htm,10-K,0000002178-19-000011,2019-03-11,True,https://www.sec.gov/Archives/edgar/data/2178/000000217820000013/ae-20191231.htm
0000002178,0000002178-21-000034,2021-03-05,2020-12-31,ae-20201231.htm,10-K,0000002178-20-000013,2020-03-06,True,https://www.sec.gov/Archives/edgar/data/2178/000000217821000034/ae-20201231.htm
0000002178,0000002178-22-000033,2022-03-09,2021-12-31,ae-20211231.htm,10-K,0000002178-21-000034,2021-03-05,True,https://www.sec.gov/Archives/edgar/data/2178/000000217822000033/ae-20211231.htm
0000002178,0000002178-23-000038,2023-03-16,2022-12-31,ae-20221231.htm,10-K,0000002178-22-000033,2022-03-09,True,https://www.sec.gov/Archives/edgar/data/2178/000000217823000038/ae-20221231.htm
0000002178,0000002178-24-000035,2024-03-13,2023-12-31,ae-20231231.htm,10-K,0000002178-23-000038,2023-03-16,True,https://www.sec.gov/Archives/edgar/data/2178/000000217824000035/ae-20231231.htm
0000002488,0000002488-18-000042,2018-02-27,2017-12-30,amd-12302017x10k.htm,10-K,,,False,https://www.sec.gov/Archives/edgar/data/2488/000000248818000042/amd-12302017x10k.htm
0000002488,0000002488-19-000011,2019-02-08,2018-12-29,amd-12292018x10k.htm,10-K,0000002488-18-000042,2018-02-27,True,https://www.sec.gov/Archives/edgar/data/2488/000000248819000011/amd-12292018x10k.htm
0000002488,0000002488-20-000008,2020-02-04,2019-12-28,amdform10-kfy2019.htm,10-K,0000002488-19-000011,2019-02-08,True,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/amdform10-kfy2019.htm
