bytes,cache_key,content_encoding,content_type,http_status,retrieved_at_utc,sha256,url
156762,submissions_0001510295,gzip,application/json,200,2026-08-13T06:47:12.094438+00:00,4fb668fd2dddaefe6efadd9b7783c90d87fd7a51e1e0f91923c5833854e5ce6d,https://data.sec.gov/submissions/CIK0001510295.json
4256473,companyfacts_0001510295,gzip,application/json,200,2026-08-13T06:47:13.219394+00:00,959e8816abb188a8475cc8bdaca0862c7fbe5e3bba650152fcb4f83ea821d849,https://data.sec.gov/api/xbrl/companyfacts/CIK0001510295.json
317553,submissions_0000107263_CIK0000107263-submissions-001,gzip,application/json,200,2026-08-13T06:47:17.961431+00:00,37aecf0ed580789201ecf23b509afb27e681bedcf60b32a6209cd5f452c649e6,https://data.sec.gov/submissions/CIK0000107263-submissions-001.json
50465,submissions_0000107263_CIK0000107263-submissions-002,gzip,application/json,200,2026-08-13T06:47:18.450615+00:00,e76aec4decef92b0d3d59b5c4ef64aabc11df68f5be6a521d8e026081eee80e9,https://data.sec.gov/submissions/CIK0000107263-submissions-002.json
159757,submissions_0000107263,gzip,application/json,200,2026-08-13T06:47:17.340687+00:00,f6fcff795e33b71d9c9a6fac9beec9974651335c98b386c2f79d3e9cf2edddc7,https://data.sec.gov/submissions/CIK0000107263.json
4891102,companyfacts_0000107263,gzip,application/json,200,2026-08-13T06:47:22.358955+00:00,23d9ec196a95c65fc8e1fe8dc6b893b6e67c127dcf5f98076da2c11fe2aaacac,https://data.sec.gov/api/xbrl/companyfacts/CIK0000107263.json
44263,submissions_0001534701_CIK0001534701-submissions-001,gzip,application/json,200,2026-08-13T06:47:23.859329+00:00,a222facd924f2401cf310ad500186db6f318702022c010435eec3464fb26607d,https://data.sec.gov/submissions/CIK0001534701-submissions-001.json
163322,submissions_0001534701,gzip,application/json,200,2026-08-13T06:47:23.292442+00:00,a0176911dbf092e28641e90728de5ef2f55b129075e8b71fbedc3ce946132def,https://data.sec.gov/submissions/CIK0001534701.json
3678031,companyfacts_0001534701,gzip,application/json,200,2026-08-13T06:47:24.721543+00:00,3028219aae0a803439eec9cf0b3d541801320ce121e9d404858405ee31de09e6,https://data.sec.gov/api/xbrl/companyfacts/CIK0001534701.json
251608,submissions_0000087347_CIK0000087347-submissions-001,gzip,application/json,200,2026-08-13T06:47:25.835255+00:00,3011268613cbd39184d83b66fcf2fd9c379418c71988f7bfbc34581e4c7bbe13,https://data.sec.gov/submissions/CIK0000087347-submissions-001.json
159385,submissions_0000087347,gzip,application/json,200,2026-08-13T06:47:25.417619+00:00,90e20e7df11d006c1e40915aaf87ce640ee1a7d4dd65930048243fcc4d124e5b,https://data.sec.gov/submissions/CIK0000087347.json
3892557,companyfacts_0000087347,gzip,application/json,200,2026-08-13T06:47:26.632074+00:00,50de683a74f113fec001e81d22c656dd012f5fe8ab44e7e7494ee02f88e1cbc8,https://data.sec.gov/api/xbrl/companyfacts/CIK0000087347.json
