portfolio,stock_breadth_source,survivorship_bias_flag,point_in_time_safe,production_usable,research_only_usable,candidate_relies_on_survivorship_biased_data,reason
improved_phase5_stock_breadth_neutral_risk_on,none,NO_STOCK_PANEL_BUILT,False,False,False,False,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
improved_phase5_broad_stock_bull_aggressive,none,NO_STOCK_PANEL_BUILT,False,False,False,False,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
improved_phase5_narrow_bull_caution_overlay,none,NO_STOCK_PANEL_BUILT,False,False,False,False,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
improved_phase5_recovery_stock_breadth_rerisk,none,NO_STOCK_PANEL_BUILT,False,False,False,False,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
improved_phase5_stock_breadth_aggression_score,none,NO_STOCK_PANEL_BUILT,False,False,False,False,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP
