signal,data_source,state,asset_or_portfolio,active_weeks,inactive_weeks,active_ann_return,inactive_ann_return,same_state_active_minus_inactive
etf_broad_bull_baseline,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,stressed_panic,SPY,0,229,,-0.04918227863587055,
etf_broad_bull_baseline,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,stressed_panic,QQQ,0,229,,-0.011997103187572855,
etf_broad_bull_baseline,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,stressed_panic,ggg1,0,229,,0.035802805834722395,
etf_broad_bull_baseline,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,stressed_panic,phase4b_best,0,229,,0.03817355921349175,
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,calm_trend,SPY,262,33,0.1925388182473169,-0.0045812334676789135,0.1971200517149958
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,calm_trend,QQQ,262,33,0.22046814975044637,0.1902438906121231,0.030224259138323273
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,calm_trend,ggg1,262,33,0.03484400830661549,0.08979235441734645,-0.05494834611073096
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,calm_trend,phase4b_best,262,33,0.03714738522192662,0.09881443558504732,-0.0616670503631207
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,neutral_mixed,SPY,228,265,0.2081026899382783,-0.00880746105309882,0.21691015099137712
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,neutral_mixed,QQQ,228,265,0.2247390831832239,-0.0038245606062615733,0.22856364378948546
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,neutral_mixed,ggg1,228,265,0.10622781378851798,0.11720029693596934,-0.010972483147451362
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,neutral_mixed,phase4b_best,228,265,0.10610059650587411,0.13348251858179805,-0.027381922075923937
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_confirmed,SPY,38,6,0.40958321599631775,0.3469633953320945,0.06261982066422322
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_confirmed,QQQ,38,6,0.5608038847883825,0.15273182272779473,0.40807206206058777
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_confirmed,ggg1,38,6,0.07926101455520085,-0.2569314863719755,0.33619250092717634
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_confirmed,phase4b_best,38,6,0.10195134150007368,-0.26027449678993975,0.3622258382900134
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_fragile,SPY,0,49,,0.5390383307201942,
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_fragile,QQQ,0,49,,0.9955957764418057,
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_fragile,ggg1,0,49,,0.0666705276141002,
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_fragile,phase4b_best,0,49,,0.07713379897162476,
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,stressed_panic,SPY,0,229,,-0.04918227863587055,
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,stressed_panic,QQQ,0,229,,-0.011997103187572855,
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,stressed_panic,ggg1,0,229,,0.035802805834722395,
phase4b_high_quality_sector_bull,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,stressed_panic,phase4b_best,0,229,,0.03817355921349175,
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,calm_trend,SPY,278,17,0.17728576929253648,0.036520889463666606,0.14076487982886987
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,calm_trend,QQQ,278,17,0.21890595231101662,0.18708673249629748,0.031819219814719135
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,calm_trend,ggg1,278,17,0.037697130786444655,0.0937983945060723,-0.05610126371962765
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,calm_trend,phase4b_best,278,17,0.03977728478942,0.11313272790618023,-0.07335544311676023
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,neutral_mixed,SPY,242,251,0.24707911130722482,-0.049403547135635106,0.2964826584428599
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,neutral_mixed,QQQ,242,251,0.2902286010981139,-0.06370426052625033,0.3539328616243642
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,neutral_mixed,ggg1,242,251,0.11823377532182033,0.10624212778708952,0.01199164753473081
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,neutral_mixed,phase4b_best,242,251,0.12066911641296207,0.12080013855565541,-0.00013102214269333778
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_confirmed,SPY,40,4,0.4357619364457128,0.09539605938753049,0.34036587705818233
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_confirmed,QQQ,40,4,0.5502529203508206,0.06017130967311801,0.4900816106777026
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_confirmed,ggg1,40,4,0.05624948060494073,-0.23514368639899552,0.29139316700393625
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_confirmed,phase4b_best,40,4,0.07505627343247978,-0.2240443851894689,0.2991006586219487
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_fragile,SPY,0,49,,0.5390383307201942,
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_fragile,QQQ,0,49,,0.9955957764418057,
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_fragile,ggg1,0,49,,0.0666705276141002,
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,recovery_fragile,phase4b_best,0,49,,0.07713379897162476,
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,stressed_panic,SPY,0,229,,-0.04918227863587055,
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,stressed_panic,QQQ,0,229,,-0.011997103187572855,
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,stressed_panic,ggg1,0,229,,0.035802805834722395,
phase4b_sector_quality_score_high,ETF_OR_PHASE4B_BASELINE_NOT_STOCK_BREADTH,stressed_panic,phase4b_best,0,229,,0.03817355921349175,
