portfolio,classification,reason,stock_breadth_source,point_in_time_safe,survivorship_bias_acceptable,candidate_artifacts_built
improved_phase5_stock_breadth_neutral_risk_on,DATA_ONLY_NO_PORTFOLIO_BUILD,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP,none,False,False,False
improved_phase5_broad_stock_bull_aggressive,DATA_ONLY_NO_PORTFOLIO_BUILD,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP,none,False,False,False
improved_phase5_narrow_bull_caution_overlay,DATA_ONLY_NO_PORTFOLIO_BUILD,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP,none,False,False,False
improved_phase5_recovery_stock_breadth_rerisk,DATA_ONLY_NO_PORTFOLIO_BUILD,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP,none,False,False,False
improved_phase5_stock_breadth_aggression_score,DATA_ONLY_NO_PORTFOLIO_BUILD,NOT_BUILT_NO_LOCAL_STOCK_PRICES_OR_POINT_IN_TIME_MEMBERSHIP,none,False,False,False
