portfolio,window,beta_spy,corr_spy,beta_qqq,corr_qqq
ggg1,full,-0.030808384689267134,-0.07097588500320907,-0.02395124373688742,-0.062377358702311744
ggg1,holdout_2016,-0.057484156000998626,-0.12240452876171545,-0.039101873131258576,-0.09880384002699463
ggg1,holdout_2020,-0.06529614534347208,-0.14285478278365102,-0.04529804916833187,-0.11587239618323468
ggg1,holdout_2021,-0.03434889148092001,-0.07259397150617446,-0.02541309102428167,-0.06990515813695006
ggg1,bear_2022,0.01200251770930911,0.04523635834710798,0.011877935929891593,0.05550169522281806
ggg1,recovery_2023,-0.07028076603772007,-0.12568759367824078,-0.054235037255806445,-0.12839947822625863
phase2_best,full,-0.03206515527336619,-0.07163639109120822,-0.02504190620962118,-0.06324479058582588
phase2_best,holdout_2016,-0.059532376156410785,-0.12253457751891345,-0.040705807871251394,-0.09942343270468308
phase2_best,holdout_2020,-0.06735907524788941,-0.14217305783666226,-0.04687825392795243,-0.11568734743727267
phase2_best,holdout_2021,-0.03633856891312074,-0.07434216118427026,-0.026774107223269127,-0.07129289661489008
phase2_best,bear_2022,0.013463188309039862,0.048233425572667556,0.013518018395052601,0.06004311420134557
phase2_best,recovery_2023,-0.07549294651083444,-0.13002436524170322,-0.05814536183933573,-0.13257475536650049
phase3_best,full,-0.030417554430588082,-0.0710127035585599,-0.023665932623889715,-0.06245862222047566
phase3_best,holdout_2016,-0.05678114067168937,-0.12163167540433358,-0.038745457958326825,-0.09848958539098673
phase3_best,holdout_2020,-0.0649372906150219,-0.141867844910995,-0.04491139193820714,-0.11472011415426808
phase3_best,holdout_2021,-0.03255823071174102,-0.0692812707709378,-0.024162030035244336,-0.06691945083048882
phase3_best,bear_2022,0.011660330123906847,0.044545390389272306,0.011598018001848336,0.05493203539989326
phase3_best,recovery_2023,-0.06528772365131878,-0.11785496374516333,-0.05167773686369679,-0.1234943899856665
phase4_best,full,-0.03513823775663158,-0.07509878679020485,-0.027153523739341306,-0.06560488268098
phase4_best,holdout_2016,-0.06317407575732557,-0.1248463627604301,-0.04428473214333813,-0.103852738787349
phase4_best,holdout_2020,-0.07142165985404755,-0.14279360062711066,-0.04976807425231952,-0.11633834735573578
phase4_best,holdout_2021,-0.043178561513456226,-0.08455630705009083,-0.03221506236926984,-0.08211088132646222
phase4_best,bear_2022,0.01937058497394147,0.07132107009327496,0.017059308637031693,0.07787293269972258
