version,state,n_weeks,avg_composite_regime_offense_component,avg_composite_regime_defense_component,avg_composite_regime_cash_component,avg_dual_momentum_topn,avg_cta_trend_long_only,avg_composite_selective_signals,avg_taa_10m_sma,avg_offensive_total,avg_defensive_total
improved_phaseddd_confirmed_harder_dual_cap,recovery_confirmed,44,0.23156788088515665,0.21110785888883513,,0.06441157869075999,0.1686291797050179,0.12484313802739723,0.11287346212080762,0.5894517773083318,0.32398132100964266
improved_phaseddd_confirmed_near_exclude_dual,recovery_confirmed,44,0.2417115689915078,0.21081645656567458,,0.048980483954088556,0.1729527811822794,0.12473531990251797,0.11272305977325513,0.5883801540303938,0.3235395163389297
improved_phaseddd_confirmed_dual_hard_css_soft,recovery_confirmed,44,0.2457680633018156,0.21099990563995366,,0.060538642942281534,0.1715200253317059,0.11129318960666211,0.11281779592811826,0.5891199211824653,0.32381770156807194
improved_phaseddd_confirmed_defensive_balanced_substitution,recovery_confirmed,44,0.22671547027940112,0.21661741958888536,,0.0678984919406417,0.1669982377219328,0.12377321438819884,0.11304979843334989,0.5853854143301743,0.3296672180222352
improved_phase2b_regime_confidence_boost,recovery_confirmed,44,,,,0.08777399532253198,0.1083563731050289,0.23107260197421772,0.17788775316154726,0.42720297040177857,0.17788775316154726
improved_phase2b_combo_abc,recovery_confirmed,44,,,,0.08779848956334353,0.1081063120110589,0.23081316339815208,0.17787439077091516,0.42671796497255454,0.17787439077091516
improved_phaseyy_conservative_decomposition,recovery_confirmed,44,0.1356173140977424,0.2287883449137622,,0.10831920281211306,0.13475949447715255,0.17664766169620894,0.14300095754871245,0.5553436730832169,0.37178930246247466
improved_phasezz_recovery_neutral_offense_rebudget,recovery_confirmed,44,0.16361945524564667,0.20104487419718764,,0.1144268320211831,0.14316123821906543,0.17345479352198653,0.12551954293959455,0.5946623190078818,0.3265644171367822
improved_phaseaaa_confirmed_offense_mix_tilt,recovery_confirmed,44,0.17471365321490478,0.20065344970575402,,0.10704957242768627,0.16701676508193236,0.14482029627063778,0.12526633058462805,0.5936002869951612,0.325919780290382
improved_phasebbb_offense_defense_composition_combo,recovery_confirmed,44,0.21295663332269713,0.21178584174669088,,0.09303264249665451,0.16075407523347277,0.1250943310110044,0.11322351983732398,0.5918376820638288,0.32500936158401483
improved_phaseccc_confirmed_cap_dual,recovery_confirmed,44,0.21838003079182847,0.21147533235597968,,0.0837924280274026,0.16365368097535896,0.12497912970081272,0.1130631364935227,0.5908052694954029,0.3245384688495023
