variant,decision_date,realization_date,cost_bps,annual_borrow_fee,long_exposure,short_exposure,invested_weight,turnover,gross_return,trading_cost,borrow_cost,net_return
normalized_unconfirmed,2005-01-05,2005-01-06,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-01-06,2005-01-07,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-01-07,2005-01-10,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-01-10,2005-01-11,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-01-11,2005-01-12,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-01-12,2005-01-13,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-01-13,2005-01-14,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-01-14,2005-01-18,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-01-18,2005-01-19,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-01-19,2005-01-20,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-01-20,2005-01-21,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-01-21,2005-01-24,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-01-24,2005-01-25,50,0.03,0,0.2,0.2,0.2,-6.4662202643e-05,0.001,2.38095238095e-05,-0.00108847172645
normalized_unconfirmed,2005-01-25,2005-01-26,50,0.03,0,0.2,0.2,7.75996609366e-05,-0.00241763430174,3.87998304683e-07,2.38095238095e-05,-0.00244183182385
normalized_unconfirmed,2005-01-26,2005-01-27,50,0.03,0,0.2,0.2,0.00290819210708,-0.000293722344523,1.45409605354e-05,2.38095238095e-05,-0.000332072828868
normalized_unconfirmed,2005-01-27,2005-01-28,50,0.03,0,0.2,0.2,0.000352570371224,0.000446456218119,1.76285185612e-06,2.38095238095e-05,0.000420883842453
normalized_unconfirmed,2005-01-28,2005-01-31,50,0.03,0,0.2,0.2,0.000535508380696,-0.000958733111716,2.67754190348e-06,2.38095238095e-05,-0.000985220177429
normalized_unconfirmed,2005-01-31,2005-02-01,50,0.03,0,0.2,0.2,0.00115158379557,-0.00124686716919,5.75791897787e-06,2.38095238095e-05,-0.00127643461198
normalized_unconfirmed,2005-02-01,2005-02-02,50,0.03,0,0.2,0.2,0.00149810854539,-0.000278212910824,7.49054272696e-06,2.38095238095e-05,-0.00030951297736
normalized_unconfirmed,2005-02-02,2005-02-03,50,0.03,0,0,0,0.200333948402,0,0.00100166974201,0,-0.00100166974201
normalized_unconfirmed,2005-02-03,2005-02-04,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-02-04,2005-02-07,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-02-07,2005-02-08,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-02-08,2005-02-09,50,0.03,0,0,0,0,0,0,0,0
normalized_unconfirmed,2005-02-09,2005-02-10,50,0.03,0,0,0,0,0,0,0,0
