variant,scenario,cost_bps,annual_borrow_fee,full_observations,full_years,full_total_return,full_annual_return,full_annual_volatility,full_sharpe_zero_rf,full_sortino_zero_target,full_max_drawdown,full_max_drawdown_duration_weeks,full_calmar,full_cvar_5_weekly,full_positive_week_share,full_worst_week,full_best_week,full_annual_turnover,full_mean_invested_weight,oos_2016_2020_observations,oos_2016_2020_years,oos_2016_2020_total_return,oos_2016_2020_annual_return,oos_2016_2020_annual_volatility,oos_2016_2020_sharpe_zero_rf,oos_2016_2020_sortino_zero_target,oos_2016_2020_max_drawdown,oos_2016_2020_max_drawdown_duration_weeks,oos_2016_2020_calmar,oos_2016_2020_cvar_5_weekly,oos_2016_2020_positive_week_share,oos_2016_2020_worst_week,oos_2016_2020_best_week,oos_2016_2020_annual_turnover,oos_2016_2020_mean_invested_weight,oos_2021_present_observations,oos_2021_present_years,oos_2021_present_total_return,oos_2021_present_annual_return,oos_2021_present_annual_volatility,oos_2021_present_sharpe_zero_rf,oos_2021_present_sortino_zero_target,oos_2021_present_max_drawdown,oos_2021_present_max_drawdown_duration_weeks,oos_2021_present_calmar,oos_2021_present_cvar_5_weekly,oos_2021_present_positive_week_share,oos_2021_present_worst_week,oos_2021_present_best_week,oos_2021_present_annual_turnover,oos_2021_present_mean_invested_weight
source_causal_confirmed,low_10bps_borrow3,10,0.03,1120,21.5384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_causal_confirmed,primary_50bps_borrow3,50,0.03,1120,21.5384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_causal_confirmed,stress_100bps_borrow8,100,0.08,1120,21.5384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_causal_confirmed_stale_1d,low_10bps_borrow3,10,0.03,1120,21.5384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_causal_confirmed_stale_1d,primary_50bps_borrow3,50,0.03,1120,21.5384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_causal_confirmed_stale_1d,stress_100bps_borrow8,100,0.08,1120,21.5384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_causal_confirmed_stale_5d,low_10bps_borrow3,10,0.03,1120,21.5384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_causal_confirmed_stale_5d,primary_50bps_borrow3,50,0.03,1120,21.5384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_causal_confirmed_stale_5d,stress_100bps_borrow8,100,0.08,1120,21.5384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
source_causal_confirmed_inverted,low_10bps_borrow3,10,0.03,1120,21.5384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,5.01923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,5.63461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
