entry_id,name,repository,expected_commit,actual_commit,planned_environment,status,elapsed_seconds,file_count,tracked_file_count,repository_kb,submodule_count,dependency_manifest_count,test_indicator_count,container_image,error
ast-0019,the0,alexanderwanyoike/the0,1013c764173fd2d285356d99f07e5bc793588a69,1013c764173fd2d285356d99f07e5bc793588a69,dotnet_container,passed,2,1002,977,11100,0,42,22,docker.io/alpine/git:2.49.1,
ast-0020,aat,AsyncAlgoTrading/aat,c4a07d4102a811c779957033aa26a598c1795cdb,c4a07d4102a811c779957033aa26a598c1795cdb,native_build_container,passed,3,324,294,15608,0,6,9,docker.io/alpine/git:2.49.1,
ast-0021,barter-rs,barter-rs/barter-rs,33e56188e2095781331f85aa3d7f88e251eec65a,33e56188e2095781331f85aa3d7f88e251eec65a,rust_container,passed,1,311,286,19248,0,7,2,docker.io/alpine/git:2.49.1,
ast-0022,bt,pmorissette/bt,bd5650ad213760907ec38311c5c9468819084196,bd5650ad213760907ec38311c5c9468819084196,python_container,passed,1,232,215,22296,0,3,7,docker.io/alpine/git:2.49.1,
ast-0028,QuantFabric,QuantFabric/QuantFabric,9f5f50c71aca45f80a0e370a739202d6cfb11019,9f5f50c71aca45f80a0e370a739202d6cfb11019,python_container,passed,2,170,76,11828,11,1,0,docker.io/alpine/git:2.49.1,
ast-0030,Hikyuu,fasiondog/hikyuu,7e1a61d98cf4efa5dbac5a4feab749e28dbe5b95,7e1a61d98cf4efa5dbac5a4feab749e28dbe5b95,native_build_container,passed,5,1971,1946,137284,0,7,27,docker.io/alpine/git:2.49.1,
ast-0031,Investing Algorithm Framework,coding-kitties/investing-algorithm-framework,b14ad175e178391fa42831958bf1dcd42cbb3227,b14ad175e178391fa42831958bf1dcd42cbb3227,python_container,passed,6,1379,1354,432060,0,4,121,docker.io/alpine/git:2.49.1,
ast-0035,QuantConnect,QuantConnect/Lean,c6cc3b743ed7b65d5e0b9fa2bfc18b7d3ac2aea0,c6cc3b743ed7b65d5e0b9fa2bfc18b7d3ac2aea0,dotnet_container,passed,45,6285,6260,509712,0,29,543,docker.io/alpine/git:2.49.1,
ast-0036,QUANTAXIS,yutiansut/QUANTAXIS,a69e978a2e38d045a64c380cc3b5c9fa08fa4903,a69e978a2e38d045a64c380cc3b5c9fa08fa4903,rust_container,passed,1,598,573,13964,0,22,4,docker.io/alpine/git:2.49.1,
ast-0039,qf-lib,quarkfin/qf-lib,6dd04a433e0a2a51766a79ab301a1ecc4ffeeb42,6dd04a433e0a2a51766a79ab301a1ecc4ffeeb42,python_container,passed,7,909,878,137224,0,4,7,docker.io/alpine/git:2.49.1,
ast-0041,vnpy,vnpy/vnpy,fa5206fe63836f3f8cd1ebd7168fbd19a5e2ff09,fa5206fe63836f3f8cd1ebd7168fbd19a5e2ff09,python_container,passed,3,221,196,56484,0,1,6,docker.io/alpine/git:2.49.1,
ast-0043,zvt,zvtvz/zvt,8509990e6608750d0c08fa748682cc997d2813cc,8509990e6608750d0c08fa748682cc997d2813cc,python_container,passed,2,605,580,39952,0,5,46,docker.io/alpine/git:2.49.1,
ast-0046,hftbacktest,nkaz001/hftbacktest,5f3ec40b2afb764e0fea112f941ed85523ef4e88,5f3ec40b2afb764e0fea112f941ed85523ef4e88,rust_container,passed,8,255,232,133972,0,9,2,docker.io/alpine/git:2.49.1,
ast-0047,flashalpha-fill-simulator,FlashAlpha-lab/flashalpha-fill-simulator,e75838081d4e1adc3579fca834bdefe60fb25547,e75838081d4e1adc3579fca834bdefe60fb25547,python_container,passed,1,105,35,556,0,1,15,docker.io/alpine/git:2.49.1,
ast-0048,Cipher,nanvel/cipher-bt,d4616add46bf1c89f97ac164578dc27b4291f792,d4616add46bf1c89f97ac164578dc27b4291f792,python_container,passed,2,168,143,7160,0,2,61,docker.io/alpine/git:2.49.1,
ast-0050,PythonTradingFramework,JustinGuese/python_tradingbot_framework,643f1a59fc0beb69fa8032be49e543b23c74c67d,643f1a59fc0beb69fa8032be49e543b23c74c67d,python_container,passed,1,183,158,12240,0,5,9,docker.io/alpine/git:2.49.1,
ast-0051,Tradingview Screener API,jmargieh/tradingview-screener,b3db2009de8f85bc3ccdaa9d9365f1d7ddff55f1,b3db2009de8f85bc3ccdaa9d9365f1d7ddff55f1,node_container,passed,1,135,110,18468,0,1,13,docker.io/alpine/git:2.49.1,
ast-0055,finmarketpy,cuemacro/finmarketpy,afeaef28f5c8b78e613e649ecf18a9653dbf41fd,afeaef28f5c8b78e613e649ecf18a9653dbf41fd,python_container,passed,1,136,111,5680,0,3,5,docker.io/alpine/git:2.49.1,
