Date,source_return,exposure,exposure_turnover,turnover,financing_cost,exposure_cost,net_return,wealth,drawdown
2023-01-06,-0.005497500000000044,1.25,0.25,0.25,5.9523809523809524e-05,0.000625,-0.007556398809523864,0.9924436011904761,-0.0075563988095238566
2023-01-09,0.006055525345331159,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.007509882872140139,0.9998967363926214,-0.00010326360737855644
2023-01-10,0.006266780561649865,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.007773951892538522,1.007669885518844,0.0
2023-01-11,0.01142158538571092,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.01421745792261484,1.0219963897160942,0.0
2023-01-12,0.013476358013753353,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.016785923707667884,1.0391515431433807,0.0
2023-01-13,0.002466046673659017,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.0030230345325499616,1.0422929341428557,0.0
2023-01-17,0.00634201234814924,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.00786799162566274,1.0504936862201792,0.0
2023-01-18,-0.015954654217052555,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.020002841580839502,1.029480827433045,-0.020002841580839426
2023-01-19,-0.005319613029030945,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.006709040095812491,1.0225739992839264,-0.026577681810455833
2023-01-20,0.020575803272971926,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.0256602302816911,1.0488134835856218,-0.0015994409643746987
2023-01-23,0.016756120666718166,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.0208856270238739,1.070718610821401,0.0
2023-01-24,-0.005997264183565054,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.007556104038980127,1.0626281496015624,-0.007556104038979994
2023-01-25,-0.0037525810118996805,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.00475025007439841,1.0575804001548597,-0.012270460729605137
2023-01-26,0.023028968657321736,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.02872668701212836,1.0879611813002696,0.0
2023-01-27,-0.006002135218358795,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.0075621928324723035,1.0797338090530326,-0.007562192832472281
2023-01-30,-0.01380407959519292,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.017314623303514957,1.06103862488121,-0.02474587961574448
2023-01-31,0.011266462324514448,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.01402355409611925,1.0759181574353038,-0.011069350701072511
2023-02-01,0.02044897519925515,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.025501695189545127,1.1033558943351158,0.0
2023-02-02,0.017553732519451692,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.021882641839790808,1.1275002361926734,0.0
2023-02-03,-0.012648202487027804,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.015869776918308563,1.1096070589689553,-0.01586977691830871
2023-02-06,-0.012696128824120745,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.01592968483967474,1.0919313682237015,-0.03154666121319871
2023-02-07,0.019677467043990315,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.024537309995464086,1.1187244266995777,-0.007783421423244841
2023-02-08,-0.00897282465057192,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.01127555462273871,1.1061101883185347,-0.018971213652573815
2023-02-09,-0.003859003428981156,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.0048832780957502545,1.1007087446644326,-0.023761850036244647
2023-02-10,-0.0039244528618752605,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.004965089886867885,1.0952436268079122,-0.028608960201804368
2023-02-13,0.01392820356701363,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.01735073064924323,1.1142469039719567,-0.011754615915177347
2023-02-14,0.004004953206435902,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.0049466676985210675,1.1197587131400117,-0.006866094395512556
2023-02-15,0.0028271304559908117,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.003474389260464705,1.1236491907872572,-0.0034155606196769606
2023-02-16,-0.015953301853541046,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.020001151126450116,1.101174913509208,-0.023348396601991284
2023-02-17,-0.008209647616294391,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.010321583329891798,1.0898090448786364,-0.0334289875107362
2023-02-21,-0.019116098597958597,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.023954647056972055,1.0637030538490728,-0.056582854970416596
2023-02-22,-0.0020357128129466773,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.0026041648257071563,1.060932995771242,-0.059039668715471616
2023-02-23,0.012360871308000565,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.015391565325476897,1.0772624152816088,-0.04455681630782349
2023-02-24,-0.01557788651501757,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.01953188195329577,1.056221452953606,-0.06321841978478027
2023-02-27,0.008087554357518734,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.010049919137374607,1.0668363931469502,-0.05380384065423516
2023-02-28,-0.005699738471097726,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.007184196898395967,1.059172030440208,-0.060601500167481226
2023-03-01,-0.0015883628203831046,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.0020449773350026904,1.057006047644089,-0.0625225488081742
2023-03-02,0.007463088635583093,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.009269336984955056,1.0668037928948375,-0.05383275439728041
2023-03-03,0.019210197187387257,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.023953222674710263,1.0923571816962732,-0.03116899967584108
2023-03-06,0.0020740678561841364,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.002533061010706361,1.095124189082993,-0.028714891642956375
2023-03-07,-0.013814414728609226,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.01732754222028534,1.0761483784602017,-0.045544875365947424
2023-03-08,0.003489506542083687,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.004302359368080799,1.080778355517715,-0.041438466419065345
2023-03-09,-0.012848427722733535,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.016120058462940727,1.0633561452412885,-0.05689053438071612
2023-03-10,-0.017981495797356195,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.022536393556219052,1.0393919326617067,-0.07814482046450788
2023-03-13,0.00026217052106747296,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.00026818934181053165,1.0396706865000105,-0.07789758873066355
2023-03-14,0.018250158546845974,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.02275317437403366,1.0633264949215164,-0.05691683177633555
2023-03-15,-0.012661514268863305,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.01588641664560294,1.0464340471928846,-0.07189904391819191
2023-03-16,0.02244833545602032,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.02800089551050159,1.0757351376069637,-0.04591138602374867
2023-03-17,-0.008036613025400263,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.010105290091274139,1.0648645219800685,-0.05555272824076052
2023-03-20,0.007789069659383641,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.009676813264705741,1.0751690171114798,-0.0464134883535855
2023-03-21,0.015016067196881533,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.018710560186578108,1.0952860317168882,-0.028571350534316142
2023-03-22,-0.009779848690788406,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.012284334673009318,1.0818311715406057,-0.040504705175302025
2023-03-23,0.010132642224395694,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.012606278970970808,1.095469037088539,-0.028409039817407833
2023-03-24,-0.003996953671548176,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.005055715898959029,1.089930656860913,-0.03332112768208784
2023-03-27,0.001206710963486124,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.0014488648948338455,1.0915098191274422,-0.03192054059940874
2023-03-28,-0.005835429335450115,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.007353810478836454,1.08348306278179,-0.03903961347229512
2023-03-29,0.01740500535770262,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.021696732887604465,1.1069911053832102,-0.018189912650234175
2023-03-30,0.009864843462918493,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.012271530519124307,1.1205755805173194,-0.006141600199337405
2023-03-31,0.01846950776712286,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.02302736089937977,1.1463794788249237,0.0
2023-04-03,-0.0001948573270886822,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.0003030954683846623,1.1460320163998428,-0.00030309546838469537
2023-04-04,-0.004460308544491087,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.005634909490137669,1.1395742297146296,-0.0059362970429911455
2023-04-05,-0.013990735780491037,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.017547943535137604,1.1195770454774994,-0.02338007077281057
2023-04-06,0.0024754120962870996,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.003034741310835065,1.1229746721880727,-0.0204162819285999
2023-04-10,0.0012009836514996763,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.001441705754850786,1.124593671235518,-0.01900401044489819
2023-04-11,-0.007332965574998518,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.009225730778271957,1.1142184727897506,-0.028054415339098027
2023-04-12,-0.0035048922219261813,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.004440639086931536,1.1092706306880993,-0.03237047489271372
2023-04-13,0.018361823510367303,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.02289275557843532,1.1346648921067788,-0.010218768683955104
2023-04-14,-0.005978738868308464,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.00753294739490939,1.1261175211636878,-0.01767473863192759
2023-04-17,0.0057544432370242315,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.00713353023675648,1.1341507145510503,-0.010667291677628699
2023-04-18,0.0039001847503070675,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.004815707128360025,1.1396124522317486,-0.005902955101840801
2023-04-19,-0.005884729874080286,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.007415436152124167,1.1311617288540583,-0.013274618267298477
2023-04-20,-0.005325981763857235,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.006717001014345353,1.123563714373957,-0.019902453657277275
2023-04-21,-0.004399295670065473,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.005558643397105651,1.1173182243518247,-0.02535046641177474
2023-04-24,-0.0038822793214882134,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.004912372961384076,1.1118295405172571,-0.030138308427399174
2023-04-25,-0.01945977723900938,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.024384245358285532,1.0847184162046946,-0.053787653878307196
2023-04-26,0.006274829199878651,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.007784012690324504,1.0931618781218606,-0.04642232496835419
2023-04-27,0.017581023808670215,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.02191675595131396,1.1171204402199375,-0.02552299578406425
2023-04-28,0.007150674313987304,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.00887881908296032,1.1270391505025272,-0.01687079076312581
2023-05-01,-0.0007226403804220238,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.0009628242850513393,1.1259540098382197,-0.017817371441122498
2023-05-02,-0.007823893850452346,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.009839391122589242,1.1148753079493738,-0.027481450477325975
2023-05-03,-0.004035001622224255,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.005103275837304128,1.109185791728709,-0.03244448089243501
2023-05-04,0.0026554786998798097,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.0032598245653259524,1.1128015428200966,-0.029290419642931553
2023-05-05,0.012166188274311152,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.01514821153336513,1.1296584959853906,-0.014585905582218506
2023-05-08,-0.0007543378887792107,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.0010024461704978228,1.1285260741521197,-0.01557373016752217
2023-05-09,-0.005156488661829051,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.006505134636810123,1.1211848600986094,-0.02197755559279524
2023-05-10,0.009708550765726631,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.01207616464763448,1.1347244730695951,-0.010166795525051953
2023-05-11,-0.007605525960027282,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.009566431259557912,1.1238692093994367,-0.019635966834089524
2023-05-12,0.0005680076747345275,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.0006504857838943498,1.1246002703431075,-0.0189982539674739
2023-05-15,0.0070473608391834475,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.0087496772394555,1.1344401597320142,-0.010414805318346931
2023-05-16,-0.003885603499457657,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.004916528183845881,1.128862652713805,-0.015280128818315974
2023-05-17,0.011091592904695302,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.013804967321345318,1.1444465647448063,-0.0016861031759733969
2023-05-18,0.014521188519043715,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.018091961839280836,1.1651518483212653,0.0
2023-05-19,0.000694991572534498,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.0008092156561443129,1.1660947074387125,0.0
2023-05-22,0.002704395295781037,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.0033209703102024864,1.1699672733410005,0.0
2023-05-23,-0.01113690161511105,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.013980650828412622,1.1536103694117499,-0.01398065082841271
2023-05-24,-0.00692419837678393,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.008714771780503722,1.143556918318704,-0.02257358442760382
2023-05-25,0.02288687656354016,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.02854907189490139,1.1762044069956965,0.0
2023-05-26,0.02056569158255872,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.025647590668674593,1.2063712161690132,0.0
2023-05-30,0.004224906348406776,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.0052216091259846605,1.2126704151206866,0.0
2023-05-31,-0.005595773697459117,1.25,0.0,0.0,5.9523809523809524e-05,0.0,-0.007054240931347705,1.204115945842108,-0.007054240931347544
2023-06-01,0.009991452470163864,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.01242979177818102,1.219082856325713,0.0
2023-06-02,0.00917026573934443,1.25,0.0,0.0,5.9523809523809524e-05,0.0,0.011403308364656728,1.2329844340584617,0.0
