Date,net_return,wealth,turnover,cost,cash_conversion_target,drawdown
2023-01-06,-0.005497500000000044,0.9945025,0.0,0.0,0.0,0.0
2023-01-09,0.006055525345331159,1.0005247350947453,0.0,0.0,,0.0
2023-01-10,0.006266780561649865,1.0067948040560868,0.0,0.0,,0.0
2023-01-11,0.01142158538571092,1.0182939968765035,0.0,0.0,,0.0
2023-01-12,0.013476358013753353,1.032016891341667,0.0,0.0,,0.0
2023-01-13,0.002466046673659017,1.03456189316372,0.0,0.0,0.0,0.0
2023-01-17,0.00634201234814924,1.041123097465089,0.0,0.0,,0.0
2023-01-18,-0.015954654217052555,1.0245123384476467,0.0,0.0,,-0.015954654217052555
2023-01-19,-0.005319613029030945,1.0190623292636376,0.0,0.0,,-0.021189394659636873
2023-01-20,0.020575803272971926,1.0400303552734627,0.0,0.0,0.0,-0.0010495802026549983
2023-01-23,0.016756120666718166,1.0574572294034745,0.0,0.0,,0.0
2023-01-24,-0.005997264183565054,1.0511153790359211,0.0,0.0,,-0.005997264183565054
2023-01-25,-0.0037525810118996805,1.0471709834232352,0.0,0.0,,-0.009727339975766136
2023-01-26,0.023028968657321736,1.0712862511793457,0.0,0.0,,0.0
2023-01-27,-0.006002135218358795,1.0648562462421987,0.0,0.0,0.0,-0.006002135218358795
2023-01-30,-0.01380407959519292,1.050156885861633,0.0,0.0,,-0.019723360861256256
2023-01-31,0.011266462324514448,1.0619884388510226,0.0,0.0,,-0.008679111038797926
2023-02-01,0.02044897519925515,1.0837050140989828,0.0,0.0,,0.0
2023-02-02,0.017553732519451692,1.1027280820464649,0.0,0.0,,0.0
2023-02-03,-0.012648202487027804,1.0887805539766093,0.0,0.0,0.0,-0.012648202487027804
2023-02-06,-0.012696128824120745,1.0749572558021248,0.0,0.0,,-0.02518374810297974
2023-02-07,0.019677467043990315,1.0961096917768693,0.0,0.0,,-0.006001833432329962
2023-02-08,-0.00897282465057192,1.086274491714763,0.0,0.0,,-0.014920804683931643
2023-02-09,-0.003859003428981156,1.082082554726421,0.0,0.0,,-0.01872222867647433
2023-02-10,-0.0039244528618752605,1.0778359727477396,0.0,0.0,0.0,-0.022573207034439546
2023-02-13,0.01392820356701363,1.0928482915880202,0.0,0.0,,-0.008959407690162013
2023-02-14,0.004004953206435902,1.0972250978575637,0.0,0.0,,-0.004990336492282532
2023-02-15,0.0028271304559908117,1.1003270963487943,0.0,0.0,,-0.002177314368574712
2023-02-16,-0.015953301853541046,1.0827732460431116,0.0,0.0,,-0.018095880868763792
2023-02-17,-0.008209647616294391,1.0738840592447465,0.0,0.0,0.0,-0.026156967679819232
2023-02-21,-0.019116098597958597,1.053355585685448,0.0,0.0,,-0.04477304710458674
2023-02-22,-0.0020357128129466773,1.051211256223079,0.0,0.0,,-0.04671761485186798
2023-02-23,0.012360871308000565,1.0642051432787742,0.0,0.0,,-0.03493421396886798
2023-02-24,-0.01557788651501757,1.0476270763280795,0.0,0.0,0.0,-0.04996789926318723
2023-02-27,0.008087554357518734,1.0560998172542913,0.0,0.0,,-0.042284463007090545
2023-02-28,-0.005699738471097726,1.0500803244965677,0.0,0.0,,-0.04774319109765701
