name,ann_imp_pp_vs_prod,sharpe_imp_vs_prod,sharpe_vs_eee1,sharpe_vs_fff3,mdd_imp_pp_vs_prod,cvar_imp_pp_vs_prod,turnover_ratio_vs_prod,spy_inc_pp_vs_prod,stressed_panic_ann_delta_pp,recovery_confirmed_ann_delta_pp_vs_prod,recovery_fragile_ann_delta_pp_vs_prod,recovery_confirmed_ann_delta_pp_vs_eee1,recovery_fragile_ann_delta_pp_vs_eee1,recovery_confirmed_ann_delta_pp_vs_fff3,calm_trend_ann_delta_pp_vs_eee1,neutral_mixed_ann_delta_pp_vs_eee1,decomposition_intact,passes_strict_gates,passes_challenger_track,passes_shadow_track,fail_reasons_strict
improved_phaseggg_confirmed_only_robust_offense,0.24575950890244336,0.05177524582130444,0.0013035400322983781,0.0221807084638157,2.201549542884884,0.08038961288431186,1.0997629651053822,-1.055510629807388,0.21096060013110485,-0.04427420923269754,-0.3064554244373685,0.31113409278713533,-0.0018618767551714654,-0.03719894768590137,-0.0022920319862285154,-2.6962629884330624e-05,True,True,False,True,none
improved_phaseggg_confirmed_only_quality_filtered_offense,0.252803276840452,0.05268427443099044,0.0022125686419843804,0.023089737073501704,2.201549542884884,0.08040120078673593,1.100439778835945,-1.0556857199803191,0.22932025476167794,0.030840026240386287,-0.30724056025390745,0.38624832826021915,-0.0026470125717104054,0.03791528778718245,-0.0022823055284115767,8.817362566748699e-05,True,False,False,False,turnover>1.10x (1.1004x)
improved_phaseggg_blended_confirmed_robust_offense,0.24130854332988783,0.05122662446132331,0.0007549186723172507,0.021632087103834574,2.2015495428849063,0.08038021023342376,1.0967152753671505,-1.0592944568031588,0.21121545598019598,-0.16547361323087095,-0.30607849177561874,0.18993468878896191,-0.0014849440934217029,-0.1583983516840748,-0.0010627601031432121,0.0003534689180240136,True,True,False,True,none
