security_id,ticker,universe,effective_from,effective_to,knowledge_at_utc,source_revision,point_in_time_membership
yahoo-ticker:BIL,BIL,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:46.079532+00:00,yfinance-1.5.2:2026-09-02T04:49:46.079532+00:00,false
yahoo-ticker:DBA,DBA,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:46.554605+00:00,yfinance-1.5.2:2026-09-02T04:49:46.554605+00:00,false
yahoo-ticker:EEM,EEM,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:47.082043+00:00,yfinance-1.5.2:2026-09-02T04:49:47.082043+00:00,false
yahoo-ticker:EFA,EFA,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:47.482818+00:00,yfinance-1.5.2:2026-09-02T04:49:47.482818+00:00,false
yahoo-ticker:EWJ,EWJ,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:48.146063+00:00,yfinance-1.5.2:2026-09-02T04:49:48.146063+00:00,false
yahoo-ticker:GLD,GLD,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:48.490921+00:00,yfinance-1.5.2:2026-09-02T04:49:48.490921+00:00,false
yahoo-ticker:HYG,HYG,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:49.028888+00:00,yfinance-1.5.2:2026-09-02T04:49:49.028888+00:00,false
yahoo-ticker:IAU,IAU,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:49.465223+00:00,yfinance-1.5.2:2026-09-02T04:49:49.465223+00:00,false
yahoo-ticker:IEF,IEF,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:50.063067+00:00,yfinance-1.5.2:2026-09-02T04:49:50.063067+00:00,false
yahoo-ticker:IWM,IWM,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:50.605294+00:00,yfinance-1.5.2:2026-09-02T04:49:50.605294+00:00,false
yahoo-ticker:LQD,LQD,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:51.274238+00:00,yfinance-1.5.2:2026-09-02T04:49:51.274238+00:00,false
yahoo-ticker:MBB,MBB,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:51.780726+00:00,yfinance-1.5.2:2026-09-02T04:49:51.780726+00:00,false
yahoo-ticker:PDBC,PDBC,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:52.147511+00:00,yfinance-1.5.2:2026-09-02T04:49:52.147511+00:00,false
yahoo-ticker:QQQ,QQQ,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:52.839973+00:00,yfinance-1.5.2:2026-09-02T04:49:52.839973+00:00,false
yahoo-ticker:SHY,SHY,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:53.483133+00:00,yfinance-1.5.2:2026-09-02T04:49:53.483133+00:00,false
yahoo-ticker:SLV,SLV,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:53.887704+00:00,yfinance-1.5.2:2026-09-02T04:49:53.887704+00:00,false
yahoo-ticker:SPY,SPY,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:54.426075+00:00,yfinance-1.5.2:2026-09-02T04:49:54.426075+00:00,false
yahoo-ticker:TIP,TIP,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:55.018938+00:00,yfinance-1.5.2:2026-09-02T04:49:55.018938+00:00,false
yahoo-ticker:TLT,TLT,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:55.629190+00:00,yfinance-1.5.2:2026-09-02T04:49:55.629190+00:00,false
yahoo-ticker:USO,USO,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:56.137516+00:00,yfinance-1.5.2:2026-09-02T04:49:56.137516+00:00,false
yahoo-ticker:UUP,UUP,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:56.483683+00:00,yfinance-1.5.2:2026-09-02T04:49:56.483683+00:00,false
yahoo-ticker:VEA,VEA,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:56.811759+00:00,yfinance-1.5.2:2026-09-02T04:49:56.811759+00:00,false
yahoo-ticker:VNQ,VNQ,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:57.282795+00:00,yfinance-1.5.2:2026-09-02T04:49:57.282795+00:00,false
yahoo-ticker:VTV,VTV,portfolio_optimizer_free_current_etfs,,,2026-09-02T04:49:57.737608+00:00,yfinance-1.5.2:2026-09-02T04:49:57.737608+00:00,false
