candidate,cutoff,shocked_date,maximum_prefix_difference
trend_reversal_4w_standalone,2023-12-29,2024-01-05,0.0
trend_reversal_8w_standalone,2023-12-29,2024-01-05,0.0
ggg_plus_reversal_4w_05,2023-12-29,2024-01-05,0.0
ggg_plus_reversal_4w_10,2023-12-29,2024-01-05,0.0
ggg_plus_reversal_4w_15,2023-12-29,2024-01-05,0.0
ggg_plus_reversal_8w_10,2023-12-29,2024-01-05,0.0
trend_reversal_4w_standalone,2024-12-27,2025-01-03,0.0
trend_reversal_8w_standalone,2024-12-27,2025-01-03,0.0
ggg_plus_reversal_4w_05,2024-12-27,2025-01-03,0.0
ggg_plus_reversal_4w_10,2024-12-27,2025-01-03,0.0
ggg_plus_reversal_4w_15,2024-12-27,2025-01-03,0.0
ggg_plus_reversal_8w_10,2024-12-27,2025-01-03,0.0
trend_reversal_4w_standalone,2025-12-26,2026-01-02,0.0
trend_reversal_8w_standalone,2025-12-26,2026-01-02,0.0
ggg_plus_reversal_4w_05,2025-12-26,2026-01-02,0.0
ggg_plus_reversal_4w_10,2025-12-26,2026-01-02,0.0
ggg_plus_reversal_4w_15,2025-12-26,2026-01-02,0.0
ggg_plus_reversal_8w_10,2025-12-26,2026-01-02,0.0
