candidate,cost_bps,window,weeks,start,end,cagr,arithmetic_ann_return,ann_vol,sharpe_zero_rf,max_drawdown
benchmark,10,full,1110,2005-01-07,2026-04-10,0.07079898001966267,0.0713602169261038,0.07624227897798382,0.9359664727061766,-0.11645533666874597
benchmark,10,recent_3y,157,2023-04-14,2026-04-10,0.14507258501260978,0.13886338489887534,0.08050700769124426,1.7248608398344156,-0.07264584011748587
benchmark,10,post_2024,119,2024-01-05,2026-04-10,0.17099030463335674,0.161311959528323,0.08061683559340065,2.0009711165285196,-0.07264584011748587
benchmark,50,full,1110,2005-01-07,2026-04-10,0.05715980161663281,0.0585327458761064,0.07631986841198422,0.76693981651199,-0.11872732187122248
benchmark,50,recent_3y,157,2023-04-14,2026-04-10,0.1288735233396061,0.12459768180414243,0.08070915646662914,1.5437861979843626,-0.07364740799161307
benchmark,50,post_2024,119,2024-01-05,2026-04-10,0.15380721844103684,0.14652454041482144,0.08107769124307387,1.8072115543539038,-0.07364740799161296
benchmark,100,full,1110,2005-01-07,2026-04-10,0.04033496837843065,0.042498407063609654,0.07660861401720612,0.554747107865241,-0.13300464199396533
benchmark,100,recent_3y,157,2023-04-14,2026-04-10,0.10892284240108774,0.10676555293572629,0.08115891527409115,1.3155123201826442,-0.07489893667139857
benchmark,100,post_2024,119,2024-01-05,2026-04-10,0.1326570320287308,0.12804026652294437,0.08185410633159677,1.5642497641382118,-0.07489893667139869
trend_reversal_4w_standalone,10,full,1110,2005-01-07,2026-04-10,0.05851610524752626,0.06535153676878973,0.1296918344883707,0.5038986226588514,-0.3711488555924549
trend_reversal_4w_standalone,10,recent_3y,157,2023-04-14,2026-04-10,0.06424434400631451,0.06666389564523668,0.09374620056641103,0.7111103729266458,-0.10635550403892291
trend_reversal_4w_standalone,10,post_2024,119,2024-01-05,2026-04-10,0.11280500922414549,0.11144728143980727,0.09486618668767625,1.174784033501001,-0.10635550403892269
trend_reversal_4w_standalone,50,full,1110,2005-01-07,2026-04-10,0.030235527114784944,0.038274059291312244,0.12984400074263,0.2947695624935116,-0.38205392091078827
trend_reversal_4w_standalone,50,recent_3y,157,2023-04-14,2026-04-10,0.030961035968178008,0.03486771730128763,0.093771323506327,0.37183774311274403,-0.12331098715361988
trend_reversal_4w_standalone,50,post_2024,119,2024-01-05,2026-04-10,0.0764649790134786,0.07823719740619381,0.095341285567938,0.8206014523523892,-0.12331098715361977
trend_reversal_4w_standalone,100,full,1110,2005-01-07,2026-04-10,-0.0041637062176630435,0.004427212444465403,0.13071645691845493,0.03386882224957519,-0.5061056732331762
trend_reversal_4w_standalone,100,recent_3y,157,2023-04-14,2026-04-10,-0.009314282188440881,-0.004877505628648676,0.0949219047657471,-0.05138440532441508,-0.14412116528667573
trend_reversal_4w_standalone,100,post_2024,119,2024-01-05,2026-04-10,0.03255807430003932,0.036724592364177015,0.09709698961496979,0.37822585962557026,-0.14412116528667573
trend_reversal_8w_standalone,10,full,1110,2005-01-07,2026-04-10,0.05289559229877416,0.05967706733681674,0.12706822081169722,0.46964588750520375,-0.40867200890608635
trend_reversal_8w_standalone,10,recent_3y,157,2023-04-14,2026-04-10,0.08276556146512037,0.08460720657601972,0.10067198562395253,0.8404245337134726,-0.07528607682552346
trend_reversal_8w_standalone,10,post_2024,119,2024-01-05,2026-04-10,0.13004612006152794,0.12765446332347127,0.10300976323025547,1.239246255115916,-0.07528607682552324
trend_reversal_8w_standalone,50,full,1110,2005-01-07,2026-04-10,0.028369544210370412,0.03611310337285277,0.12720254412506313,0.2839023670575885,-0.4183346512103838
trend_reversal_8w_standalone,50,recent_3y,157,2023-04-14,2026-04-10,0.05407573403213406,0.05777918109831272,0.10121717748802023,0.570843630817025,-0.08550307028270587
trend_reversal_8w_standalone,50,post_2024,119,2024-01-05,2026-04-10,0.09883383883480024,0.09968807676884943,0.1039322232588929,0.9591642865228487,-0.08550307028270565
