execution_at,cik10,weight
2023-01-08 00:00:00+00:00,0001038357,0.09090909090909091
2023-01-08 00:00:00+00:00,0000004447,0.09090909090909091
2023-01-08 00:00:00+00:00,0000718877,0.09090909090909091
2023-01-08 00:00:00+00:00,0000101778,0.09090909090909091
2023-01-08 00:00:00+00:00,0001043604,0.09090909090909091
2023-01-08 00:00:00+00:00,0001725057,0.09090909090909091
2023-01-08 00:00:00+00:00,0000858470,0.09090909090909091
2023-01-08 00:00:00+00:00,0001124610,0.09090909090909091
2023-01-08 00:00:00+00:00,0001509589,0.09090909090909091
2023-01-08 00:00:00+00:00,0001760717,0.09090909090909091
2023-01-08 00:00:00+00:00,0001713952,0.09090909090909091
2023-04-08 00:00:00+00:00,0001121142,0.05
2023-04-08 00:00:00+00:00,0001393311,0.05
2023-04-08 00:00:00+00:00,0000898173,0.05
2023-04-08 00:00:00+00:00,0000865752,0.05
2023-04-08 00:00:00+00:00,0000109198,0.05
2023-04-08 00:00:00+00:00,0000060667,0.05
2023-04-08 00:00:00+00:00,0001385157,0.05
2023-04-08 00:00:00+00:00,0000866374,0.05
2023-04-08 00:00:00+00:00,0000018230,0.05
2023-04-08 00:00:00+00:00,0001618756,0.05
2023-04-08 00:00:00+00:00,0000829224,0.05
2023-04-08 00:00:00+00:00,0000002969,0.05
2023-04-08 00:00:00+00:00,0001330568,0.05
2023-04-08 00:00:00+00:00,0001616862,0.05
2023-04-08 00:00:00+00:00,0000008818,0.05
2023-04-08 00:00:00+00:00,0001300514,0.05
2023-04-08 00:00:00+00:00,0001636519,0.05
2023-04-08 00:00:00+00:00,0001705696,0.05
2023-04-08 00:00:00+00:00,0000029989,0.05
2023-04-08 00:00:00+00:00,0001075531,0.05
2023-07-08 00:00:00+00:00,0000068505,0.05
2023-07-08 00:00:00+00:00,0001665918,0.05
2023-07-08 00:00:00+00:00,0000820313,0.05
2023-07-08 00:00:00+00:00,0000105770,0.05
2023-07-08 00:00:00+00:00,0001415311,0.05
2023-07-08 00:00:00+00:00,0001283699,0.05
2023-07-08 00:00:00+00:00,0000798354,0.05
2023-07-08 00:00:00+00:00,0000898173,0.05
2023-07-08 00:00:00+00:00,0000063908,0.05
2023-07-08 00:00:00+00:00,0001374310,0.05
2023-07-08 00:00:00+00:00,0001682745,0.05
2023-07-08 00:00:00+00:00,0000814547,0.05
2023-07-08 00:00:00+00:00,0001383312,0.05
2023-07-08 00:00:00+00:00,0001097864,0.05
2023-07-08 00:00:00+00:00,0000091142,0.05
2023-07-08 00:00:00+00:00,0001468174,0.05
2023-07-08 00:00:00+00:00,0000789570,0.05
2023-07-08 00:00:00+00:00,0000040545,0.05
2023-07-08 00:00:00+00:00,0000823768,0.05
2023-07-08 00:00:00+00:00,0000910521,0.05
2023-10-08 00:00:00+00:00,0000885275,0.05
2023-10-08 00:00:00+00:00,0000896262,0.05
2023-10-08 00:00:00+00:00,0000109177,0.05
2023-10-08 00:00:00+00:00,0001056696,0.05
2023-10-08 00:00:00+00:00,0001666700,0.05
2023-10-08 00:00:00+00:00,0001003078,0.05
2023-10-08 00:00:00+00:00,0000858877,0.05
2023-10-08 00:00:00+00:00,0001283699,0.05
2023-10-08 00:00:00+00:00,0001467623,0.05
2023-10-08 00:00:00+00:00,0000935494,0.05
2023-10-08 00:00:00+00:00,0000354950,0.05
2023-10-08 00:00:00+00:00,0000857005,0.05
2023-10-08 00:00:00+00:00,0000075362,0.05
2023-10-08 00:00:00+00:00,0001467373,0.05
2023-10-08 00:00:00+00:00,0001792789,0.05
2023-10-08 00:00:00+00:00,0000764180,0.05
2023-10-08 00:00:00+00:00,0001137774,0.05
2023-10-08 00:00:00+00:00,0001378992,0.05
2023-10-08 00:00:00+00:00,0001075531,0.05
2023-10-08 00:00:00+00:00,0000105634,0.05
2024-01-08 00:00:00+00:00,0001551182,0.05
2024-01-08 00:00:00+00:00,0000885275,0.05
2024-01-08 00:00:00+00:00,0001060391,0.05
2024-01-08 00:00:00+00:00,0000927653,0.05
2024-01-08 00:00:00+00:00,0000897429,0.05
2024-01-08 00:00:00+00:00,0000004977,0.05
2024-01-08 00:00:00+00:00,0001141391,0.05
2024-01-08 00:00:00+00:00,0001069202,0.05
2024-01-08 00:00:00+00:00,0001283699,0.05
2024-01-08 00:00:00+00:00,0000896878,0.05
2024-01-08 00:00:00+00:00,0001832433,0.05
2024-01-08 00:00:00+00:00,0000318154,0.05
2024-01-08 00:00:00+00:00,0000021665,0.05
2024-01-08 00:00:00+00:00,0001374310,0.05
2024-01-08 00:00:00+00:00,0001156039,0.05
2024-01-08 00:00:00+00:00,0000920148,0.05
2024-01-08 00:00:00+00:00,0000896159,0.05
2024-01-08 00:00:00+00:00,0000109198,0.05
2024-01-08 00:00:00+00:00,0001551152,0.05
2024-01-08 00:00:00+00:00,0000277135,0.05
2024-04-08 00:00:00+00:00,0001707925,0.05
2024-04-08 00:00:00+00:00,0001038357,0.05
2024-04-08 00:00:00+00:00,0000943452,0.05
2024-04-08 00:00:00+00:00,0001652044,0.05
2024-04-08 00:00:00+00:00,0001415311,0.05
2024-04-08 00:00:00+00:00,0001370946,0.05
2024-04-08 00:00:00+00:00,0001163302,0.05
2024-04-08 00:00:00+00:00,0000105634,0.05
2024-04-08 00:00:00+00:00,0000732712,0.05
2024-04-08 00:00:00+00:00,0001041061,0.05
2024-04-08 00:00:00+00:00,0001059262,0.05
2024-04-08 00:00:00+00:00,0001013871,0.05
2024-04-08 00:00:00+00:00,0000898174,0.05
2024-04-08 00:00:00+00:00,0001609711,0.05
2024-04-08 00:00:00+00:00,0001140859,0.05
2024-04-08 00:00:00+00:00,0001805387,0.05
2024-04-08 00:00:00+00:00,0001789832,0.05
2024-04-08 00:00:00+00:00,0001309108,0.05
2024-04-08 00:00:00+00:00,0000798354,0.05
2024-04-08 00:00:00+00:00,0001739940,0.05
2024-07-08 00:00:00+00:00,0000885275,0.05
2024-07-08 00:00:00+00:00,0000019617,0.05
2024-07-08 00:00:00+00:00,0001415311,0.05
2024-07-08 00:00:00+00:00,0000789019,0.05
2024-07-08 00:00:00+00:00,0001381197,0.05
2024-07-08 00:00:00+00:00,0001276187,0.05
2024-07-08 00:00:00+00:00,0001222333,0.05
2024-07-08 00:00:00+00:00,0001552000,0.05
2024-07-08 00:00:00+00:00,0001283699,0.05
2024-07-08 00:00:00+00:00,0000732712,0.05
2024-07-08 00:00:00+00:00,0001423902,0.05
2024-07-08 00:00:00+00:00,0000909832,0.05
2024-07-08 00:00:00+00:00,0001043604,0.05
2024-07-08 00:00:00+00:00,0001609711,0.05
2024-07-08 00:00:00+00:00,0001789832,0.05
2024-07-08 00:00:00+00:00,0000764180,0.05
2024-07-08 00:00:00+00:00,0001652044,0.05
2024-07-08 00:00:00+00:00,0001539838,0.05
2024-07-08 00:00:00+00:00,0000068505,0.05
2024-07-08 00:00:00+00:00,0000109198,0.05
2024-10-08 00:00:00+00:00,0000885275,0.05
2024-10-08 00:00:00+00:00,0001720671,0.05
2024-10-08 00:00:00+00:00,0000885725,0.05
2024-10-08 00:00:00+00:00,0001283699,0.05
2024-10-08 00:00:00+00:00,0001111711,0.05
2024-10-08 00:00:00+00:00,0000896159,0.05
2024-10-08 00:00:00+00:00,0000860730,0.05
2024-10-08 00:00:00+00:00,0000003570,0.05
2024-10-08 00:00:00+00:00,0001748790,0.05
