decision_at,feature,family,rank_ic
2023-01-01 00:00:00+00:00,ret_5,momentum,0.29361403992735197
2023-04-01 00:00:00+00:00,ret_5,momentum,0.12026920510761328
2023-07-01 00:00:00+00:00,ret_5,momentum,-0.06486249517530868
2023-10-01 00:00:00+00:00,ret_5,momentum,0.013973019940136146
2024-01-01 00:00:00+00:00,ret_5,momentum,-0.0014362984719216746
2024-04-01 00:00:00+00:00,ret_5,momentum,0.030148598617105615
2024-07-01 00:00:00+00:00,ret_5,momentum,0.006852147972430886
2024-10-01 00:00:00+00:00,ret_5,momentum,-0.024832729603125072
2025-01-01 00:00:00+00:00,ret_5,momentum,-0.035588429134818696
2025-04-01 00:00:00+00:00,ret_5,momentum,-0.35142264919441857
2025-07-01 00:00:00+00:00,ret_5,momentum,-0.07575355544205355
2025-10-01 00:00:00+00:00,ret_5,momentum,0.03190589563528501
2026-01-01 00:00:00+00:00,ret_5,momentum,0.03207294516941274
2026-04-01 00:00:00+00:00,ret_5,momentum,-0.029810444633091814
2023-01-01 00:00:00+00:00,ret_10,momentum,0.13653685129900722
2023-04-01 00:00:00+00:00,ret_10,momentum,0.07637505527992812
2023-07-01 00:00:00+00:00,ret_10,momentum,0.07126560590727007
2023-10-01 00:00:00+00:00,ret_10,momentum,-0.10126080101255444
2024-01-01 00:00:00+00:00,ret_10,momentum,0.013608903049073067
2024-04-01 00:00:00+00:00,ret_10,momentum,0.012294967198343587
2024-07-01 00:00:00+00:00,ret_10,momentum,0.03811954911042396
2024-10-01 00:00:00+00:00,ret_10,momentum,0.017627152522976496
2025-01-01 00:00:00+00:00,ret_10,momentum,0.0572788211308523
2025-04-01 00:00:00+00:00,ret_10,momentum,-0.19665214736327566
2025-07-01 00:00:00+00:00,ret_10,momentum,-0.05457663129286631
2025-10-01 00:00:00+00:00,ret_10,momentum,-0.004403655857453609
2026-01-01 00:00:00+00:00,ret_10,momentum,0.07413859797962599
2026-04-01 00:00:00+00:00,ret_10,momentum,0.011080090847904381
2023-01-01 00:00:00+00:00,ret_21,momentum,-0.04822365386305361
2023-04-01 00:00:00+00:00,ret_21,momentum,-0.05099009717631798
2023-07-01 00:00:00+00:00,ret_21,momentum,-0.004616994323108897
2023-10-01 00:00:00+00:00,ret_21,momentum,-0.11356075597686137
2024-01-01 00:00:00+00:00,ret_21,momentum,-0.077280269065685
2024-04-01 00:00:00+00:00,ret_21,momentum,0.005846177200060922
2024-07-01 00:00:00+00:00,ret_21,momentum,0.04485687062775121
2024-10-01 00:00:00+00:00,ret_21,momentum,-0.034273435711610754
2025-01-01 00:00:00+00:00,ret_21,momentum,0.04134860432084304
2025-04-01 00:00:00+00:00,ret_21,momentum,-0.22187526156732393
2025-07-01 00:00:00+00:00,ret_21,momentum,0.03395130242768944
2025-10-01 00:00:00+00:00,ret_21,momentum,0.021711160356217455
2026-01-01 00:00:00+00:00,ret_21,momentum,0.019056424229398045
2026-04-01 00:00:00+00:00,ret_21,momentum,-0.010192202617503825
2023-01-01 00:00:00+00:00,ret_63,momentum,-0.13817734413063487
2023-04-01 00:00:00+00:00,ret_63,momentum,0.0817882007317136
2023-07-01 00:00:00+00:00,ret_63,momentum,0.001533873707097608
2023-10-01 00:00:00+00:00,ret_63,momentum,-0.08048335825298053
2024-01-01 00:00:00+00:00,ret_63,momentum,-0.006773923735568679
2024-04-01 00:00:00+00:00,ret_63,momentum,-0.05261025006471625
2024-07-01 00:00:00+00:00,ret_63,momentum,0.1065892838308158
2024-10-01 00:00:00+00:00,ret_63,momentum,-0.08887326169285861
2025-01-01 00:00:00+00:00,ret_63,momentum,-0.009579162037105257
2025-04-01 00:00:00+00:00,ret_63,momentum,-0.24483569136152897
2025-07-01 00:00:00+00:00,ret_63,momentum,0.12418862424746607
2025-10-01 00:00:00+00:00,ret_63,momentum,0.05694953394991567
2026-01-01 00:00:00+00:00,ret_63,momentum,0.15254441623925127
2026-04-01 00:00:00+00:00,ret_63,momentum,-0.05456354603193573
2023-01-01 00:00:00+00:00,ret_126,momentum,0.02573523129615831
2023-04-01 00:00:00+00:00,ret_126,momentum,0.0940364786997296
2023-07-01 00:00:00+00:00,ret_126,momentum,-0.01449858971212067
2023-10-01 00:00:00+00:00,ret_126,momentum,-0.049433936534594644
2024-01-01 00:00:00+00:00,ret_126,momentum,0.1111444631435799
2024-04-01 00:00:00+00:00,ret_126,momentum,0.006810405296240636
2024-07-01 00:00:00+00:00,ret_126,momentum,0.09956942470140712
2024-10-01 00:00:00+00:00,ret_126,momentum,-0.009450315783401563
2025-01-01 00:00:00+00:00,ret_126,momentum,0.10159649418772225
2025-04-01 00:00:00+00:00,ret_126,momentum,-0.15302612228893642
2025-07-01 00:00:00+00:00,ret_126,momentum,0.060542733705208546
2025-10-01 00:00:00+00:00,ret_126,momentum,0.06425468812909121
2026-01-01 00:00:00+00:00,ret_126,momentum,0.12839730727146922
2026-04-01 00:00:00+00:00,ret_126,momentum,-0.030599628763809665
2023-01-01 00:00:00+00:00,ret_252,momentum,-0.13152776781144815
2023-04-01 00:00:00+00:00,ret_252,momentum,-0.03612244897959186
2023-07-01 00:00:00+00:00,ret_252,momentum,0.25434216239687363
2023-10-01 00:00:00+00:00,ret_252,momentum,-0.4214640515559964
2024-01-01 00:00:00+00:00,ret_252,momentum,0.18830415570331668
2024-04-01 00:00:00+00:00,ret_252,momentum,-0.0024321346348323775
2024-07-01 00:00:00+00:00,ret_252,momentum,0.13354389130575364
2024-10-01 00:00:00+00:00,ret_252,momentum,0.012019032621620303
2025-01-01 00:00:00+00:00,ret_252,momentum,0.1696429225407357
2025-04-01 00:00:00+00:00,ret_252,momentum,-0.15946512915952094
2025-07-01 00:00:00+00:00,ret_252,momentum,0.0820796516729141
2025-10-01 00:00:00+00:00,ret_252,momentum,0.012325151883443486
2026-01-01 00:00:00+00:00,ret_252,momentum,0.15258564599127578
2026-04-01 00:00:00+00:00,ret_252,momentum,-0.036336189065540044
2023-01-01 00:00:00+00:00,momentum_252_21,momentum,-0.13536939666318812
2023-04-01 00:00:00+00:00,momentum_252_21,momentum,-0.016530612244898
2023-07-01 00:00:00+00:00,momentum_252_21,momentum,0.25347372991749895
2023-10-01 00:00:00+00:00,momentum_252_21,momentum,-0.43253806836658665
2024-01-01 00:00:00+00:00,momentum_252_21,momentum,0.20426078106028206
2024-04-01 00:00:00+00:00,momentum_252_21,momentum,-0.00019344545228823227
2024-07-01 00:00:00+00:00,momentum_252_21,momentum,0.13144135881155944
