,abs_turn_diff,target_turn,baseline_turn,market_state
2012-02-24,0.04381678038906078,0.6587805069459447,0.6149637265568839,recovery_confirmed
2020-08-28,0.03742592243989051,0.7550426274071707,0.7176167049672801,recovery_confirmed
2020-11-27,0.03405327570183503,0.5282995150230986,0.49424623932126355,recovery_confirmed
2014-05-30,0.0326083535702989,0.5991902177882799,0.566581864217981,recovery_confirmed
2012-03-30,0.032425949803785326,0.8709607387442595,0.8385347889404742,neutral_mixed
2019-06-28,0.03222982576459288,0.22174305963313623,0.2539728853977291,recovery_confirmed
2025-07-25,0.027282936404054103,0.6222865168086309,0.5950035804045768,recovery_confirmed
2025-08-29,0.025450477781945646,0.8547404602253273,0.8292899824433817,calm_trend
2015-03-27,0.0173581989729642,0.4053448616525469,0.3879866626795827,neutral_mixed
2020-09-25,0.01671730270767352,0.20725675286283562,0.1905394501551621,neutral_mixed
2015-04-24,0.015433058884090023,0.32292258435319915,0.3074895254691091,recovery_fragile
2016-07-29,0.014050258317872488,0.40769856269487786,0.3936483043770054,calm_trend
2019-09-27,0.013386209717990594,0.46784596697065367,0.4544597572526631,neutral_mixed
2016-05-27,0.012290589939346175,0.42538886107992424,0.41309827114057807,recovery_confirmed
2025-09-26,0.012157014615118755,0.7833877469346763,0.7712307323195575,recovery_confirmed
