fold,train_decision_end,test_decision_start,test_decision_end,chosen_penalty,inner_trials,shuffle,causal_embargo_pass
0,2009-12-18,2010-01-01,2010-12-24,1.0,3,False,True
1,2010-12-17,2010-12-31,2011-12-23,1.0,3,False,True
2,2011-12-16,2011-12-30,2012-12-21,1.0,3,False,True
3,2012-12-14,2012-12-28,2013-12-20,1.0,3,False,True
4,2013-12-13,2013-12-27,2014-12-19,0.01,3,False,True
5,2014-12-12,2014-12-26,2015-12-18,1.0,3,False,True
6,2015-12-11,2015-12-25,2016-12-16,1.0,3,False,True
7,2016-12-09,2016-12-23,2017-12-15,1.0,3,False,True
8,2017-12-08,2017-12-22,2018-12-14,1.0,3,False,True
9,2018-12-07,2018-12-21,2019-12-13,0.01,3,False,True
10,2019-12-06,2019-12-20,2020-12-11,1.0,3,False,True
11,2020-12-04,2020-12-18,2021-12-10,1.0,3,False,True
12,2021-12-03,2021-12-17,2022-12-09,1.0,3,False,True
13,2022-12-02,2022-12-16,2023-12-08,0.01,3,False,True
14,2023-12-01,2023-12-15,2024-12-06,1.0,3,False,True
15,2024-11-29,2024-12-13,2025-12-05,0.01,3,False,True
16,2025-11-28,2025-12-12,2026-07-31,1.0,3,False,True
0,2009-12-18,2010-01-01,2010-12-24,1.0,3,True,True
1,2010-12-17,2010-12-31,2011-12-23,1.0,3,True,True
2,2011-12-16,2011-12-30,2012-12-21,1.0,3,True,True
3,2012-12-14,2012-12-28,2013-12-20,1.0,3,True,True
4,2013-12-13,2013-12-27,2014-12-19,0.01,3,True,True
5,2014-12-12,2014-12-26,2015-12-18,1.0,3,True,True
6,2015-12-11,2015-12-25,2016-12-16,1.0,3,True,True
7,2016-12-09,2016-12-23,2017-12-15,1.0,3,True,True
8,2017-12-08,2017-12-22,2018-12-14,1.0,3,True,True
9,2018-12-07,2018-12-21,2019-12-13,0.01,3,True,True
10,2019-12-06,2019-12-20,2020-12-11,1.0,3,True,True
11,2020-12-04,2020-12-18,2021-12-10,0.01,3,True,True
12,2021-12-03,2021-12-17,2022-12-09,1.0,3,True,True
13,2022-12-02,2022-12-16,2023-12-08,0.01,3,True,True
14,2023-12-01,2023-12-15,2024-12-06,1.0,3,True,True
15,2024-11-29,2024-12-13,2025-12-05,0.01,3,True,True
16,2025-11-28,2025-12-12,2026-07-31,0.01,3,True,True
