id,name,score,grade,recent_cagr,full_cagr,full_drawdown,worst_rolling_year,double_cost_cagr,signal_decay_cagr,crash_cagr,monte_profit_probability,monte_30pct_drawdown_probability,maximum_concentration,forward_weeks,live_verdict
sec-cash-conversion-breadth20-dynamic-v1,102% Daily-Audited,75,historically_resilient,0.9268381493153905,0.3861720477502413,-0.21473689564444642,-0.14065390679329814,0.34104668862629084,0.13636948516569625,0.4714377404838572,0.9584,0.0068,0.9,0,not_proven_live
sec-sector-aware-signal-ensemble-v1,124% Sector Ensemble,75,historically_resilient,1.242041493092192,0.42735783406919925,-0.21800170778866745,-0.14055957522140305,0.4010363149122369,0.17112383012718113,0.7137979124999485,0.947,0.008,0.9,0,not_proven_live
sec-residual-controlled-1.25x-5pct-v1,150.86% Residual 1.25x,75,historically_resilient,1.5085821122127712,0.4927724277121879,-0.23350524551091945,-0.1617332437004836,0.44146996297216656,0.20068951720914696,0.8908507053150645,0.9462,0.0159,0.9000000000000001,0,not_proven_live
sec-sector-ensemble-fragile-1.35x-v1,174.97% Fragile 1.35x,75,historically_resilient,1.6867917279385294,0.5322050342734757,-0.29244991315633306,-0.20884528496248667,0.46489736037554086,0.18460639257169542,1.2265404501245318,0.9328,0.0586,1.215,0,not_proven_live
sec-growth-survivorship-aware-v1,142% Growth / Micron,55,mixed_evidence,1.5571844956406475,0.317028680354114,-0.3649710972166301,-0.18473123973669292,0.30084423403617344,0.0018598903211690665,0.9507620219011135,0.8114,0.2191,0.4,0,not_proven_live
candidate-return-first-60-40-forward-v1,ETF Incumbent,40,historically_fragile,0.7031215336942174,0.12597434243865036,-0.44097501255850147,-0.3981051781436775,0.10621800132008019,-0.020126435679806876,0.3034984210386189,0.7772,0.0531,1.0,0,not_proven_live
