version,state,n_weeks,avg_SPY,avg_BIL,avg_QQQ,avg_IWM,avg_GLD,avg_TLT,avg_HYG,avg_LQD
improved_phase2b_regime_confidence_boost,calm_trend,295,0.09618626161545958,0.06848068479538141,0.02916048228923985,0.020265727048634552,0.09791629179425232,0.05331554643169783,0.11454555945850314,0.08754438608919561
improved_phase2b_regime_confidence_boost,neutral_mixed,493,0.07757715690998092,0.2832187232202695,0.026293043652960424,0.018466873818069485,0.09164250576737093,0.07840864045384864,0.0887316302878537,0.07865628569705797
improved_phase2b_regime_confidence_boost,recovery_confirmed,44,0.05956006771272777,0.12567720750750142,0.033876875600844195,0.0036342932856207434,0.15164285643742478,0.14087681321607465,0.09968150038494299,0.11006757137184123
improved_phase2b_regime_confidence_boost,recovery_fragile,49,0.06231161074691929,0.21821790033286736,0.03313731285991702,0.00893237324666484,0.10929099234894737,0.1104921438323853,0.11097902877127112,0.10624077520636953
improved_phase2b_regime_confidence_boost,stressed_panic,229,0.02753955388016152,0.6074136983844914,0.011181814926262204,0.003794711517410321,0.061234740329808385,0.06920464793951661,0.055455173768278555,0.04808155662952265
improved_phaseyy_conservative_decomposition,calm_trend,295,0.07968749012523241,0.11064922472146259,0.019931297400048283,0.01208869487807952,0.1160203313080967,0.06156693869279549,0.15830680204561567,0.1067031554219345
improved_phaseyy_conservative_decomposition,neutral_mixed,493,0.06556287517112826,0.2593789613292099,0.024972948608848897,0.014072405364560123,0.11322072990099348,0.08871039384506474,0.10995576669296706,0.09371484401522664
improved_phaseyy_conservative_decomposition,recovery_confirmed,44,0.06141885347446323,0.08834045470019945,0.03507046012588108,0.0036770966668816366,0.17386673719005136,0.14525217978440452,0.09760278842644624,0.11561441124770373
improved_phaseyy_conservative_decomposition,recovery_fragile,49,0.05494239898078837,0.16980769673383542,0.03557296224726889,0.0077121854716730755,0.1241807343140155,0.12396794488725266,0.13716794668226764,0.12762617203122695
improved_phaseyy_conservative_decomposition,stressed_panic,229,0.024702144466634008,0.5312753044106913,0.011118109940064227,0.0033040749772198386,0.07996551166713897,0.08436304058133906,0.08320113009368953,0.07044341096690672
improved_phasezz_recovery_neutral_offense_rebudget,calm_trend,295,0.0800099481483362,0.11040857712281531,0.02019476998274449,0.012187261930151532,0.11557927877008457,0.06130266695228287,0.15744159533124555,0.10584976125933758
improved_phasezz_recovery_neutral_offense_rebudget,neutral_mixed,493,0.06654380688977708,0.2584486810389631,0.027229959910319033,0.015002947367037259,0.11086489894145464,0.08565315538769254,0.10684020183224494,0.0909598617519524
improved_phasezz_recovery_neutral_offense_rebudget,recovery_confirmed,44,0.061040401239510815,0.09749555267845357,0.03976822973113644,0.003877997186613627,0.1638486970750404,0.13643141212223472,0.08962329155858825,0.11202702503290243
