decision_date,realization_date,core_return,pair_return,allocation_turnover,turnover,short_exposure,net_return
2005-01-07,2005-01-14,0,0,0.2,0.2,0,-0.001
2005-01-14,2005-01-21,0,0,0,0,0,0
2005-01-21,2005-01-28,0,0,0,0,0,0
2005-01-28,2005-02-04,0,0,0,0,0,0
2005-02-04,2005-02-11,0,0,0,0,0,0
2005-02-11,2005-02-18,0,0,0,0,0,0
2005-02-18,2005-02-25,0,0,0,0,0,0
2005-02-25,2005-03-04,0,0,0,0,0,0
2005-03-04,2005-03-11,0,0,0,0,0,0
2005-03-11,2005-03-18,0,0,0,0,0,0
2005-03-18,2005-03-25,0,0,0,0,0,0
2005-03-25,2005-04-01,0,0,0,0,0,0
2005-04-01,2005-04-08,0,0,0,0,0,0
2005-04-08,2005-04-15,0,-0.00535257885,0.000857330402,0.000857330402,0.08,-0.00107480242
2005-04-15,2005-04-22,0,0.000343650016,5.49802238e-05,5.49802238e-05,0.1,6.84551021e-05
2005-04-22,2005-04-29,0,0.0042725798,0.000683029109,0.000683029109,0.1,0.000851100815
2005-04-29,2005-05-06,0,5.73660195e-05,9.17845781e-06,9.17845781e-06,0.1,1.14273116e-05
2005-05-06,2005-05-13,0,0.00659680756,0.00105409847,0.00105409847,0.1,0.00131409102
2005-05-13,2005-05-20,0,0.000916998256,0.000146692818,0.000146692818,0.04,0.000182666187
2005-05-20,2005-05-27,0,0,0,0,0,0
2005-05-27,2005-06-03,0,0,0,0,0,0
2005-06-03,2005-06-10,0,0,0,0,0,0
2005-06-10,2005-06-17,0,0,0,0,0,0
2005-06-17,2005-06-24,0,0,0,0,0,0
2005-06-24,2005-07-01,0,0,0,0,0,0
2005-07-01,2005-07-08,0,0,0,0,0,0
2005-07-08,2005-07-15,0,-0.0066618291,0.00106731471,0.00106731471,0.1,-0.00133770239
2005-07-15,2005-07-22,0,0.000480428447,7.68611662e-05,7.68611662e-05,0.1,9.57013835e-05
2005-07-22,2005-07-29,0,0.0027284687,0.000436316896,0.000436316896,0.1,0.000543512155
2005-07-29,2005-08-05,-0.0120274958,0.00951042226,0.00347287719,0.00347287719,0.1,-0.00773727655
2005-08-05,2005-08-12,0.0017637892,0.010005443,0.00131418047,0.00131418047,0.08,0.00340554906
2005-08-12,2005-08-19,-0.000883790303,0,0.000141506498,0.000141506498,0,-0.000707739775
2005-08-19,2005-08-26,-0.000345418433,0,5.52822257e-05,5.52822257e-05,0,-0.000276611158
2005-08-26,2005-09-02,0.0126113685,0,0.00199766433,0.00199766433,0,0.0100791064
2005-09-02,2005-09-09,0.00927639811,0,0.00147329024,0.00147329024,0,0.00741375204
2005-09-09,2005-09-16,-0.00469440585,0,0.000753936363,0.000753936363,0,-0.00375929436
2005-09-16,2005-09-23,-0.00975345855,0,0.00157282576,0.00157282576,0,-0.00781063097
2005-09-23,2005-09-30,0.011298483,0,0.00179156372,0.00179156372,0,0.00902982857
2005-09-30,2005-10-07,-0.0257322414,0,0.00420369501,0.00420369501,0,-0.0206068116
2005-10-07,2005-10-14,-0.00819062267,0,0.00131914331,0.00131914331,0,-0.00655909385
2005-10-14,2005-10-21,-0.00622971748,0,0.00100174728,0.00100174728,0,-0.00498878272
2005-10-21,2005-10-28,0.00886850958,0,0.0014089652,0.0014089652,0,0.00708776284
2005-10-28,2005-11-04,0.00768024573,0,0.00122133519,0.00122133519,0,0.00613808991
2005-11-04,2005-11-11,0.0154156105,0,0.00243645018,0.00243645018,0,0.0123203061
2005-11-11,2005-11-18,0.0112785258,0,0.00178842747,0.00178842747,0,0.00901387849
2005-11-18,2005-11-25,0.0103912416,0,0.00164889143,0.00164889143,0,0.00830474879
2005-11-25,2005-12-02,0.00750202,0,0.0011931623,0.0011931623,0,0.00599565019
2005-12-02,2005-12-09,0.0110146607,0,0.00174695205,0.00174695205,0,0.0088029938
2005-12-09,2005-12-16,-0.00187915386,0,0.000301117294,0.000301117294,0,-0.00150482868
2005-12-16,2005-12-23,0.0107405188,0,0.00170384289,0.00170384289,0,0.00858389585
2005-12-23,2005-12-30,-0.0010354167,0,0.000165804014,0.000165804014,0,-0.000829162383
2005-12-30,2006-01-06,0.0307518348,0,0.00480215353,0.00480215353,0,0.024577457
2006-01-06,2006-01-13,0.00313029143,0,0.000499595526,0.000499595526,0,0.00250173517
2006-01-13,2006-01-20,-0.0155209742,0,0.00251457884,0.00251457884,0,-0.0124293522
2006-01-20,2006-01-27,0.0266052057,0,0.004168118,0.004168118,0,0.0212633239
2006-01-27,2006-02-03,-0.00806500844,0,0.0012987811,0.0012987811,0,-0.00645850066
2006-02-03,2006-02-10,-0.00428462321,0,0.000687897619,0.000687897619,0,-0.00343113805
2006-02-10,2006-02-17,0.00835472848,0,0.00132788129,0.00132788129,0,0.00667714338
2006-02-17,2006-02-24,0.00506957081,0,0.000807854947,0.000807854947,0,0.00405161737
2006-02-24,2006-03-03,-0.00380020092,0,0.0006098863,0.0006098863,0,-0.00304321017
2006-03-03,2006-03-10,0.000323642905,0,5.1769461e-05,5.1769461e-05,0,0.000258655477
2006-03-10,2006-03-17,0.01706869,0,0.00269420121,0.00269420121,0,0.013641481
2006-03-17,2006-03-24,-0.00293841367,0,0.000471253978,0.000471253978,0,-0.0023530872
2006-03-24,2006-03-31,0.00652302323,0,0.00103826561,0.00103826561,0,0.00521322726
2006-03-31,2006-04-07,-7.63314039e-05,0,1.22137705e-05,1.22137705e-05,0,-6.1126192e-05
2006-04-07,2006-04-14,-0.00404101943,0,0.000648660107,0.000648660107,0,-0.00323605884
2006-04-14,2006-04-21,0.0195359519,0,0.00307765241,0.00307765241,0,0.0156133733
2006-04-21,2006-04-28,0.00182196074,0,0.000291089436,0.000291089436,0,0.00145611315
