variant,decision_date,realization_date,gross_return,turnover,short_exposure,gross_exposure,active_pairs,selected_pairs
real,1995-01-26,1995-01-27,0,0,0,0,0,0
inverted,1995-01-26,1995-01-27,0,0,0,0,0,0
random_pairs,1995-01-26,1995-01-27,0,0,0,0,0,0
stale_5d,1995-01-26,1995-01-27,0,0,0,0,0,0
real,1995-01-27,1995-01-30,0,0,0,0,0,0
inverted,1995-01-27,1995-01-30,0,0,0,0,0,0
random_pairs,1995-01-27,1995-01-30,0,0,0,0,0,0
stale_5d,1995-01-27,1995-01-30,0,0,0,0,0,0
real,1995-01-30,1995-01-31,0,0,0,0,0,0
inverted,1995-01-30,1995-01-31,0,0,0,0,0,0
random_pairs,1995-01-30,1995-01-31,0,0,0,0,0,0
stale_5d,1995-01-30,1995-01-31,0,0,0,0,0,0
real,1995-01-31,1995-02-01,0,0,0,0,0,0
inverted,1995-01-31,1995-02-01,0,0,0,0,0,0
random_pairs,1995-01-31,1995-02-01,0,0,0,0,0,0
stale_5d,1995-01-31,1995-02-01,0,0,0,0,0,0
real,1995-02-01,1995-02-02,0,0,0,0,0,0
inverted,1995-02-01,1995-02-02,0,0,0,0,0,0
random_pairs,1995-02-01,1995-02-02,0,0,0,0,0,0
stale_5d,1995-02-01,1995-02-02,0,0,0,0,0,0
real,1995-02-02,1995-02-03,0,0,0,0,0,0
inverted,1995-02-02,1995-02-03,0,0,0,0,0,0
random_pairs,1995-02-02,1995-02-03,0,0,0,0,0,0
stale_5d,1995-02-02,1995-02-03,0,0,0,0,0,0
real,1995-02-03,1995-02-06,0,0,0,0,0,0
inverted,1995-02-03,1995-02-06,0,0,0,0,0,0
random_pairs,1995-02-03,1995-02-06,0,0,0,0,0,0
stale_5d,1995-02-03,1995-02-06,0,0,0,0,0,0
real,1995-02-06,1995-02-07,0,0,0,0,0,0
inverted,1995-02-06,1995-02-07,0,0,0,0,0,0
random_pairs,1995-02-06,1995-02-07,0,0,0,0,0,0
stale_5d,1995-02-06,1995-02-07,0,0,0,0,0,0
real,1995-02-07,1995-02-08,0,0,0,0,0,0
inverted,1995-02-07,1995-02-08,0,0,0,0,0,0
random_pairs,1995-02-07,1995-02-08,0,0,0,0,0,0
stale_5d,1995-02-07,1995-02-08,0,0,0,0,0,0
real,1995-02-08,1995-02-09,0,0,0,0,0,0
inverted,1995-02-08,1995-02-09,0,0,0,0,0,0
random_pairs,1995-02-08,1995-02-09,0,0,0,0,0,0
stale_5d,1995-02-08,1995-02-09,0,0,0,0,0,0
real,1995-02-09,1995-02-10,0,0,0,0,0,0
inverted,1995-02-09,1995-02-10,0,0,0,0,0,0
random_pairs,1995-02-09,1995-02-10,0,0,0,0,0,0
stale_5d,1995-02-09,1995-02-10,0,0,0,0,0,0
real,1995-02-10,1995-02-13,0,0,0,0,0,0
inverted,1995-02-10,1995-02-13,0,0,0,0,0,0
random_pairs,1995-02-10,1995-02-13,0,0,0,0,0,0
stale_5d,1995-02-10,1995-02-13,0,0,0,0,0,0
real,1995-02-13,1995-02-14,0,0,0,0,0,0
inverted,1995-02-13,1995-02-14,0,0,0,0,0,0
random_pairs,1995-02-13,1995-02-14,0,0,0,0,0,0
stale_5d,1995-02-13,1995-02-14,0,0,0,0,0,0
real,1995-02-14,1995-02-15,0,0,0,0,0,0
inverted,1995-02-14,1995-02-15,0,0,0,0,0,0
random_pairs,1995-02-14,1995-02-15,0,0,0,0,0,0
stale_5d,1995-02-14,1995-02-15,0,0,0,0,0,0
real,1995-02-15,1995-02-16,0,0,0,0,0,0
inverted,1995-02-15,1995-02-16,0,0,0,0,0,0
random_pairs,1995-02-15,1995-02-16,0,0,0,0,0,0
stale_5d,1995-02-15,1995-02-16,0,0,0,0,0,0
real,1995-02-16,1995-02-17,0,0,0,0,0,0
inverted,1995-02-16,1995-02-17,0,0,0,0,0,0
random_pairs,1995-02-16,1995-02-17,0,0,0,0,0,0
stale_5d,1995-02-16,1995-02-17,0,0,0,0,0,0
real,1995-02-17,1995-02-21,0,0,0,0,0,0
inverted,1995-02-17,1995-02-21,0,0,0,0,0,0
random_pairs,1995-02-17,1995-02-21,0,0,0,0,0,0
stale_5d,1995-02-17,1995-02-21,0,0,0,0,0,0
real,1995-02-21,1995-02-22,0,0,0,0,0,0
inverted,1995-02-21,1995-02-22,0,0,0,0,0,0
random_pairs,1995-02-21,1995-02-22,0,0,0,0,0,0
stale_5d,1995-02-21,1995-02-22,0,0,0,0,0,0
real,1995-02-22,1995-02-23,0,0,0,0,0,0
inverted,1995-02-22,1995-02-23,0,0,0,0,0,0
random_pairs,1995-02-22,1995-02-23,0,0,0,0,0,0
stale_5d,1995-02-22,1995-02-23,0,0,0,0,0,0
real,1995-02-23,1995-02-24,0,0,0,0,0,0
inverted,1995-02-23,1995-02-24,0,0,0,0,0,0
random_pairs,1995-02-23,1995-02-24,0,0,0,0,0,0
stale_5d,1995-02-23,1995-02-24,0,0,0,0,0,0
real,1995-02-24,1995-02-27,0,0,0,0,0,0
inverted,1995-02-24,1995-02-27,0,0,0,0,0,0
random_pairs,1995-02-24,1995-02-27,0,0,0,0,0,0
stale_5d,1995-02-24,1995-02-27,0,0,0,0,0,0
real,1995-02-27,1995-02-28,0,0,0,0,0,0
inverted,1995-02-27,1995-02-28,0,0,0,0,0,0
random_pairs,1995-02-27,1995-02-28,0,0,0,0,0,0
stale_5d,1995-02-27,1995-02-28,0,0,0,0,0,0
real,1995-02-28,1995-03-01,0,0,0,0,0,0
inverted,1995-02-28,1995-03-01,0,0,0,0,0,0
random_pairs,1995-02-28,1995-03-01,0,0,0,0,0,0
stale_5d,1995-02-28,1995-03-01,0,0,0,0,0,0
real,1995-03-01,1995-03-02,0,0,0,0,0,0
inverted,1995-03-01,1995-03-02,0,0,0,0,0,0
random_pairs,1995-03-01,1995-03-02,0,0,0,0,0,0
stale_5d,1995-03-01,1995-03-02,0,0,0,0,0,0
real,1995-03-02,1995-03-03,0,0,0,0,0,0
inverted,1995-03-02,1995-03-03,0,0,0,0,0,0
random_pairs,1995-03-02,1995-03-03,0,0,0,0,0,0
stale_5d,1995-03-02,1995-03-03,0,0,0,0,0,0
real,1995-03-03,1995-03-06,0,0,0,0,0,0
inverted,1995-03-03,1995-03-06,0,0,0,0,0,0
random_pairs,1995-03-03,1995-03-06,0,0,0,0,0,0
stale_5d,1995-03-03,1995-03-06,0,0,0,0,0,0
real,1995-03-06,1995-03-07,0,0,0,0,0,0
inverted,1995-03-06,1995-03-07,0,0,0,0,0,0
random_pairs,1995-03-06,1995-03-07,0,0,0,0,0,0
stale_5d,1995-03-06,1995-03-07,0,0,0,0,0,0
real,1995-03-07,1995-03-08,0,0,0,0,0,0
inverted,1995-03-07,1995-03-08,0,0,0,0,0,0
random_pairs,1995-03-07,1995-03-08,0,0,0,0,0,0
stale_5d,1995-03-07,1995-03-08,0,0,0,0,0,0
real,1995-03-08,1995-03-09,0,0,0,0,0,0
inverted,1995-03-08,1995-03-09,0,0,0,0,0,0
random_pairs,1995-03-08,1995-03-09,0,0,0,0,0,0
stale_5d,1995-03-08,1995-03-09,0,0,0,0,0,0
real,1995-03-09,1995-03-10,0,0,0,0,0,0
inverted,1995-03-09,1995-03-10,0,0,0,0,0,0
random_pairs,1995-03-09,1995-03-10,0,0,0,0,0,0
stale_5d,1995-03-09,1995-03-10,0,0,0,0,0,0
real,1995-03-10,1995-03-13,0,0,0,0,0,0
inverted,1995-03-10,1995-03-13,0,0,0,0,0,0
random_pairs,1995-03-10,1995-03-13,0,0,0,0,0,0
